candidate,weeks,start,end,cagr,sharpe_zero_rf,max_drawdown
static_equal_weight,155,2023-07-14,2026-08-07,0.39996606434783,1.8520692900934006,-0.20403675957805534
etf_incumbent,155,2023-07-14,2026-08-07,0.3891106885455753,1.630135403842509,-0.15825384743697157
dynamic_breadth20,155,2023-07-14,2026-08-07,0.364166124134631,1.412166329448014,-0.21473689564444653
growth_top5,155,2023-07-14,2026-08-07,0.35655203007288483,0.9989346382638707,-0.36497109721663035
causal_allocator,155,2023-07-14,2026-08-07,0.21969444421667883,1.2544740908025145,-0.16612023798523456
