decision_date,realization_date,active,factor_target_weight,core_net_return,factor_net_return,allocation_turnover,allocation_cost,net_return
2005-01-07,2005-01-14,False,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,2005-01-21,False,0.0,0.0,-0.010737503853,0.0,0.0,0.0
2005-01-21,2005-01-28,False,0.0,0.0,-0.002652264988,0.0,0.0,0.0
2005-01-28,2005-02-04,False,0.0,0.0,0.010916128498225,0.0,0.0,0.0
2005-02-04,2005-02-11,False,0.0,0.0,0.005922991665,0.0,0.0,0.0
2005-02-11,2005-02-18,False,0.0,0.0,0.000658426314,0.0,0.0,0.0
2005-02-18,2005-02-25,False,0.0,0.0,0.0016396422093449999,0.0,0.0,0.0
2005-02-25,2005-03-04,False,0.0,0.0,0.005039912393695,0.0,0.0,0.0
2005-03-04,2005-03-11,False,0.0,0.0,-0.014093841269,0.0,0.0,0.0
2005-03-11,2005-03-18,False,0.0,0.0,-0.006030841131,0.0,0.0,0.0
2005-03-18,2005-03-25,False,0.0,0.0,-0.012321039773955,0.0,0.0,0.0
2005-03-25,2005-04-01,False,0.0,0.0,0.003798845155,0.0,0.0,0.0
2005-04-01,2005-04-08,False,0.0,0.0,0.002731140214155,0.0,0.0,0.0
2005-04-08,2005-04-15,False,0.0,0.0,-0.0270572525954,0.0,0.0,0.0
2005-04-15,2005-04-22,False,0.0,0.0,0.01103888320807,0.0,0.0,0.0
2005-04-22,2005-04-29,False,0.0,0.0,-0.002767942272975,0.0,0.0,0.0
2005-04-29,2005-05-06,False,0.0,0.0,0.018074086986835002,0.0,0.0,0.0
2005-05-06,2005-05-13,False,0.0,0.0,-0.018826918737,0.0,0.0,0.0
2005-05-13,2005-05-20,False,0.0,0.0,0.02682208691052,0.0,0.0,0.0
2005-05-20,2005-05-27,False,0.0,0.0,0.005942914865,0.0,0.0,0.0
2005-05-27,2005-06-03,False,0.0,0.0,0.0057745490761600005,0.0,0.0,0.0
2005-06-03,2005-06-10,False,0.0,0.0,0.009836784111,0.0,0.0,0.0
2005-06-10,2005-06-17,False,0.0,0.0,0.02337437197411,0.0,0.0,0.0
2005-06-17,2005-06-24,False,0.0,0.0,-0.007708662629175,0.0,0.0,0.0
2005-06-24,2005-07-01,False,0.0,0.0,-0.00801003648981,0.0,0.0,0.0
2005-07-01,2005-07-08,False,0.0,0.0,0.0107921806136,0.0,0.0,0.0
2005-07-08,2005-07-15,False,0.0,0.0,0.0032632191195899997,0.0,0.0,0.0
2005-07-15,2005-07-22,False,0.0,0.0,0.006043501546,0.0,0.0,0.0
2005-07-22,2005-07-29,False,0.0,0.0,0.004569461321955,0.0,0.0,0.0
2005-07-29,2005-08-05,False,0.0,-0.012027495775,-0.001547431779,0.0,0.0,-0.012027495775
2005-08-05,2005-08-12,False,0.0,0.001763789202,0.00476381895431,0.0,0.0,0.001763789202
2005-08-12,2005-08-19,False,0.0,-0.000883790303,-0.01446029007164,0.0,0.0,-0.000883790303
2005-08-19,2005-08-26,False,0.0,-0.000345418433,-0.0019044706955199998,0.0,0.0,-0.000345418433
2005-08-26,2005-09-02,False,0.0,0.012611368462335,0.021007437707645,0.0,0.0,0.012611368462335
2005-09-02,2005-09-09,False,0.0,0.009276398114,0.020321506934,0.0,0.0,0.009276398114
2005-09-09,2005-09-16,False,0.0,-0.004694405853,-0.0018694800165550002,0.0,0.0,-0.004694405853
2005-09-16,2005-09-23,False,0.0,-0.009753458549,-0.014024235256,0.0,0.0,-0.009753458549
2005-09-23,2005-09-30,False,0.0,0.011298482991,0.027825526393,0.0,0.0,0.011298482991
2005-09-30,2005-10-07,False,0.0,-0.025732241352665,-0.032623700643365,0.0,0.0,-0.025732241352665
2005-10-07,2005-10-14,False,0.0,-0.008190622672,-0.008307299759735,0.0,0.0,-0.008190622672
2005-10-14,2005-10-21,False,0.0,-0.006229717478,-0.009818735203355,0.0,0.0,-0.006229717478
2005-10-21,2005-10-28,False,0.0,0.008868509579,0.01055639428,0.0,0.0,0.008868509579
2005-10-28,2005-11-04,False,0.0,0.007680245730335,0.000897638338,0.0,0.0,0.007680245730335
2005-11-04,2005-11-11,False,0.0,0.01541561046,0.02085151990973,0.0,0.0,0.01541561046
2005-11-11,2005-11-18,False,0.0,0.01127852579,0.01406074727619,0.0,0.0,0.01127852579
2005-11-18,2005-11-25,False,0.0,0.010391241557,0.009461356581,0.0,0.0,0.010391241557
