candidate,cap_multiple,breadth_entry,breadth_exit,overlay_entry,overlay_exit,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,overlay_delay1_recent_cagr,peak_total_stock_weight,annual_one_way_turnover,breadth_transitions,overlay_transitions
uncapped__breadth1in1out__overlay1in2out,,1,1,1,2,1.1293348809519008,2.806327722237253,-0.09130115412557316,0.39676784853774794,1.000008083141899,1.015722412670494,0.07378789503220702,3.3744680851063826,13,19
cap2.00x__breadth1in1out__overlay1in2out,2.0,1,1,1,2,1.1293348809519008,2.806327722237253,-0.09130115412557316,0.39676784853774794,1.000008083141899,1.015722412670494,0.07378789503220702,3.3744680851063826,13,19
uncapped__breadth1in1out__overlay1in1out,,1,1,1,1,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704927,0.07378789503220702,4.093617021276595,13,23
uncapped__breadth1in2out__overlay1in1out,,1,2,1,1,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704922,0.07378789503220702,4.093617021276595,11,23
uncapped__breadth1in3out__overlay1in1out,,1,3,1,1,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704922,0.07378789503220702,4.093617021276595,11,23
cap2.00x__breadth1in1out__overlay1in1out,2.0,1,1,1,1,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704927,0.07378789503220702,4.093617021276595,13,23
cap2.00x__breadth1in2out__overlay1in1out,2.0,1,2,1,1,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704922,0.07378789503220702,4.093617021276595,11,23
cap2.00x__breadth1in3out__overlay1in1out,2.0,1,3,1,1,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704922,0.07378789503220702,4.093617021276595,11,23
uncapped__breadth2in1out__overlay1in1out,,2,1,1,1,1.129334880951899,2.8063277222372527,-0.09130115412557327,0.4239109488166286,1.0000080831418998,1.0157224126704953,0.07378789503220702,3.595744680851064,9,23
uncapped__breadth2in2out__overlay1in1out,,2,2,1,1,1.129334880951899,2.8063277222372527,-0.09130115412557327,0.4239109488166286,1.0000080831418998,1.0157224126704953,0.07378789503220702,3.595744680851064,9,23
uncapped__breadth2in3out__overlay1in1out,,2,3,1,1,1.129334880951899,2.8063277222372527,-0.09130115412557327,0.4239109488166286,1.0000080831418998,1.0157224126704953,0.07378789503220702,3.595744680851064,9,23
uncapped__breadth3in1out__overlay1in1out,,3,1,1,1,1.129334880951899,2.8063277222372527,-0.09130115412557327,0.4239109488166286,1.0000080831418998,1.0157224126704927,0.07378789503220702,3.595744680851064,9,23
uncapped__breadth3in2out__overlay1in1out,,3,2,1,1,1.129334880951899,2.8063277222372527,-0.09130115412557327,0.4239109488166286,1.0000080831418998,1.0157224126704927,0.07378789503220702,3.595744680851064,9,23
uncapped__breadth3in3out__overlay1in1out,,3,3,1,1,1.129334880951899,2.8063277222372527,-0.09130115412557327,0.4239109488166286,1.0000080831418998,1.0157224126704927,0.07378789503220702,3.595744680851064,9,23
