period,diagnostic,macro_state,condition,n,mean_4w,sharpe_4w
dev,A_macro_only,expansion,none,421,0.00469,0.125
dev,A_macro_only,overheating,none,124,0.00849,0.162
dev,A_macro_only,slowdown,none,180,0.01019,0.269
dev,A_macro_only,stress,none,281,0.01279,0.223
dev,A_macro_only,all,none,1006,0.00841,0.183
holdout,A_macro_only,expansion,none,0,,
holdout,A_macro_only,overheating,none,0,,
holdout,A_macro_only,slowdown,none,97,0.0097,0.271
holdout,A_macro_only,stress,none,3,,
holdout,A_macro_only,all,none,100,0.01179,0.312
full,A_macro_only,expansion,none,421,0.00469,0.125
full,A_macro_only,overheating,none,124,0.00849,0.162
full,A_macro_only,slowdown,none,277,0.01002,0.27
full,A_macro_only,stress,none,284,0.01349,0.234
full,A_macro_only,all,none,1106,0.00871,0.192
dev,B_credit_trend_only,expansion,credit_improving=YES,0,,
dev,B_credit_trend_only,overheating,credit_improving=YES,0,,
dev,B_credit_trend_only,slowdown,credit_improving=YES,0,,
dev,B_credit_trend_only,stress,credit_improving=YES,0,,
dev,B_credit_trend_only,expansion,credit_improving=NO,0,,
dev,B_credit_trend_only,overheating,credit_improving=NO,0,,
dev,B_credit_trend_only,slowdown,credit_improving=NO,0,,
dev,B_credit_trend_only,stress,credit_improving=NO,0,,
holdout,B_credit_trend_only,expansion,credit_improving=YES,0,,
holdout,B_credit_trend_only,overheating,credit_improving=YES,0,,
holdout,B_credit_trend_only,slowdown,credit_improving=YES,0,,
holdout,B_credit_trend_only,stress,credit_improving=YES,0,,
holdout,B_credit_trend_only,expansion,credit_improving=NO,0,,
holdout,B_credit_trend_only,overheating,credit_improving=NO,0,,
holdout,B_credit_trend_only,slowdown,credit_improving=NO,0,,
holdout,B_credit_trend_only,stress,credit_improving=NO,0,,
full,B_credit_trend_only,expansion,credit_improving=YES,0,,
full,B_credit_trend_only,overheating,credit_improving=YES,0,,
full,B_credit_trend_only,slowdown,credit_improving=YES,0,,
full,B_credit_trend_only,stress,credit_improving=YES,0,,
full,B_credit_trend_only,expansion,credit_improving=NO,0,,
full,B_credit_trend_only,overheating,credit_improving=NO,0,,
full,B_credit_trend_only,slowdown,credit_improving=NO,0,,
full,B_credit_trend_only,stress,credit_improving=NO,0,,
dev,C_macro_plus_credit,expansion,credit_improving=YES,202,0.00212,0.064
dev,C_macro_plus_credit,overheating,credit_improving=YES,53,0.00574,0.135
dev,C_macro_plus_credit,slowdown,credit_improving=YES,93,0.01328,0.391
dev,C_macro_plus_credit,stress,credit_improving=YES,143,0.02029,0.41
dev,C_macro_plus_credit,expansion,credit_improving=NO,219,0.00705,0.172
dev,C_macro_plus_credit,overheating,credit_improving=NO,71,0.01055,0.179
dev,C_macro_plus_credit,slowdown,credit_improving=NO,87,0.00689,0.166
dev,C_macro_plus_credit,stress,credit_improving=NO,138,0.00503,0.079
holdout,C_macro_plus_credit,expansion,credit_improving=YES,0,,
holdout,C_macro_plus_credit,overheating,credit_improving=YES,0,,
holdout,C_macro_plus_credit,slowdown,credit_improving=YES,61,0.00354,0.092
holdout,C_macro_plus_credit,stress,credit_improving=YES,0,,
holdout,C_macro_plus_credit,expansion,credit_improving=NO,0,,
holdout,C_macro_plus_credit,overheating,credit_improving=NO,0,,
holdout,C_macro_plus_credit,slowdown,credit_improving=NO,36,0.02016,0.705
holdout,C_macro_plus_credit,stress,credit_improving=NO,3,,
full,C_macro_plus_credit,expansion,credit_improving=YES,202,0.00212,0.064
full,C_macro_plus_credit,overheating,credit_improving=YES,53,0.00574,0.135
full,C_macro_plus_credit,slowdown,credit_improving=YES,154,0.00942,0.262
full,C_macro_plus_credit,stress,credit_improving=YES,143,0.02029,0.41
full,C_macro_plus_credit,expansion,credit_improving=NO,219,0.00705,0.172
full,C_macro_plus_credit,overheating,credit_improving=NO,71,0.01055,0.179
full,C_macro_plus_credit,slowdown,credit_improving=NO,123,0.01077,0.28
full,C_macro_plus_credit,stress,credit_improving=NO,141,0.0066,0.103
dev,D_macro_plus_spy_trend,expansion,spy_above_200=YES,370,0.00495,0.136
dev,D_macro_plus_spy_trend,overheating,spy_above_200=YES,74,-0.001,-0.031
dev,D_macro_plus_spy_trend,slowdown,spy_above_200=YES,171,0.00918,0.249
dev,D_macro_plus_spy_trend,stress,spy_above_200=YES,155,0.02131,0.606
dev,D_macro_plus_spy_trend,expansion,spy_above_200=NO,51,0.00278,0.062
dev,D_macro_plus_spy_trend,overheating,spy_above_200=NO,50,0.02254,0.317
dev,D_macro_plus_spy_trend,slowdown,spy_above_200=NO,8,0.03121,0.571
dev,D_macro_plus_spy_trend,stress,spy_above_200=NO,126,0.00232,0.031
holdout,D_macro_plus_spy_trend,expansion,spy_above_200=YES,0,,
holdout,D_macro_plus_spy_trend,overheating,spy_above_200=YES,0,,
holdout,D_macro_plus_spy_trend,slowdown,spy_above_200=YES,91,0.00867,0.259
holdout,D_macro_plus_spy_trend,stress,spy_above_200=YES,0,,
holdout,D_macro_plus_spy_trend,expansion,spy_above_200=NO,0,,
holdout,D_macro_plus_spy_trend,overheating,spy_above_200=NO,0,,
holdout,D_macro_plus_spy_trend,slowdown,spy_above_200=NO,6,0.02539,0.393
holdout,D_macro_plus_spy_trend,stress,spy_above_200=NO,3,,
full,D_macro_plus_spy_trend,expansion,spy_above_200=YES,370,0.00495,0.136
full,D_macro_plus_spy_trend,overheating,spy_above_200=YES,74,-0.001,-0.031
full,D_macro_plus_spy_trend,slowdown,spy_above_200=YES,262,0.009,0.252
full,D_macro_plus_spy_trend,stress,spy_above_200=YES,155,0.02131,0.606
full,D_macro_plus_spy_trend,expansion,spy_above_200=NO,51,0.00278,0.062
full,D_macro_plus_spy_trend,overheating,spy_above_200=NO,50,0.02254,0.317
full,D_macro_plus_spy_trend,slowdown,spy_above_200=NO,14,0.02872,0.506
full,D_macro_plus_spy_trend,stress,spy_above_200=NO,129,0.00411,0.054
dev,E_macro_plus_fc_tight,expansion,fc_proxy_tight=YES,0,,
dev,E_macro_plus_fc_tight,overheating,fc_proxy_tight=YES,124,0.00849,0.162
dev,E_macro_plus_fc_tight,slowdown,fc_proxy_tight=YES,0,,
dev,E_macro_plus_fc_tight,stress,fc_proxy_tight=YES,281,0.01279,0.223
dev,E_macro_plus_fc_tight,expansion,fc_proxy_tight=NO,421,0.00469,0.125
dev,E_macro_plus_fc_tight,overheating,fc_proxy_tight=NO,0,,
dev,E_macro_plus_fc_tight,slowdown,fc_proxy_tight=NO,180,0.01019,0.269
dev,E_macro_plus_fc_tight,stress,fc_proxy_tight=NO,0,,
holdout,E_macro_plus_fc_tight,expansion,fc_proxy_tight=YES,0,,
holdout,E_macro_plus_fc_tight,overheating,fc_proxy_tight=YES,0,,
holdout,E_macro_plus_fc_tight,slowdown,fc_proxy_tight=YES,0,,
holdout,E_macro_plus_fc_tight,stress,fc_proxy_tight=YES,3,,
holdout,E_macro_plus_fc_tight,expansion,fc_proxy_tight=NO,0,,
holdout,E_macro_plus_fc_tight,overheating,fc_proxy_tight=NO,0,,
holdout,E_macro_plus_fc_tight,slowdown,fc_proxy_tight=NO,97,0.0097,0.271
holdout,E_macro_plus_fc_tight,stress,fc_proxy_tight=NO,0,,
full,E_macro_plus_fc_tight,expansion,fc_proxy_tight=YES,0,,
full,E_macro_plus_fc_tight,overheating,fc_proxy_tight=YES,124,0.00849,0.162
full,E_macro_plus_fc_tight,slowdown,fc_proxy_tight=YES,0,,
full,E_macro_plus_fc_tight,stress,fc_proxy_tight=YES,284,0.01349,0.234
full,E_macro_plus_fc_tight,expansion,fc_proxy_tight=NO,421,0.00469,0.125
full,E_macro_plus_fc_tight,overheating,fc_proxy_tight=NO,0,,
full,E_macro_plus_fc_tight,slowdown,fc_proxy_tight=NO,277,0.01002,0.27
full,E_macro_plus_fc_tight,stress,fc_proxy_tight=NO,0,,
dev,F_macro_plus_spy_plus_credit,expansion,credit=YES,202,0.00212,0.064
dev,F_macro_plus_spy_plus_credit,overheating,credit=YES,53,0.00574,0.135
dev,F_macro_plus_spy_plus_credit,slowdown,credit=YES,93,0.01328,0.391
dev,F_macro_plus_spy_plus_credit,stress,credit=YES,143,0.02029,0.41
dev,F_macro_plus_spy_plus_credit,expansion,credit=NO,219,0.00705,0.172
dev,F_macro_plus_spy_plus_credit,overheating,credit=NO,71,0.01055,0.179
dev,F_macro_plus_spy_plus_credit,slowdown,credit=NO,87,0.00689,0.166
dev,F_macro_plus_spy_plus_credit,stress,credit=NO,138,0.00503,0.079
holdout,F_macro_plus_spy_plus_credit,expansion,credit=YES,0,,
holdout,F_macro_plus_spy_plus_credit,overheating,credit=YES,0,,
holdout,F_macro_plus_spy_plus_credit,slowdown,credit=YES,61,0.00354,0.092
holdout,F_macro_plus_spy_plus_credit,stress,credit=YES,0,,
holdout,F_macro_plus_spy_plus_credit,expansion,credit=NO,0,,
holdout,F_macro_plus_spy_plus_credit,overheating,credit=NO,0,,
holdout,F_macro_plus_spy_plus_credit,slowdown,credit=NO,36,0.02016,0.705
holdout,F_macro_plus_spy_plus_credit,stress,credit=NO,3,,
full,F_macro_plus_spy_plus_credit,expansion,credit=YES,202,0.00212,0.064
full,F_macro_plus_spy_plus_credit,overheating,credit=YES,53,0.00574,0.135
full,F_macro_plus_spy_plus_credit,slowdown,credit=YES,154,0.00942,0.262
full,F_macro_plus_spy_plus_credit,stress,credit=YES,143,0.02029,0.41
full,F_macro_plus_spy_plus_credit,expansion,credit=NO,219,0.00705,0.172
full,F_macro_plus_spy_plus_credit,overheating,credit=NO,71,0.01055,0.179
full,F_macro_plus_spy_plus_credit,slowdown,credit=NO,123,0.01077,0.28
full,F_macro_plus_spy_plus_credit,stress,credit=NO,141,0.0066,0.103
dev,G_state_plus_macro_plus_credit,expansion,trend_and_credit=YES,185,0.00471,0.156
dev,G_state_plus_macro_plus_credit,overheating,trend_and_credit=YES,35,-0.0007,-0.022
dev,G_state_plus_macro_plus_credit,slowdown,trend_and_credit=YES,91,0.01176,0.362
dev,G_state_plus_macro_plus_credit,stress,trend_and_credit=YES,102,0.02441,0.687
dev,G_state_plus_macro_plus_credit,expansion,trend_and_credit=NO,236,0.00467,0.11
dev,G_state_plus_macro_plus_credit,overheating,trend_and_credit=NO,89,0.01211,0.208
dev,G_state_plus_macro_plus_credit,slowdown,trend_and_credit=NO,89,0.00859,0.201
dev,G_state_plus_macro_plus_credit,stress,trend_and_credit=NO,179,0.00618,0.094
holdout,G_state_plus_macro_plus_credit,expansion,trend_and_credit=YES,0,,
holdout,G_state_plus_macro_plus_credit,overheating,trend_and_credit=YES,0,,
holdout,G_state_plus_macro_plus_credit,slowdown,trend_and_credit=YES,59,0.00471,0.124
holdout,G_state_plus_macro_plus_credit,stress,trend_and_credit=YES,0,,
holdout,G_state_plus_macro_plus_credit,expansion,trend_and_credit=NO,0,,
holdout,G_state_plus_macro_plus_credit,overheating,trend_and_credit=NO,0,,
holdout,G_state_plus_macro_plus_credit,slowdown,trend_and_credit=NO,38,0.01747,0.559
holdout,G_state_plus_macro_plus_credit,stress,trend_and_credit=NO,3,,
full,G_state_plus_macro_plus_credit,expansion,trend_and_credit=YES,185,0.00471,0.156
full,G_state_plus_macro_plus_credit,overheating,trend_and_credit=YES,35,-0.0007,-0.022
full,G_state_plus_macro_plus_credit,slowdown,trend_and_credit=YES,150,0.00899,0.258
full,G_state_plus_macro_plus_credit,stress,trend_and_credit=YES,102,0.02441,0.687
full,G_state_plus_macro_plus_credit,expansion,trend_and_credit=NO,236,0.00467,0.11
full,G_state_plus_macro_plus_credit,overheating,trend_and_credit=NO,89,0.01211,0.208
full,G_state_plus_macro_plus_credit,slowdown,trend_and_credit=NO,127,0.01124,0.283
full,G_state_plus_macro_plus_credit,stress,trend_and_credit=NO,182,0.00738,0.111
