security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:44.396645+00:00,yfinance-1.5.2:2026-08-12T03:56:44.396645+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:44.846577+00:00,yfinance-1.5.2:2026-08-12T03:56:44.846577+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:45.372859+00:00,yfinance-1.5.2:2026-08-12T03:56:45.372859+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:45.948719+00:00,yfinance-1.5.2:2026-08-12T03:56:45.948719+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:46.451841+00:00,yfinance-1.5.2:2026-08-12T03:56:46.451841+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:47.043041+00:00,yfinance-1.5.2:2026-08-12T03:56:47.043041+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:47.675597+00:00,yfinance-1.5.2:2026-08-12T03:56:47.675597+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:48.107985+00:00,yfinance-1.5.2:2026-08-12T03:56:48.107985+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:48.644978+00:00,yfinance-1.5.2:2026-08-12T03:56:48.644978+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:49.197581+00:00,yfinance-1.5.2:2026-08-12T03:56:49.197581+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:49.732160+00:00,yfinance-1.5.2:2026-08-12T03:56:49.732160+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:50.228811+00:00,yfinance-1.5.2:2026-08-12T03:56:50.228811+00:00,false
yahoo-ticker:PDBC,PDBC,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:50.630364+00:00,yfinance-1.5.2:2026-08-12T03:56:50.630364+00:00,false
yahoo-ticker:QQQ,QQQ,portfolio_optimizer_free_current_etfs,,,2026-08-12T03:56:51.163585+00:00,yfinance-1.5.2:2026-08-12T03:56:51.163585+00:00,false
