candidate,rule,cap,mean_validation_objective,minimum_validation_objective,risk_gate_passed
static__cap_20pct,static,0.2,0.17192792576065583,-0.1299905239997992,True
static__cap_15pct,static,0.15,0.16354379731550606,-0.1411070923570849,True
static__cap_10pct,static,0.1,0.15450429351242118,-0.15172619380702956,True
static__cap_05pct,static,0.05,0.1450038481880473,-0.16187035388932014,True
gated__cap_05pct,gated,0.05,0.13144258040666718,-0.1758731034701796,True
gated__cap_10pct,gated,0.1,0.12697879523494787,-0.18041862090636593,True
covariance_scaled__cap_05pct,covariance_scaled,0.05,0.12425092704961929,-0.18495712959218674,True
gated__cap_15pct,gated,0.15,0.12179301236784117,-0.18517370242255873,True
gated__cap_20pct,gated,0.2,0.11572347133180398,-0.1900882567207612,True
covariance_scaled__cap_10pct,covariance_scaled,0.1,0.11312538825844759,-0.19854500402719322,True
covariance_scaled__cap_15pct,covariance_scaled,0.15,0.10186744220214622,-0.21229190937463338,True
covariance_scaled__cap_20pct,covariance_scaled,0.2,0.09050282441185722,-0.22614617732126124,True
