candidate,rule,cap,fold,validation_start,validation_end,objective,observations,start,end,total_return,cagr,sharpe,max_drawdown,ending_value_10000
static__cap_05pct,static,0.05,1,2024-02-02,2024-07-26,-0.16187035388932014,26,2024-02-02,2024-07-26,-0.022742269283605232,-0.04496732775504242,-0.26905700972207014,-0.09927754740752037,9772.577307163947
static__cap_05pct,static,0.05,2,2024-08-02,2025-01-24,0.4518780502654147,26,2024-08-02,2025-01-24,0.093290994261791,0.1952851981339354,1.1463727341122552,-0.06000066279316896,10932.90994261791
static__cap_10pct,static,0.1,1,2024-02-02,2024-07-26,-0.15172619380702956,26,2024-02-02,2024-07-26,-0.02061963625414387,-0.04081410310903455,-0.2507591989136204,-0.09644458193917982,9793.80363745856
static__cap_10pct,static,0.1,2,2024-08-02,2025-01-24,0.4607347808318719,26,2024-08-02,2025-01-24,0.09307815776772799,0.1948198589888901,1.1788352106797735,-0.0575877616539231,10930.78157767728
static__cap_15pct,static,0.15,1,2024-02-02,2024-07-26,-0.1411070923570849,26,2024-02-02,2024-07-26,-0.01852865825727723,-0.0367140053377395,-0.230345313196582,-0.09361351744039981,9814.713417427227
static__cap_15pct,static,0.15,2,2024-08-02,2025-01-24,0.468194686988097,26,2024-08-02,2025-01-24,0.09277291128638532,0.19415263564132212,1.2065188436646992,-0.055175319138799805,10927.729112863854
static__cap_20pct,static,0.2,1,2024-02-02,2024-07-26,-0.1299905239997992,26,2024-02-02,2024-07-26,-0.01646954383074295,-0.03266784178749316,-0.20772196194151785,-0.0907843834538532,9835.30456169257
static__cap_20pct,static,0.2,2,2024-08-02,2025-01-24,0.47384637552111086,26,2024-08-02,2025-01-24,0.09237515998938228,0.19328349016182855,1.2277782402196937,-0.052763349391282244,10923.751599893823
gated__cap_05pct,gated,0.05,1,2024-02-02,2024-07-26,-0.1758731034701796,26,2024-02-02,2024-07-26,-0.025222494963501263,-0.04980881567481865,-0.30524013821948137,-0.0995085064809812,9747.775050364988
gated__cap_05pct,gated,0.05,2,2024-08-02,2025-01-24,0.43875826428351394,26,2024-08-02,2025-01-24,0.09136990031750614,0.19108825931904327,1.1106813454442213,-0.06000066279316929,10913.699003175061
gated__cap_10pct,gated,0.1,1,2024-02-02,2024-07-26,-0.18041862090636593,26,2024-02-02,2024-07-26,-0.025578347809709467,-0.050502443742744485,-0.3258502425364568,-0.0969072330590145,9744.216521902905
gated__cap_10pct,gated,0.1,2,2024-08-02,2025-01-24,0.4343762113762617,26,2024-08-02,2025-01-24,0.08927177847176604,0.18651300737504406,1.1066283393127168,-0.0575877616539231,10892.71778471766
gated__cap_15pct,gated,0.15,1,2024-02-02,2024-07-26,-0.18517370242255873,26,2024-02-02,2024-07-26,-0.025963865448497714,-0.05125360858796768,-0.34706319791643214,-0.09430858871096603,9740.361345515023
gated__cap_15pct,gated,0.15,2,2024-08-02,2025-01-24,0.42875972715824107,26,2024-08-02,2025-01-24,0.08711743795391547,0.18182432390348535,1.0980922512966227,-0.055175319138799916,10871.174379539154
gated__cap_20pct,gated,0.2,1,2024-02-02,2024-07-26,-0.1900882567207612,26,2024-02-02,2024-07-26,-0.026379006370402913,-0.05206216076371606,-0.36867918760627416,-0.09171259811095323,9736.20993629597
gated__cap_20pct,gated,0.2,2,2024-08-02,2025-01-24,0.4215351993843692,26,2024-08-02,2025-01-24,0.08490715442723995,0.1770235337274111,1.0847360786941955,-0.05334470803318159,10849.0715442724
covariance_scaled__cap_05pct,covariance_scaled,0.05,1,2024-02-02,2024-07-26,-0.18495712959218674,26,2024-02-02,2024-07-26,-0.027008238516226357,-0.05328703208470331,-0.3235458614417985,-0.1015672642940676,9729.917614837736
covariance_scaled__cap_05pct,covariance_scaled,0.05,2,2024-08-02,2025-01-24,0.4334589836914253,26,2024-08-02,2025-01-24,0.09127303671369824,0.19087684065833654,1.094177527614666,-0.06192447774115539,10912.730367136983
covariance_scaled__cap_10pct,covariance_scaled,0.1,1,2024-02-02,2024-07-26,-0.19854500402719322,26,2024-02-02,2024-07-26,-0.029132078940366624,-0.05741547985734552,-0.36246996419422056,-0.10102406624258509,9708.679210596334
covariance_scaled__cap_10pct,covariance_scaled,0.1,2,2024-08-02,2025-01-24,0.4247957805440884,26,2024-08-02,2025-01-24,0.08913454172024982,0.18621404996817859,1.077197254769933,-0.06143516623314693,10891.345417202498
covariance_scaled__cap_15pct,covariance_scaled,0.15,1,2024-02-02,2024-07-26,-0.21229190937463338,26,2024-02-02,2024-07-26,-0.031267804735843785,-0.061557933858688685,-0.4019703164372988,-0.10048279281324002,9687.321952641561
covariance_scaled__cap_15pct,covariance_scaled,0.15,2,2024-08-02,2025-01-24,0.4160267937789258,26,2024-08-02,2025-01-24,0.08699606016370076,0.1815604348114077,1.0597575841138167,-0.06094607412187214,10869.960601637007
covariance_scaled__cap_20pct,covariance_scaled,0.2,1,2024-02-02,2024-07-26,-0.22614617732126124,26,2024-02-02,2024-07-26,-0.03341535248229621,-0.06571411918307635,-0.44184133921079466,-0.09994344667097244,9665.846475177037
covariance_scaled__cap_20pct,covariance_scaled,0.2,2,2024-08-02,2025-01-24,0.4071518261449757,26,2024-08-02,2025-01-24,0.08485760308234602,0.17691601896557296,1.0418576320286068,-0.06045720165549795,10848.57603082346
