name,state,n_weeks,intended_cash_budget,post_overlay_cash_budget,final_etf_cash_budget,overlay_cash_added,avg_target_vol_required_cash,avg_target_vol_justified_extra_cash,avg_panic_guardrail_cash,avg_panic_justified_extra_cash,avg_excess_cash_not_guardrail,target_vol_active_share,panic_guardrail_active_share,inferred_overlay_cash_source
improved_phase2b_combo_abc,calm_trend,295,0.02711864406779661,0.03494109752997501,0.06990173480219289,0.007822453462178395,0.0001272344155187757,0.00012723441551877558,0.0,0.0,0.007695219046659622,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phase2b_combo_abc,neutral_healthy_proxy,293,0.10921501706484642,0.1493847736341205,0.21322013774046078,0.04016975656927408,1.6205746275778836e-05,1.6205746275778836e-05,0.0,0.0,0.040153550822998305,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phase2b_combo_abc,neutral_mixed,200,0.175,0.33608967359981934,0.38994495418094766,0.16108967359981924,0.0,0.0,0.0,0.0,0.16108967359981924,0.0,0.0,lighter_both_regime_relief
improved_phase2b_combo_abc,recovery_confirmed,44,2.523234146875355e-18,0.0637336869666649,0.12590614593470717,0.0637336869666649,0.0,0.0,0.0,0.0,0.0637336869666649,0.0,0.0,lighter_both_regime_relief
improved_phase2b_combo_abc,recovery_fragile,49,2.265761274745217e-18,0.1346172263856224,0.2287865209713577,0.1346172263856224,0.0,0.0,0.0,0.0,0.1346172263856224,0.0,0.0,lighter_both_regime_relief
improved_phase2b_combo_abc,stressed_panic,229,0.008733624454148473,0.5095176183235942,0.6075517876328324,0.5007839938694457,0.0003353491018264966,0.0003353491018264966,0.5095176183235942,0.5004486447676193,0.0,0.0,1.0,panic_guardrail
improved_phase2b_regime_confidence_boost,calm_trend,295,0.02711864406779661,0.033516425783243604,0.06848068479538143,0.006397781715446992,0.0001272344155187757,0.00012723441551877558,0.0,0.0,0.006270547299928218,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,293,0.10921501706484642,0.14923340060800244,0.21306891728727764,0.040018383543156025,1.6205746275778836e-05,1.6205746275778836e-05,0.0,0.0,0.04000217779688025,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,neutral_mixed,200,0.175,0.3316676389889186,0.3859881889121024,0.1566676389889185,0.0,0.0,0.0,0.0,0.1566676389889185,0.0,0.0,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,2.523234146875355e-18,0.06383761565651912,0.12567720750750142,0.06383761565651912,0.0,0.0,0.0,0.0,0.06383761565651912,0.0,0.0,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,recovery_fragile,49,2.265761274745217e-18,0.12351317074439862,0.21821790033286736,0.12351317074439862,0.0,0.0,0.0,0.0,0.12351317074439862,0.0,0.0,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.008733624454148473,0.5093247219202602,0.6074136983844914,0.5005910974661117,0.0003353491018264966,0.0003353491018264966,0.5093247219202602,0.5002557483642852,0.0,0.0,1.0,panic_guardrail
improved_phasett_recovery_two_stage_bucket,calm_trend,295,0.02711864406779661,0.035139319145584325,0.06921311341100478,0.008020675077787712,0.00013110925022105372,0.00013110925022105356,0.0,0.0,0.007889565827566662,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,neutral_healthy_proxy,293,0.10921501706484642,0.15699896878107125,0.21381868699791529,0.04778395171622483,2.8401728534019087e-05,2.8401728534018775e-05,0.0,0.0,0.04775554998769081,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,neutral_mixed,200,0.175,0.3329260218043655,0.3858152018183903,0.15792602180436544,9.344495329990876e-05,9.344495329990876e-05,0.0,0.0,0.15783257685106553,0.0,0.0,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,recovery_confirmed,44,0.060000000000000005,0.06529400415731872,0.10826933583882555,0.0652940041573187,0.003060038117816736,0.0,0.0,0.0,0.01590909090909091,0.0,0.0,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,recovery_fragile,49,0.09999999999999999,0.12749099435961536,0.21584466752502793,0.12749099435961536,0.0016965590486827833,0.0,0.0,0.0,0.07503938174067058,0.02040816326530612,0.0,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,stressed_panic,229,0.008733624454148475,0.5098276684082245,0.6077673928633668,0.501094043954076,0.0003403937870604185,0.0003403937870604185,0.5098276684082245,0.5007536501670156,0.0,0.0,1.0,panic_guardrail
improved_phaseuu_tt1_budget_aware_lighter_both,calm_trend,295,0.02711864406779661,0.0350554449168702,0.06913515128420558,0.007936800849073595,0.00013110925022105372,0.00013110925022105356,0.0,0.0,0.007805691598852544,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,neutral_healthy_proxy,293,0.10921501706484642,0.15649048764635093,0.21334319436496177,0.047275470581504525,2.8401728534019087e-05,2.8401728534018775e-05,0.0,0.0,0.0472470688529705,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,neutral_mixed,200,0.175,0.332862974855325,0.38575590677678223,0.1578629748553249,9.344495329990876e-05,9.344495329990876e-05,0.0,0.0,0.157769529902025,0.0,0.0,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,recovery_confirmed,44,0.052000000000000005,0.06232419613647186,0.10545572354122563,0.06232419613647186,0.003060038117816736,6.400355567664782e-05,0.0,0.0,0.018454545454545473,0.0,0.0,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,recovery_fragile,49,0.112,0.12687902704897036,0.2152813242413152,0.12687902704897036,0.0016965590486827833,0.0,0.0,0.0,0.07087611643454814,0.02040816326530612,0.0,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,stressed_panic,229,0.008733624454148475,0.5098115958361112,0.6077515313390185,0.5010779713819628,0.0003403937870604185,0.0003403937870604185,0.5098115958361112,0.5007375775949024,0.0,0.0,1.0,panic_guardrail
improved_phasevv_recovery_neutral_budget_aware_overlay,calm_trend,295,0.02711864406779661,0.03406608372860824,0.068174596726517,0.006947439660811625,0.00013110925022105372,0.00013110925022105356,0.0,0.0,0.006816330410590574,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phasevv_recovery_neutral_budget_aware_overlay,neutral_healthy_proxy,293,0.13500000000000004,0.15178874571610365,0.20870741008057003,0.042573728651257206,2.8401728534019087e-05,0.0,0.0,0.0,0.09876600039123655,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phasevv_recovery_neutral_budget_aware_overlay,neutral_mixed,200,0.175,0.3322811922875333,0.3851494640521392,0.15728119228753326,9.344649945997597e-05,9.344649945997597e-05,0.0,0.0,0.1571877457880733,0.0,0.0,lighter_both_regime_relief
improved_phasevv_recovery_neutral_budget_aware_overlay,recovery_confirmed,44,0.060000000000000005,0.06370506412681065,0.10670536820944214,0.06370506412681065,0.003060038117816736,0.0,0.0,0.0,0.01590909090909091,0.0,0.0,lighter_both_regime_relief
improved_phasevv_recovery_neutral_budget_aware_overlay,recovery_fragile,49,0.09999999999999999,0.12709033012841794,0.2154116787914366,0.12709033012841794,0.0016965696767658705,0.0,0.0,0.0,0.0750393817406706,0.02040816326530612,0.0,lighter_both_regime_relief
improved_phasevv_recovery_neutral_budget_aware_overlay,stressed_panic,229,0.008733624454148475,0.5095036153843427,0.6073859815309778,0.5007699909301944,0.0003403937870604185,0.0003403937870604185,0.5095036153843427,0.500429597143134,0.0,0.0,1.0,panic_guardrail
improved_phaseww_confirmed_only_lighter_both,calm_trend,295,0.02711864406779661,0.03493680084907359,0.0690185389638357,0.007818156781276982,0.00013110925022105372,0.00013110925022105356,0.0,0.0,0.007687047531055931,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phaseww_confirmed_only_lighter_both,neutral_healthy_proxy,293,0.10921501706484642,0.15630187677981636,0.21314311927492247,0.04708685971496996,2.8401728534019087e-05,2.8401728534018775e-05,0.0,0.0,0.04705845798643594,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phaseww_confirmed_only_lighter_both,neutral_mixed,200,0.175,0.3328695714122443,0.3857494267700295,0.15786957141224423,9.344495329990876e-05,9.344495329990876e-05,0.0,0.0,0.15777612645894432,0.0,0.0,lighter_both_regime_relief
improved_phaseww_confirmed_only_lighter_both,recovery_confirmed,44,0.04499999999999999,0.05991607988679736,0.10306264704301271,0.05991607988679735,0.003060038117816736,0.0003622252487588342,0.0,0.0,0.020681818181818194,0.0,0.0,lighter_both_regime_relief
improved_phaseww_confirmed_only_lighter_both,recovery_fragile,49,0.0,0.12667074534010359,0.21506594559360293,0.12667074534010359,0.0016965590486827833,0.0016965590486827818,0.0,0.0,0.1249741862914208,0.02040816326530612,0.0,lighter_both_regime_relief
improved_phaseww_confirmed_only_lighter_both,stressed_panic,229,0.008733624454148475,0.5098059765821671,0.6077373056135481,0.5010723521280186,0.0003403937870604185,0.0003403937870604185,0.5098059765821671,0.5007319583409583,0.0,0.0,1.0,panic_guardrail
improved_phaseww_fragile_defense_lighter_both,calm_trend,295,0.02711864406779661,0.03502154661178546,0.06909864541301695,0.007902902543988847,0.00013110925022105372,0.00013110925022105356,0.0,0.0,0.007771793293767797,0.003389830508474576,0.0,lighter_both_regime_relief
improved_phaseww_fragile_defense_lighter_both,neutral_healthy_proxy,293,0.10921501706484642,0.16129994669938139,0.21785227756236797,0.05208492963453496,2.8401728534019087e-05,2.8401728534018775e-05,0.0,0.0,0.05205652790600094,0.0034129692832764505,0.0,lighter_both_regime_relief
improved_phaseww_fragile_defense_lighter_both,neutral_mixed,200,0.175,0.3355746545133811,0.38826985094759237,0.16057465451338104,9.344495329990876e-05,9.344495329990876e-05,0.0,0.0,0.16048120956008113,0.0,0.0,lighter_both_regime_relief
improved_phaseww_fragile_defense_lighter_both,recovery_confirmed,44,0.04999999999999998,0.07263495252148605,0.11533402084091389,0.07263495252148605,0.003060038117816736,0.000134952521486108,0.0,0.0,0.025909090909090892,0.0,0.0,lighter_both_regime_relief
improved_phaseww_fragile_defense_lighter_both,recovery_fragile,49,0.11000000000000001,0.17579907479803833,0.2598456680066406,0.17579907479803833,0.0016965590486827833,0.0,0.0,0.0,0.07156999398556856,0.02040816326530612,0.0,lighter_both_regime_relief
improved_phaseww_fragile_defense_lighter_both,stressed_panic,229,0.008733624454148475,0.511020722055425,0.6088851752962093,0.5022870976012765,0.0003403937870604185,0.0003403937870604185,0.511020722055425,0.5019467038142161,0.0,0.0,1.0,panic_guardrail
improved_phaseww_recovery_budget_native_lighter_both,calm_trend,295,0.02711864406779661,0.03510629237449732,0.0691786909324328,0.00798764830670071,0.0,0.0,0.0,0.0,0.007987648306700713,0.0,0.0,other_or_none
improved_phaseww_recovery_budget_native_lighter_both,neutral_healthy_proxy,293,0.10921501706484642,0.1607916344559282,0.21737673181882908,0.051576617391081776,0.0,0.0,0.0,0.0,0.051576617391081776,0.0,0.0,other_or_none
improved_phaseww_recovery_budget_native_lighter_both,neutral_mixed,200,0.175,0.3350746545133811,0.38781161552684673,0.160074654513381,0.0,0.0,0.0,0.0,0.160074654513381,0.0,0.0,other_or_none
improved_phaseww_recovery_budget_native_lighter_both,recovery_confirmed,44,0.05500000000000002,0.0732954545454545,0.1159555716951872,0.07329545454545448,0.0,0.0,0.0,0.0,0.022045454545454538,0.0,0.0,other_or_none
improved_phaseww_recovery_budget_native_lighter_both,recovery_fragile,49,0.09499999999999999,0.16722764622660985,0.25210930704156165,0.16722764622660985,0.0,0.0,0.0,0.0,0.07677407561822162,0.0,0.0,other_or_none
improved_phaseww_recovery_budget_native_lighter_both,stressed_panic,229,0.008733624454148475,0.5108242155052067,0.6086991427108607,0.5020905910510582,0.0,0.0,0.5108242155052067,0.5020905910510582,0.0,0.0,1.0,panic_guardrail
improved_phaseww_split_recovery_lighter_both,calm_trend,295,0.02711864406779661,0.03493680084907359,0.06901818217591874,0.007818156781276982,0.0,0.0,0.0,0.0,0.007818156781276986,0.0,0.0,other_or_none
improved_phaseww_split_recovery_lighter_both,neutral_healthy_proxy,293,0.10921501706484642,0.1607709364604735,0.21734977087282223,0.05155591939562711,0.0,0.0,0.0,0.0,0.05155591939562711,0.0,0.0,other_or_none
improved_phaseww_split_recovery_lighter_both,neutral_mixed,200,0.175,0.33537465451338105,0.3880852608732178,0.160374654513381,0.0,0.0,0.0,0.0,0.160374654513381,0.0,0.0,other_or_none
improved_phaseww_split_recovery_lighter_both,recovery_confirmed,44,0.04499999999999999,0.06979404343057695,0.11260184457755494,0.06979404343057695,0.0,0.0,0.0,0.0,0.02786222524875881,0.0,0.0,other_or_none
improved_phaseww_split_recovery_lighter_both,recovery_fragile,49,0.10500000000000001,0.17294193194089558,0.2572664847527518,0.17294193194089558,0.0,0.0,0.0,0.0,0.0733046878631196,0.0,0.0,other_or_none
improved_phaseww_split_recovery_lighter_both,stressed_panic,229,0.008733624454148475,0.5109552198720189,0.6088233785279391,0.5022215954178704,0.0,0.0,0.5109552198720189,0.5022215954178704,0.0,0.0,1.0,panic_guardrail
