name,state,stage1_cash_budget,stage1_risky_budget,intended_cash_budget,intended_risky_budget,post_overlay_cash_budget,post_overlay_risky_budget,final_etf_cash_budget,final_etf_risky_budget,overlay_cash_added,overlay_absorption,lookthrough_absorption,total_absorption,post_overlay_budget_gap,final_etf_budget_gap,avg_self_gated_overlay_cut_risky,avg_non_self_gated_overlay_cut_risky,inferred_overlay_cash_source
improved_phase2b_combo_abc,calm_trend,0.02711864406779661,0.9728813559322034,0.02711864406779661,0.9728813559322034,0.03494109752997501,0.965058902470025,0.06990173480219289,0.930098265197807,0.007822453462178395,0.007822453462178395,0.03496063727221788,0.04278309073439628,0.007822453462178395,0.042783090734396276,0.00020116251154488304,0.0001671574711160644,lighter_both_regime_relief
improved_phase2b_combo_abc,neutral_healthy_proxy,0.10921501706484642,0.8907849829351536,0.10921501706484642,0.8907849829351536,0.1493847736341205,0.8506152263658794,0.21322013774046078,0.7867798622595391,0.04016975656927408,0.04016975656927408,0.0638353641063403,0.10400512067561438,0.04016975656927408,0.10400512067561436,0.002614800509567815,0.0035496444027130025,lighter_both_regime_relief
improved_phase2b_combo_abc,neutral_mixed,0.175,0.825,0.175,0.825,0.33608967359981934,0.6639103264001807,0.38994495418094766,0.6100550458190525,0.16108967359981924,0.16108967359981924,0.05385528058112837,0.21494495418094764,0.16108967359981924,0.21494495418094764,0.015359484315907246,0.018911878150309685,lighter_both_regime_relief
improved_phase2b_combo_abc,recovery_confirmed,2.523234146875355e-18,1.0,2.523234146875355e-18,1.0,0.0637336869666649,0.936266313033335,0.12590614593470717,0.874093854065293,0.0637336869666649,0.0637336869666649,0.06217245896804222,0.12590614593470711,0.0637336869666649,0.12590614593470714,0.005357162642833446,0.009152773887640225,lighter_both_regime_relief
improved_phase2b_combo_abc,recovery_fragile,2.265761274745217e-18,1.0,2.265761274745217e-18,1.0,0.1346172263856224,0.8653827736143777,0.2287865209713577,0.7712134790286422,0.1346172263856224,0.13461722638562243,0.09416929458573531,0.22878652097135774,0.1346172263856224,0.2287865209713577,0.003364620205616167,0.005643764901827624,lighter_both_regime_relief
improved_phase2b_combo_abc,stressed_panic,0.008733624454148473,0.9912663755458515,0.008733624454148473,0.9912663755458515,0.5095176183235942,0.49048238167640573,0.6075517876328324,0.3924482123671678,0.5007839938694457,0.5007839938694457,0.0980341693092379,0.5988181631786839,0.5007839938694457,0.5988181631786839,0.04510386710046941,0.04902956279945321,panic_guardrail
improved_phase2b_regime_confidence_boost,calm_trend,0.02711864406779661,0.9728813559322034,0.02711864406779661,0.9728813559322034,0.033516425783243604,0.9664835742167562,0.06848068479538143,0.9315193152046186,0.006397781715446992,0.0063977817154469915,0.03496425901213783,0.04136204072758482,0.006397781715446992,0.04136204072758482,6.092931456808475e-05,6.630510095069085e-05,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,0.10921501706484642,0.8907849829351536,0.10921501706484642,0.8907849829351536,0.14923340060800244,0.8507665993919976,0.21306891728727764,0.7869310827127224,0.040018383543156025,0.04001838354315603,0.06383551667927517,0.1038539002224312,0.040018383543156025,0.1038539002224312,0.002836488435141885,0.003721779078646857,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,neutral_mixed,0.175,0.825,0.175,0.825,0.3316676389889186,0.6683323610110814,0.3859881889121024,0.6140118110878975,0.1566676389889185,0.1566676389889185,0.05432054992318397,0.21098818891210244,0.1566676389889185,0.21098818891210244,0.014673856278763298,0.01789787567129942,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,recovery_confirmed,2.523234146875355e-18,1.0,2.523234146875355e-18,1.0,0.06383761565651912,0.9361623843434809,0.12567720750750142,0.8743227924924988,0.06383761565651912,0.06383761565651913,0.06183959185098225,0.1256772075075014,0.06383761565651912,0.12567720750750142,0.005357162642833446,0.009152773887640225,lighter_both_regime_relief
