,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,composite_structural_defense_sleeve,cash::BIL
2009-05-22,0.0995959094473832,0.18696840883218727,0.16084521610118485,0.12158472488062595,0.22244540432851115,0.08256033641010749,0.076,0.050000000000000044
2009-05-29,0.09972186371490219,0.18690342521878897,0.16092445814635997,0.12168880637665394,0.22216832054249291,0.08259312600080206,0.076,0.050000000000000044
2009-06-05,0.05270026225782547,0.09519884330946117,0.08616412842480069,0.061526933266674654,0.11301483632477777,0.042394996416460246,0.099,0.44999999999999996
2009-06-12,0.05262364303298131,0.09547704053051843,0.08597018117070454,0.06180436484019265,0.11283478496588094,0.0422899854597222,0.099,0.44999999999999996
2009-06-19,0.05263861657107767,0.09548395543149993,0.08605488198463822,0.061822051447087877,0.11285832324428878,0.04214217132140749,0.099,0.44999999999999996
2009-06-26,0.053726874810260165,0.09520761333357021,0.0854055352155785,0.061790015850314885,0.1124398304727844,0.0424301303174918,0.099,0.44999999999999996
2009-07-03,0.10412691091370267,0.18444773789284657,0.16557782222750583,0.11975694842816481,0.217854899316576,0.08223568122120394,0.076,0.050000000000000044
2009-07-10,0.1041284400464846,0.18526473554991066,0.1648321566031386,0.12016047760156025,0.21765992952207244,0.0819542606768333,0.076,0.050000000000000044
2009-07-17,0.1050739272123947,0.18431701096508848,0.16218384153436022,0.12166047379900295,0.21938761873465237,0.08137712775450115,0.076,0.050000000000000044
2009-07-24,0.10771612199506897,0.1828967434293017,0.16061455381362316,0.1224989099501109,0.21862480813315532,0.08164886267873987,0.076,0.050000000000000044
2009-07-31,0.055757551344752625,0.09456106875267573,0.08326951708303244,0.06342691220818421,0.11159975461566385,0.04238519599569118,0.099,0.44999999999999996
2009-08-07,0.05551275304318076,0.0942903187227053,0.08290849521597954,0.06373105748790145,0.11243073781930939,0.042126637710923634,0.099,0.44999999999999996
2009-08-14,0.055432513610498516,0.09447003191838994,0.08263844692649508,0.06365450929230336,0.11276878294158256,0.04203571531073054,0.099,0.44999999999999996
2009-08-21,0.05553402315707996,0.09444860411381462,0.08242751293876781,0.06374564304359862,0.11279019836819625,0.042054018378542786,0.099,0.44999999999999996
2009-08-28,0.10746314897578926,0.18280101946870383,0.15967081986266932,0.12338504781281616,0.21922978839138402,0.08145017548863727,0.076,0.050000000000000044
2009-09-04,0.11675209879160679,0.19822350839342423,0.1733360636604413,0.13396854310558756,0.23924216893469985,0.08847761711424011,0.05,0.0
2009-09-11,0.11713330139100413,0.19817631270612301,0.1730146040213339,0.1341513770834723,0.2392679613699194,0.08825644342814713,0.05,0.0
2009-09-18,0.10782236684328449,0.18246602416480293,0.15885928426202198,0.1235441210121733,0.22037445515382387,0.0809337485638934,0.076,0.050000000000000044
2009-09-25,0.11722816054978379,0.198084495262376,0.17202966546838844,0.13412017974602775,0.24085770053890587,0.08767979843451813,0.05,0.0
2009-10-02,0.11746584044353989,0.19777812477694073,0.1722087898307402,0.13398300135467517,0.2408266801082909,0.08773756348581313,0.05,0.0
2009-10-09,0.1200275310507604,0.2003480818493155,0.16669346776699176,0.1362339269799134,0.23832852980222471,0.08836846255079436,0.05,0.0
2009-10-16,0.1200438593089986,0.20035638826331487,0.1667592345200492,0.1362544247248611,0.2382199627226326,0.08836613046014373,0.05,0.0
2009-10-23,0.11996512404382363,0.20041724692244234,0.1666402848581071,0.13619075868764036,0.2384774649843695,0.08830912050361701,0.05,0.0
2009-10-30,0.12311368120067706,0.2017559906598747,0.15742744832112848,0.1383526027003527,0.2394685106428417,0.08988176647512536,0.05,0.0
2009-11-06,0.12359620726244935,0.2009568632427696,0.1581618488757694,0.13853804082873244,0.2381309159364453,0.09061612385383391,0.05,0.0
2009-11-13,0.1240613846559681,0.200498642547022,0.15729064679587484,0.13929094731857442,0.2379550987041465,0.09090327997841433,0.05,0.0
2009-11-20,0.1247678212319589,0.19929650305442634,0.15627417420960554,0.13913275889797497,0.24002114218596046,0.09050760042007384,0.05,0.0
2009-11-27,0.12467022413146214,0.19962833160112808,0.1562257079449279,0.13916518669680847,0.2398116816200604,0.09049886800561305,0.05,0.0
2009-12-04,0.12330528448642564,0.20177082318928755,0.156034945930334,0.14053895343230638,0.23725860183514008,0.09109139112650631,0.05,0.0
2009-12-11,0.12318320120051542,0.2019827341544126,0.15636761018108208,0.14072626517851888,0.2365775172469706,0.09116267203850031,0.05,0.0
2009-12-18,0.12322613163886553,0.20213199454572822,0.15632514367735312,0.1407480081521011,0.2363923312660718,0.09117639071988044,0.05,0.0
2009-12-25,0.12314577527417117,0.20146770833541666,0.15718371345615695,0.14142421486581705,0.2352242030966562,0.09155438497178174,0.05,0.0
2010-01-01,0.12372850134365836,0.20024105355853072,0.15693015810584632,0.14106583689885138,0.23683116727503817,0.09120328281807508,0.05,0.0
2010-01-08,0.12413428294611026,0.2006549966420316,0.1574626035204117,0.14110855808476808,0.23512174919885695,0.09151780960782126,0.05,0.0
2010-01-15,0.1243852107585942,0.20026724458645132,0.15749225494051755,0.14127094779812818,0.2348990154661453,0.09168532645016339,0.05,0.0
2010-01-22,0.12573905387967485,0.19897756837797959,0.15947563520622,0.14287872948369273,0.22984026699484272,0.09308874605758999,0.05,0.0
2010-01-29,0.12637159307236956,0.19776631417853097,0.15966148437306135,0.14347023831924816,0.2292618148101055,0.0934685552466845,0.05,0.0
2010-02-05,0.1261547461749886,0.19792223854165664,0.1599288760385199,0.14336550988449825,0.2291732756171396,0.09345535374319686,0.05,0.0
2010-02-12,0.12625097081057218,0.19775481845031326,0.1601426527017149,0.14351929276643974,0.22890182217157834,0.0934304430993815,0.05,0.0
2010-02-19,0.12615706378391564,0.1974295384243167,0.16101823613617672,0.14399084257709424,0.22763558356474897,0.09376873551374772,0.05,0.0
2010-02-26,0.12777450981044966,0.19912995402503816,0.1612454280661671,0.142381305384682,0.22709821693926527,0.09237058577439775,0.05,0.0
2010-03-05,0.12841777942145863,0.1996027261827533,0.16408226419816432,0.14442371508814986,0.21972848881088808,0.09374502629858582,0.05,0.0
2010-03-12,0.12841829123658208,0.20007736050573463,0.164094447878432,0.14450402117324485,0.21912035554692655,0.09378552365907994,0.05,0.0
2010-03-19,0.1293792594183514,0.19954223248262862,0.16433312361996028,0.14387530968825132,0.21945922146383856,0.09341085332696977,0.05,0.0
2010-03-26,0.12938167333138126,0.19949010459975688,0.1643108084260021,0.143825869921022,0.21962186169190717,0.09336968202993054,0.05,0.0
