version_name,market_state,observations,ann_return_state,ann_vol_state,sharpe_state,avg_bil_state,avg_spy_state,avg_offense_state,avg_defense_state,avg_cash_state
improved_phasel_decision_utility_allocator,calm_trend,295,0.05261101295482451,0.096032713283417,0.5478446995406243,0.042261686580112555,0.1747493929503347,0.7409747259998618,0.21676358742002547,0.042261686580112555
improved_phasel_decision_utility_allocator,neutral_mixed,492,0.11621084507059587,0.0825769751248529,1.4073032451829335,0.1277710107317564,0.1176961818774637,0.5208541670501788,0.35137482221806476,0.1277710107317564
improved_phasel_decision_utility_allocator,recovery_confirmed,44,0.014769331470208424,0.08727594189971982,0.16922568979179173,0.05147438739993568,0.08256266663927361,0.5603371154260235,0.38818849717404086,0.05147438739993568
improved_phasel_decision_utility_allocator,recovery_fragile,49,0.0856102270992225,0.05854574851034114,1.4622791454122561,0.10232216136402231,0.08060132673991827,0.5403130919115346,0.35736474672444296,0.10232216136402231
improved_phasel_decision_utility_allocator,stressed_panic,229,0.038514377378509046,0.09318328704114638,0.4133185102335195,0.2471570261137905,0.03462976884545747,0.2536516564802693,0.4991913174059402,0.2471570261137905
improved_phasel_selective_concentration_allocator,calm_trend,295,0.0515639662009757,0.0954234539522348,0.5403699411969156,0.04291171761502617,0.17339571120253128,0.740102920797752,0.21698536158722181,0.04291171761502617
improved_phasel_selective_concentration_allocator,neutral_mixed,492,0.11615330159208814,0.0824969873075846,1.4079702227066568,0.13202251546220892,0.11493778700777862,0.5155255890638685,0.35245189547392247,0.13202251546220892
improved_phasel_selective_concentration_allocator,recovery_confirmed,44,0.01610197397072466,0.08598553866258747,0.1872637448246942,0.052431484581849146,0.08389018701973028,0.5610116742037066,0.3865568412144441,0.052431484581849146
improved_phasel_selective_concentration_allocator,recovery_fragile,49,0.08507984942929259,0.05819035168106752,1.462095467228009,0.10517288177316317,0.08058978067350625,0.5382213721267728,0.356605746100064,0.10517288177316317
improved_phasel_selective_concentration_allocator,stressed_panic,229,0.03480819750671893,0.09397565729380646,0.3703958930331737,0.24289399491877858,0.03619293613494453,0.2595490267943565,0.49755697828686485,0.24289399491877858
improved_phasel_tail_turnover_learning_allocator,calm_trend,295,0.05162718111204745,0.09275585244676482,0.5565921691213795,0.03910471477671515,0.17665778418959246,0.7297468983020327,0.23114838692125206,0.03910471477671515
improved_phasel_tail_turnover_learning_allocator,neutral_mixed,492,0.11583643395684695,0.08100647349200295,1.429965149245541,0.12674160086069672,0.11501211244723707,0.5059236832611512,0.367334715878152,0.12674160086069672
improved_phasel_tail_turnover_learning_allocator,recovery_confirmed,44,0.011777897177566166,0.08688599132353851,0.13555576679454176,0.051534797018580394,0.0796788868847631,0.5467905650888656,0.4016746378925539,0.051534797018580394
improved_phasel_tail_turnover_learning_allocator,recovery_fragile,49,0.08507555866806293,0.0575712278691946,1.4777443840760158,0.10052364614798925,0.07998496204276186,0.5302266588781444,0.36924969497386634,0.10052364614798925
improved_phasel_tail_turnover_learning_allocator,stressed_panic,229,0.03929787074523872,0.09282599295782237,0.4233498559298429,0.24680954870994262,0.03315483744662253,0.2500969022415414,0.503093549048516,0.24680954870994262
