,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,composite_structural_defense_sleeve,cash::BIL
2021-03-05,0.030750203065546787,0.06864939998450956,0.04568682930918396,0.04396487047688811,0.17498464244044207,0.03807828621393906,0.5601422596574118,0.03774350885207867
2021-03-12,0.030750203065546787,0.06864939998450956,0.04568682930918396,0.04396487047688811,0.17498464244044207,0.03807828621393906,0.5601422596574118,0.03774350885207867
2021-03-19,0.030750203065546787,0.06864939998450956,0.04568682930918396,0.04396487047688811,0.17498464244044207,0.03807828621393906,0.5601422596574118,0.03774350885207867
2021-03-26,0.03831370819581397,0.08234451339522117,0.05071172254260419,0.048492430576056525,0.19995185497837564,0.042035535811732666,0.5381502345001958,0.0
2021-04-02,0.03831370819581397,0.08234451339522117,0.05071172254260419,0.048492430576056525,0.19995185497837564,0.042035535811732666,0.5381502345001958,0.0
2021-04-09,0.03831370819581397,0.08234451339522117,0.05071172254260419,0.048492430576056525,0.19995185497837564,0.042035535811732666,0.5381502345001958,0.0
2021-04-16,0.03831370819581397,0.08234451339522117,0.05071172254260419,0.048492430576056525,0.19995185497837564,0.042035535811732666,0.5381502345001958,0.0
2021-04-23,0.03831370819581397,0.08234451339522117,0.05071172254260419,0.048492430576056525,0.19995185497837564,0.042035535811732666,0.5381502345001958,0.0
2021-04-30,0.038630863805186356,0.08177169907066968,0.0531523977993695,0.0483988464668372,0.1916103567558815,0.042356431753394645,0.5440794043486612,0.0
2021-05-07,0.038630863805186356,0.08177169907066968,0.0531523977993695,0.0483988464668372,0.1916103567558815,0.042356431753394645,0.5440794043486612,0.0
2021-05-14,0.038630863805186356,0.08177169907066968,0.0531523977993695,0.0483988464668372,0.1916103567558815,0.042356431753394645,0.5440794043486612,0.0
2021-05-21,0.038630863805186356,0.08177169907066968,0.0531523977993695,0.0483988464668372,0.1916103567558815,0.042356431753394645,0.5440794043486612,0.0
2021-05-28,0.03828297933206068,0.08166398924830792,0.05341473824324868,0.04790680814489951,0.18276698358673782,0.04245935809996074,0.5535051433447847,0.0
2021-06-04,0.03828297933206068,0.08166398924830792,0.05341473824324868,0.04790680814489951,0.18276698358673782,0.04245935809996074,0.5535051433447847,0.0
2021-06-11,0.03828297933206068,0.08166398924830792,0.05341473824324868,0.04790680814489951,0.18276698358673782,0.04245935809996074,0.5535051433447847,0.0
2021-06-18,0.03828297933206068,0.08166398924830792,0.05341473824324868,0.04790680814489951,0.18276698358673782,0.04245935809996074,0.5535051433447847,0.0
2021-06-25,0.043966567301127336,0.07899140343801384,0.04452758935495994,0.05086577378729912,0.1764469605250963,0.04299043443977191,0.5622112711537316,0.0
2021-07-02,0.043966567301127336,0.07899140343801384,0.04452758935495994,0.05086577378729912,0.1764469605250963,0.04299043443977191,0.5622112711537316,0.0
2021-07-09,0.043966567301127336,0.07899140343801384,0.04452758935495994,0.05086577378729912,0.1764469605250963,0.04299043443977191,0.5622112711537316,0.0
2021-07-16,0.043966567301127336,0.07899140343801384,0.04452758935495994,0.05086577378729912,0.1764469605250963,0.04299043443977191,0.5622112711537316,0.0
2021-07-23,0.043966567301127336,0.07899140343801384,0.04452758935495994,0.05086577378729912,0.1764469605250963,0.04299043443977191,0.5622112711537316,0.0
2021-07-30,0.04297183400006396,0.08541070239174489,0.04523349395329334,0.05418868213332589,0.16212499437371045,0.04388578802408315,0.5661845051237783,0.0
2021-08-06,0.04297183400006396,0.08541070239174489,0.04523349395329334,0.05418868213332589,0.16212499437371045,0.04388578802408315,0.5661845051237783,0.0
2021-08-13,0.04297183400006396,0.08541070239174489,0.04523349395329334,0.05418868213332589,0.16212499437371045,0.04388578802408315,0.5661845051237783,0.0
2021-08-20,0.04297183400006396,0.08541070239174489,0.04523349395329334,0.05418868213332589,0.16212499437371045,0.04388578802408315,0.5661845051237783,0.0
2021-08-27,0.0414478324137205,0.09213801706318286,0.04856272673266863,0.05770138136146762,0.1500143826572931,0.04285535374084321,0.5672803060308241,0.0
2021-09-03,0.0414478324137205,0.09213801706318286,0.04856272673266863,0.05770138136146762,0.1500143826572931,0.04285535374084321,0.5672803060308241,0.0
2021-09-10,0.0414478324137205,0.09213801706318286,0.04856272673266863,0.05770138136146762,0.1500143826572931,0.04285535374084321,0.5672803060308241,0.0
2021-09-17,0.0414478324137205,0.09213801706318286,0.04856272673266863,0.05770138136146762,0.1500143826572931,0.04285535374084321,0.5672803060308241,0.0
2021-09-24,0.04368742495756772,0.08672639500208494,0.06503092756888229,0.059856437254040634,0.10110301454698631,0.04359580067043813,0.6,0.0
2021-10-01,0.04368742495756772,0.08672639500208494,0.06503092756888229,0.059856437254040634,0.10110301454698631,0.04359580067043813,0.6,0.0
2021-10-08,0.04368742495756772,0.08672639500208494,0.06503092756888229,0.059856437254040634,0.10110301454698631,0.04359580067043813,0.6,0.0
2021-10-15,0.04368742495756772,0.08672639500208494,0.06503092756888229,0.059856437254040634,0.10110301454698631,0.04359580067043813,0.6,0.0
2021-10-22,0.04368742495756772,0.08672639500208494,0.06503092756888229,0.059856437254040634,0.10110301454698631,0.04359580067043813,0.6,0.0
2021-10-29,0.05397645466734643,0.08472299098876153,0.0677443446776382,0.06633865317795438,0.11798941399897249,0.04372654608042668,0.5655015964089003,0.0
2021-11-05,0.05397645466734643,0.08472299098876153,0.0677443446776382,0.06633865317795438,0.11798941399897249,0.04372654608042668,0.5655015964089003,0.0
