,gross_return,net_return,turnover,cost,wealth,drawdown
2019-02-22,-0.009637793031721792,-0.010142706267587967,0.5049132358661754,0.0005049132358661754,2.4636077839243558,-0.0761929953292444
2019-03-01,0.00512607460474374,0.005120434074719774,0.005640530023966077,5.640530023966077e-06,2.476222525167907,-0.0714627024640635
2019-03-08,0.008406397977139627,0.008398298511313802,0.008099465825824314,8.099465825824313e-06,2.4970185811147063,-0.06366456906046802
2019-03-15,0.008744189519857153,0.008734835223991832,0.009354295865321667,9.354295865321667e-06,2.518829626971989,-0.055485833356825776
2019-03-22,0.006720258138294212,0.006708942604884032,0.011315533410180404,1.1315533410180405e-05,2.5357283103708257,-0.04914914202331688
2019-03-29,0.002845283892855385,0.0026454573572923267,0.19982653556305846,0.00019982653556305845,2.5424364714855905,-0.04663370662539479
2019-04-05,2.278775240012872e-05,8.017862087628548e-06,0.01476989031250017,1.4769890312500172e-05,2.542456856390585,-0.04662606266593561
2019-04-12,-0.00870376022326152,-0.00873801045271724,0.034250229455719275,3.4250229455719276e-05,2.5202408418038615,-0.054956654095708934
2019-04-19,0.007995367468400457,0.007972334668596696,0.023032799803760058,2.3032799803760058e-05,2.540333045240188,-0.04742245226582942
2019-04-26,0.0034085011202972166,0.0030766018041570977,0.3318993161401191,0.0003318993161401191,2.548148638470334,-0.044491750463870994
2019-05-03,-0.007849528841047382,-0.007909637143972428,0.06010830292504575,6.010830292504575e-05,2.527993707351126,-0.05204947400577398
2019-05-10,0.0026602267860348556,0.0026247253996216787,0.035501386413177016,3.5501386413177014e-05,2.5346289966448943,-0.049561364182612255
2019-05-17,-5.426857318854036e-06,-7.472319065884495e-05,0.06929633333999091,6.929633333999091e-05,2.5344396010791286,-0.04963238399000591
2019-05-24,-0.005635343042283919,-0.005660431306990165,0.025088264706246137,2.5088264706246137e-05,2.5200935798155046,-0.055011874596818555
2019-05-31,0.017320273647711444,0.017077464628652568,0.24280901905887603,0.00024280901905887603,2.5631303887856984,-0.038873873310748985
2019-06-07,0.0030499487883221344,0.00302398202981311,0.025966758509024204,2.5966758509024204e-05,2.570881249021454,-0.03596744517525685
2019-06-14,0.009248331567143374,0.009231915195561291,0.01641637158208202,1.6416371582082022e-05,2.594615406690279,-0.027067578383354496
2019-06-21,-0.002665996268908116,-0.002713904216926379,0.04790794801826279,4.7907948018262797e-05,2.58757386899676,-0.02970802378516435
2019-06-28,0.011987291492644681,0.011760769929681877,0.22652156296280307,0.00022652156296280307,2.6180057299460873,-0.01829664308828538
2019-07-05,-0.0018818914664700498,-0.001989920404272998,0.10802893780294806,0.00010802893780294807,2.612796106925564,-0.020250154629147366
2019-07-12,-0.007064035546859294,-0.007119149042374016,0.05511349551472189,5.511349551472189e-05,2.594195222023026,-0.02722513980258534
2019-07-19,0.0062224070174721246,0.00616591099533933,0.056496022132794387,5.6496022132794386e-05,2.610190798866555,-0.021227096596104333
2019-07-26,0.0069125865230923785,0.006714716204092029,0.19787031900035007,0.00019787031900035006,2.6277174893194757,-0.01465491432149213
2019-08-02,0.017308388471438542,0.01726350516450447,0.04488330693406942,4.488330693406942e-05,2.6730811037672013,0.0
2019-08-09,0.011747922738666488,0.01173353802871005,0.014384709956438351,1.4384709956438351e-05,2.70444580255208,0.0
2019-08-16,-0.002549233628300745,-0.002572523370188883,0.023289741888138364,2.3289741888138366e-05,2.6974885525216057,-0.0025725233701888728
2019-08-23,0.012061144837512241,0.011996285829468762,0.06485900804347905,6.485900804347905e-05,2.7298483962193747,0.0
2019-08-30,0.0006070278610859903,0.0002927727930950127,0.3142550679909776,0.0003142550679909776,2.730647621559062,0.0
2019-09-06,-0.018174885252421908,-0.018212991882523708,0.03810663010180181,3.8106630101801814e-05,2.680914358593574,-0.018212991882523677
2019-09-13,0.014303075172754816,0.014271810081215574,0.03126509153924289,3.126509153924289e-05,2.719175859163425,-0.0042011141624662685
2019-09-20,-0.0014236320290392061,-0.0014720485916524379,0.04841656261323169,4.841656261323169e-05,2.7151731001694883,-0.005666978509932474
2019-09-27,0.008199239163344158,0.00798835735721396,0.21088180613019858,0.0002108818061301986,2.7368628731803364,0.0
2019-10-04,-0.011913830091643502,-0.011917978369314712,0.004148277671208773,4.148277671208773e-06,2.7042450006579926,-0.011917978369314741
2019-10-11,0.004839261687531634,0.004829675766646929,0.009585920884704337,9.585920884704337e-06,2.7173056272047464,-0.007145862573985529
2019-10-18,0.0017820695027297756,0.0017220314465043332,0.060038056225442366,6.003805622544237e-05,2.721984912944556,-0.005436136527546154
2019-10-25,0.007473907515671771,0.007384626560768771,0.08928095490300028,8.928095490300029e-05,2.7420857550306983,0.0
2019-11-01,-0.02465784551991265,-0.024664225245621996,0.006379725709348519,6.379725709348519e-06,2.67445433432581,-0.02466422524562184
2019-11-08,0.011676577782548351,0.011547665408494199,0.128912374054152,0.000128912374054152,2.7053380381289016,-0.013401374057823823
2019-11-15,-0.00039242405090698907,-0.00040673845274784374,0.01431440184085469,1.4314401840854691e-05,2.704237673121113,-0.013802661656422743
2019-11-22,0.007403997162149654,0.007392254068295071,0.01174309385458289,1.1743093854582891e-05,2.7242280850618794,-0.00651244036991061
2019-11-29,-0.0023181820177232753,-0.002376120518084465,0.057938500361189485,5.7938500361189486e-05,2.717754990813022,-0.008873086544809339
2019-12-06,0.0030142581992589064,0.00300594806760146,0.008310131657446415,8.310131657446415e-06,2.7259244211758706,-0.005893810514560949
2019-12-13,0.004960237727353843,0.004883591133066231,0.07664659428761164,7.664659428761165e-05,2.739236721508534,-0.0010390023422636174
2019-12-20,0.007730263219590465,0.007715816742545077,0.014446477045388382,1.4446477045388383e-05,2.7603721700661437,0.0
2019-12-27,0.005174751060314282,0.005011728966018334,0.16302209429594852,0.00016302209429594852,2.774206407227855,0.0
2020-01-03,0.003696807213560512,0.003635111351027665,0.061695862532847076,6.169586253284708e-05,2.7842909564288623,0.0
2020-01-10,0.00941168486193446,0.009353003793238767,0.05868106869569269,5.8681068695692685e-05,2.810332440305822,0.0
2020-01-17,0.00230345622339903,0.0022452668716072387,0.05818935179179115,5.818935179179115e-05,2.816642386632244,0.0
2020-01-24,-0.006010075454995152,-0.006020439768193634,0.010364313198482343,1.0364313198482344e-05,2.799684960794983,-0.006020439768193664
2020-01-31,0.012111156691337985,0.011896179550870318,0.21497714046766733,0.00021497714046766735,2.8329905157744717,0.0
2020-02-07,0.009696208654203542,0.009683721362215797,0.012487291987744984,1.2487291987744985e-05,2.860424406551032,0.0
2020-02-14,0.0007698504953551141,0.0007108832660774536,0.058967229277660446,5.896722927766045e-05,2.8624578343955283,0.0
2020-02-21,-0.04961257679977937,-0.049671601600335284,0.05902480055590908,5.9024800555909076e-05,2.7202749692476753,-0.049671601600335236
2020-02-28,0.02459789305940826,0.02392863395166474,0.6692591077435183,0.0006692591077435183,2.7853674332346787,-0.02693154122115793
2020-03-06,-0.07476376653896505,-0.07488099927571405,0.11723273674900103,0.00011723273674900103,2.576796336484035,-0.0997958797781966
2020-03-13,-0.04805762720457002,-0.04817088414837396,0.11325694380394447,0.00011325694380394446,2.452669778685308,-0.14315950816329004
2020-03-20,0.06796115074639658,0.06795124920803616,0.009901538360419748,9.901538360419748e-06,2.619331754041772,-0.0849361263709576
