,gross_return,net_return,turnover,cost,wealth,drawdown
2007-10-26,0.0034934028936165554,0.0029163152381598374,0.5770876554567181,0.0005770876554567182,1.2294663274920925,0.0
2007-11-02,-0.0030309723090494074,-0.003038410421779076,0.007438112729668619,7.438112729668619e-06,1.225730704189414,-0.003038410421779103
2007-11-09,-0.0037029742638031177,-0.0037109463579039037,0.007972094100786052,7.972094100786053e-06,1.2211820832969313,-0.006738081401594487
2007-11-16,0.0011112788810888439,0.001107715061985125,0.0035638191037188887,3.5638191037188887e-06,1.2225348050840257,-0.005637830213866879
2007-11-23,0.0017971038572291015,0.0017884112955455775,0.008692561683524006,8.692561683524006e-06,1.2247212001386354,-0.003859501677558219
2007-11-30,0.003114564196312404,0.003060471208420018,0.054092987892385876,5.409298789238588e-05,1.2284694241100014,-0.0008108423629011874
2007-12-07,-0.007145927258127511,-0.007148478836014864,0.0025515778873526906,2.5515778873526907e-06,1.2196877364310597,-0.007953524909445564
2007-12-14,0.0045534699886868694,0.004544003991457402,0.00946599722946764,9.46599722946764e-06,1.2252300023737341,-0.0034456617669227363
2007-12-21,0.0031076871136959906,0.0030930297857132915,0.014657327982698993,1.4657327982698994e-05,1.2290196752654257,-0.0003632895156859828
2007-12-28,0.004176636037479141,0.0037271526314186488,0.44948340606049264,0.00044948340606049266,1.2336004191821566,0.0
2008-01-04,0.005492650735411141,0.005478835793507598,0.013814941903542936,1.3814941903542936e-05,1.2403591133136578,0.0
2008-01-11,-0.009207177354086025,-0.009232987972712938,0.025810618626912665,2.5810618626912665e-05,1.2289068925385878,-0.009232987972712992
2008-01-18,0.006657663775340558,0.006631495750032147,0.026168025308411058,2.6168025308411058e-05,1.2370563833736428,-0.0026627207431819677
2008-01-25,0.004753474025107901,0.004274051241059975,0.47942278404792543,0.00047942278404792545,1.242343625744262,0.0
2008-02-01,-0.0030211056435441802,-0.003038243969282789,0.01713832573860881,1.713832573860881e-05,1.2385690827155675,-0.003038243969282761
2008-02-08,-0.0009560061817648381,-0.0009624110402791836,0.0064048585143454415,6.4048585143454416e-06,1.2373770701562137,-0.0039977309700227615
2008-02-15,0.0048017670295939716,0.004798218608039153,0.00354842155481902,3.54842155481902e-06,1.243314275839398,0.0
2008-02-22,0.004566423460017007,0.004548576370270472,0.017847089746535677,1.7847089746535677e-05,1.248969585775301,0.0
2008-02-29,-0.004936521341499509,-0.00496748891111705,0.03096756961754055,3.096756961754055e-05,1.2427653432076395,-0.004967488911117202
2008-03-07,0.004457086129039726,0.004443993505038772,0.013092624000953856,1.3092624000953855e-05,1.2482881843211417,-0.000545570894535552
2008-03-14,-0.005077414701212953,-0.005091328115877874,0.013913414664921164,1.3913414664921165e-05,1.2419327395915893,-0.0056341213299789805
2008-03-21,0.0017290273219943942,0.0017197790208331402,0.009248301161254071,9.248301161254072e-06,1.2440685894624248,-0.0039240317528098645
2008-03-28,0.0017571371675606626,0.0017141399521221304,0.042997215438532105,4.299721543853211e-05,1.2462010971348025,-0.0022166181402887286
2008-04-04,0.0010962023805027707,0.0010925661275808893,0.003636252921881451,3.636252921881451e-06,1.2475626542416862,-0.001126473814605622
2008-04-11,-0.0030742723470544623,-0.0030778435283634583,0.0035711813089959257,3.571181308995926e-06,1.2437228516001004,-0.004200850232829012
2008-04-18,-0.0032838411727066624,-0.0032865119655606195,0.0026707928539573085,2.6707928539573087e-06,1.2396353415664756,-0.007473556053833819
2008-04-25,-0.0017238698339651836,-0.0017994141515877264,0.07554431762254282,7.554431762254283e-05,1.2374047241900525,-0.009259522182895608
2008-05-02,0.004532843908166472,0.00452943484902251,0.0034090591439620596,3.40905914396206e-06,1.243009468270144,-0.004772027736333673
2008-05-09,0.0015975690512874709,0.0015850571025446296,0.012511948742841124,1.2511948742841124e-05,1.244979709256356,-0.003194534570245988
