,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2019-02-22,0.06083021190912811,0.06155812988475935,0.226632565876475,0.2595946920708018,0.1913844002588357,0.19999999999999996
2019-03-01,0.06083021190912811,0.06155812988475935,0.226632565876475,0.2595946920708018,0.1913844002588357,0.19999999999999996
2019-03-08,0.06083021190912811,0.06155812988475935,0.226632565876475,0.2595946920708018,0.1913844002588357,0.19999999999999996
2019-03-15,0.06083021190912811,0.06155812988475935,0.226632565876475,0.2595946920708018,0.1913844002588357,0.19999999999999996
2019-03-22,0.06083021190912811,0.06155812988475935,0.226632565876475,0.2595946920708018,0.1913844002588357,0.19999999999999996
2019-03-29,0.05670397269842589,0.05806175618728391,0.2402854169794731,0.25320815120336276,0.1917407029314544,0.19999999999999996
2019-04-05,0.05670397269842589,0.05806175618728391,0.2402854169794731,0.25320815120336276,0.1917407029314544,0.19999999999999996
2019-04-12,0.05670397269842589,0.05806175618728391,0.2402854169794731,0.25320815120336276,0.1917407029314544,0.19999999999999996
2019-04-19,0.05670397269842589,0.05806175618728391,0.2402854169794731,0.25320815120336276,0.1917407029314544,0.19999999999999996
2019-04-26,0.07401018661876471,0.07689025908792864,0.3041267829849737,0.29999450808873024,0.17459196305648997,0.07038630016311276
2019-05-03,0.07401018661876471,0.07689025908792864,0.3041267829849737,0.29999450808873024,0.17459196305648997,0.07038630016311276
2019-05-10,0.07401018661876471,0.07689025908792864,0.3041267829849737,0.29999450808873024,0.17459196305648997,0.07038630016311276
2019-05-17,0.07401018661876471,0.07689025908792864,0.3041267829849737,0.29999450808873024,0.17459196305648997,0.07038630016311276
2019-05-24,0.07401018661876471,0.07689025908792864,0.3041267829849737,0.29999450808873024,0.17459196305648997,0.07038630016311276
2019-05-31,0.06009502188661908,0.062482076131559774,0.2529667934244653,0.27127575153460665,0.1531803570227493,0.19999999999999996
2019-06-07,0.06009502188661908,0.062482076131559774,0.2529667934244653,0.27127575153460665,0.1531803570227493,0.19999999999999996
2019-06-14,0.06009502188661908,0.062482076131559774,0.2529667934244653,0.27127575153460665,0.1531803570227493,0.19999999999999996
2019-06-21,0.06009502188661908,0.062482076131559774,0.2529667934244653,0.27127575153460665,0.1531803570227493,0.19999999999999996
2019-06-28,0.07121419479361904,0.07339129896554461,0.31670540160068955,0.30139963420019894,0.16647757804600788,0.07081189239394003
2019-07-05,0.07121419479361904,0.07339129896554461,0.31670540160068955,0.30139963420019894,0.16647757804600788,0.07081189239394003
2019-07-12,0.07121419479361904,0.07339129896554461,0.31670540160068955,0.30139963420019894,0.16647757804600788,0.07081189239394003
2019-07-19,0.07121419479361904,0.07339129896554461,0.31670540160068955,0.30139963420019894,0.16647757804600788,0.07081189239394003
2019-07-26,0.06957712078577576,0.07183026492582524,0.3147738366009828,0.32752705671978827,0.1766226575370855,0.03966906343054244
2019-08-02,0.06957712078577576,0.07183026492582524,0.3147738366009828,0.32752705671978827,0.1766226575370855,0.03966906343054244
2019-08-09,0.06957712078577576,0.07183026492582524,0.3147738366009828,0.32752705671978827,0.1766226575370855,0.03966906343054244
2019-08-16,0.06957712078577576,0.07183026492582524,0.3147738366009828,0.32752705671978827,0.1766226575370855,0.03966906343054244
2019-08-23,0.06957712078577576,0.07183026492582524,0.3147738366009828,0.32752705671978827,0.1766226575370855,0.03966906343054244
2019-08-30,0.0641987463488201,0.0668369134377883,0.31929276564640713,0.3163528043683914,0.19365663939649422,0.039662130802098794
2019-09-06,0.0641987463488201,0.0668369134377883,0.31929276564640713,0.3163528043683914,0.19365663939649422,0.039662130802098794
2019-09-13,0.0641987463488201,0.0668369134377883,0.31929276564640713,0.3163528043683914,0.19365663939649422,0.039662130802098794
2019-09-20,0.0641987463488201,0.0668369134377883,0.31929276564640713,0.3163528043683914,0.19365663939649422,0.039662130802098794
2019-09-27,0.06265230169149887,0.06512046957609299,0.3034825967768703,0.34245136818338656,0.1866204158919844,0.039672847880166895
2019-10-04,0.06265230169149887,0.06512046957609299,0.3034825967768703,0.34245136818338656,0.1866204158919844,0.039672847880166895
