name,full_ann_return,full_ann_vol,full_sharpe,full_max_drawdown,full_cvar_5,full_calmar,holdout_ann_return,holdout_sharpe,holdout_max_drawdown,avg_BIL,avg_SPY,avg_turnover,avg_offensive_sleeve,avg_defensive_sleeve,avg_explicit_cash_sleeve,avg_composite_regime_offense_component,avg_composite_regime_defense_component,avg_composite_regime_cash_component
improved_phasefff_recovery_quality_filtered_offense,0.07042520970889643,0.07797366790431967,0.9031922134958965,-0.12113377747905785,-0.02617085385412429,0.5813837492277648,0.14425328469471665,1.7659712430771124,-0.07253274787138575,0.27380514935777234,0.06348771887657591,0.12194909831309228,0.45415358247644166,0.32059676948204135,0.2252496480415167,0.1174782210048842,0.21075095062614035,
improved_phasefff_recovery_confirmed_tilted_offense,0.06719613248139744,0.07620391937137072,0.8817936536036303,-0.12538209908168918,-0.025595146829155695,0.5359308304259421,0.14494779087941168,1.829533961444,-0.07370624725966202,0.2976391339942911,0.06730217349483396,0.12143404031059798,0.4677445431029873,0.30749036288940557,0.2247650940076068,0.13576100860767668,0.20452742408372698,
improved_phasefff_robust_composite_offense,0.07064225324550799,0.07725450677074629,0.9144094784675768,-0.12080908523543876,-0.025850824996276008,0.5847428867442945,0.14610718876091444,1.7864793767992342,-0.07261349254799576,0.27254267066914184,0.062398657278381384,0.12289415055575899,0.4520446970822432,0.3230633065809506,0.22489199633680584,0.11258603261395256,0.21259244774688973,
improved_phasefff_conservative_offense_polish,0.06977717161735675,0.07661389491206708,0.9107639247089955,-0.1242960885015072,-0.02557205544625783,0.5613786600896186,0.1462615534671996,1.7896174250940478,-0.07249625953496497,0.26602800509671,0.06040307862350614,0.12346837591231548,0.44891552414392716,0.32611137617270813,0.22497309968336446,0.10399135399557208,0.21462247347243676,
improved_phase2b_regime_confidence_boost,0.06892339744592735,0.07789583362986176,0.8848149411100881,-0.1397540394638661,-0.026181041847003924,0.49317642416874635,0.12434300579402913,1.624899271571444,-0.06264198894939876,0.2839178772422698,0.07081167142134887,0.11235713174891823,0.3908031422936725,0.1337725320855525,0.2211194788802588,,,
improved_phase2b_combo_abc,0.06858383853128158,0.07758151231293113,0.8840229648352725,-0.13674121541523387,-0.026085048036177054,0.5015593749332792,0.12357814887332408,1.6276887811347291,-0.0623953152856741,0.28555249754723755,0.07075650850396528,0.11304102891252374,0.38986047647566613,0.13357171387880154,0.22286068295642847,,,
improved_phaseddd_confirmed_harder_dual_cap,0.07142949164881651,0.07615823993698702,0.9379089079253532,-0.11749144441113335,-0.025319438591311378,0.6079548345568551,0.14614153507281413,1.8114806247624393,-0.07278880579346969,0.2673445934817285,0.06035200447193239,0.12335903521285745,0.445530437769066,0.32907606133913186,0.22539350089180193,0.09791435081256054,0.21707089991945008,
improved_phaseeee_smoothed_near_exclude_dual,0.07127236382560498,0.07620376497612329,0.9352866468990941,-0.11773854403501693,-0.02537692458522291,0.6053443620332835,0.14628628670593335,1.8197935871617674,-0.0725413813189516,0.266545761829705,0.060178289759951355,0.12303737999723965,0.4451098882566741,0.32953860414943076,0.22535150759389494,0.09778441502163121,0.21704227371628348,
