state,n_weeks,ll_mean_wkly,prod_mean_wkly,delta_mean_wkly,ll_minus_prod_cumulative,avg_w_w1,max_w_w1,candidate
calm_trend,295,0.0005977389081945343,0.0007552175162830647,-0.00015747860808853033,-0.0531767168055004,0.04999999999999999,0.05,improved_phasell_w1_bucket_fixed5
neutral_mixed,492,0.0018756104311211932,0.0020754245901171797,-0.0001998141589959865,-0.2468333792921844,0.05,0.05,improved_phasell_w1_bucket_fixed5
recovery_confirmed,44,0.00040669137587351947,0.0005399585327544482,-0.00013326715688092872,-0.0058612923083445345,0.04999999999999998,0.05,improved_phasell_w1_bucket_fixed5
recovery_fragile,49,0.0011624529845976938,0.0013236555558595474,-0.00016120257126185362,-0.008306105765679028,0.049999999999999996,0.05,improved_phasell_w1_bucket_fixed5
stressed_panic,229,0.0005193972064605783,0.00068168964870096,-0.00016229244224038165,-0.04196228790025791,0.049999999999999996,0.05,improved_phasell_w1_bucket_fixed5
calm_trend,295,0.0006095176788392646,0.0007552175162830647,-0.00014569983744380007,-0.051797904117107274,0.0,0.0,improved_phasell_w1_bucket_state_conditional
neutral_mixed,492,0.0018050907610118625,0.0020754245901171797,-0.00027033382910531716,-0.3251715988377821,0.1,0.1,improved_phasell_w1_bucket_state_conditional
recovery_confirmed,44,0.000434635527535796,0.0005399585327544482,-0.00010532300521865222,-0.004732488209979513,0.0,0.0,improved_phasell_w1_bucket_state_conditional
recovery_fragile,49,0.0010688847640940168,0.0013236555558595474,-0.0002547707917655306,-0.013058263026611172,0.09999999999999999,0.1,improved_phasell_w1_bucket_state_conditional
stressed_panic,229,0.0005332945089706077,0.00068168964870096,-0.00014839513973035235,-0.03793777665020159,0.09999999999999999,0.1,improved_phasell_w1_bucket_state_conditional
calm_trend,295,0.0005641462523413718,0.0007552175162830647,-0.00019107126394169284,-0.06625021362989969,0.021211809232076818,0.1,improved_phasell_w1_bucket_ml_conditional
neutral_mixed,492,0.0019253921477769618,0.0020754245901171797,-0.00015003244234021787,-0.18914584818394653,0.0405116165744296,0.1,improved_phasell_w1_bucket_ml_conditional
recovery_confirmed,44,0.00034911286292297326,0.0005399585327544482,-0.00019084566983147493,-0.00847625564385579,0.017578116126250393,0.1,improved_phasell_w1_bucket_ml_conditional
recovery_fragile,49,0.0011672706054049243,0.0013236555558595474,-0.00015638495045462307,-0.008083021535036483,0.04738132756465475,0.1,improved_phasell_w1_bucket_ml_conditional
stressed_panic,229,0.000533605516088841,0.00068168964870096,-0.00014808413261211903,-0.03830721404597348,0.09360156887034177,0.1,improved_phasell_w1_bucket_ml_conditional
