role,candidate,state,n_weeks,ann_return,sharpe,vol_wkly,mean_wkly,ann_return_delta_vs_production,sharpe_delta_vs_production,mean_wkly_delta_vs_production
current_production,improved_frontier_phase5_fragility_guard,calm_trend,295,0.0404766923858421,0.527713709589674,0.0106366524125519,0.0008198997276052,0.0,0.0,0.0
current_production,improved_frontier_phase5_fragility_guard,neutral_mixed,493,0.1122941191662723,1.473903788135384,0.0105654063782671,0.0021044426740474,0.0,0.0,0.0
current_production,improved_frontier_phase5_fragility_guard,recovery_confirmed,44,0.0252966200611599,0.338704239271853,0.0103571482762709,0.0005330585840252,0.0,0.0,0.0
current_production,improved_frontier_phase5_fragility_guard,recovery_fragile,49,0.0672292413716466,1.156953626079116,0.0080582472236392,0.0012839261606323,0.0,0.0,0.0
current_production,improved_frontier_phase5_fragility_guard,stressed_panic,229,0.0356965838417406,0.4792829659209667,0.0103283986024495,0.0007280303106928,0.0,0.0,0.0
prior_production_pin_and_rollback,improved_phase2b_regime_confidence_boost,calm_trend,295,0.0355835186854727,0.3842746110852873,0.012841197562773,0.000755217516283,-0.004893173700369402,-0.1434390985043867,-6.468221132219991e-05
prior_production_pin_and_rollback,improved_phase2b_regime_confidence_boost,neutral_mixed,493,0.1104325273045041,1.4621928615518431,0.0104734721007397,0.0020712148039303,-0.0018615918617681942,-0.011710926583540893,-3.3227870117100156e-05
prior_production_pin_and_rollback,improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.0261472572096941,0.384676591296597,0.0094260276249731,0.0005399585327544,0.0008506371485342001,0.04597235202474398,6.899948729200008e-06
prior_production_pin_and_rollback,improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.0697350818584747,1.3168400445604982,0.0073437286006116,0.0013236555558595,0.002505840486828101,0.1598864184813822,3.972939522719999e-05
prior_production_pin_and_rollback,improved_phase2b_regime_confidence_boost,stressed_panic,229,0.0336931998334126,0.4967269357498167,0.0094063877021474,0.0006816896487009,-0.002003384008327995,0.017443969828849992,-4.634066199189996e-05
official_shadow,improved_phase2b_combo_abc,calm_trend,295,0.0356586248302497,0.385442517093463,0.0128293100224235,0.0007564612432948,-0.004818067555592401,-0.142271192496211,-6.343848431039991e-05
official_shadow,improved_phase2b_combo_abc,neutral_mixed,493,0.1095359888643736,1.454915029806381,0.0104404094521036,0.0020553112308033,-0.002758130301898698,-0.01898875832900293,-4.913144324410028e-05
official_shadow,improved_phase2b_combo_abc,recovery_confirmed,44,0.025594242377825,0.3747303290940125,0.0094715653944665,0.0005300110141975,0.00029762231666510125,0.03602608982215949,-3.0475698277000534e-06
official_shadow,improved_phase2b_combo_abc,recovery_fragile,49,0.0676959357047142,1.284596602945017,0.0073079262262113,0.0012866644732256,0.0004666943330676049,0.1276429768659011,2.738312593300162e-06
official_shadow,improved_phase2b_combo_abc,stressed_panic,229,0.0343314562519767,0.5139795414389289,0.0092628519154454,0.0006922047381164,-0.0013651275897638981,0.03469657551796218,-3.582557257639999e-05
