version_name,selected_config,market_state,observations,selection_share_state
improved_phasem_validation_first_learning_allocator,vf_balanced,calm_trend,123,0.41694915254237286
improved_phasem_validation_first_learning_allocator,vf_balanced,neutral_mixed,228,0.4634146341463415
improved_phasem_validation_first_learning_allocator,vf_balanced,recovery_confirmed,19,0.4318181818181818
improved_phasem_validation_first_learning_allocator,vf_balanced,recovery_fragile,9,0.1836734693877551
improved_phasem_validation_first_learning_allocator,vf_balanced,stressed_panic,63,0.27510917030567683
improved_phasem_validation_first_learning_allocator,vf_retentive,calm_trend,65,0.22033898305084745
improved_phasem_validation_first_learning_allocator,vf_retentive,neutral_mixed,96,0.1951219512195122
improved_phasem_validation_first_learning_allocator,vf_retentive,recovery_confirmed,19,0.4318181818181818
improved_phasem_validation_first_learning_allocator,vf_retentive,recovery_fragile,14,0.2857142857142857
improved_phasem_validation_first_learning_allocator,vf_retentive,stressed_panic,66,0.28820960698689957
improved_phasem_validation_first_learning_allocator,vf_stable,calm_trend,107,0.36271186440677966
improved_phasem_validation_first_learning_allocator,vf_stable,neutral_mixed,168,0.34146341463414637
improved_phasem_validation_first_learning_allocator,vf_stable,recovery_confirmed,6,0.13636363636363635
improved_phasem_validation_first_learning_allocator,vf_stable,recovery_fragile,26,0.5306122448979592
improved_phasem_validation_first_learning_allocator,vf_stable,stressed_panic,100,0.4366812227074236
improved_phasem_production_proximity_allocator,pp_close,calm_trend,96,0.3254237288135593
improved_phasem_production_proximity_allocator,pp_close,neutral_mixed,76,0.15447154471544716
improved_phasem_production_proximity_allocator,pp_close,recovery_confirmed,4,0.09090909090909091
improved_phasem_production_proximity_allocator,pp_close,recovery_fragile,8,0.16326530612244897
improved_phasem_production_proximity_allocator,pp_close,stressed_panic,50,0.2183406113537118
improved_phasem_production_proximity_allocator,pp_holdout,calm_trend,66,0.22372881355932203
improved_phasem_production_proximity_allocator,pp_holdout,neutral_mixed,218,0.44308943089430897
improved_phasem_production_proximity_allocator,pp_holdout,recovery_confirmed,19,0.4318181818181818
improved_phasem_production_proximity_allocator,pp_holdout,recovery_fragile,23,0.46938775510204084
improved_phasem_production_proximity_allocator,pp_holdout,stressed_panic,81,0.3537117903930131
improved_phasem_production_proximity_allocator,pp_upside,calm_trend,133,0.45084745762711864
improved_phasem_production_proximity_allocator,pp_upside,neutral_mixed,198,0.4024390243902439
improved_phasem_production_proximity_allocator,pp_upside,recovery_confirmed,21,0.4772727272727273
improved_phasem_production_proximity_allocator,pp_upside,recovery_fragile,18,0.3673469387755102
improved_phasem_production_proximity_allocator,pp_upside,stressed_panic,98,0.4279475982532751
