date,bucket,prod_share,partner_share,l1_distance_to_production,l1_distance_to_partner,bil_weight
2005-01-14,defense_production,0.7,0.3,0.05506950978226835,0.1284955228252941,0.9724652451088659
2005-01-21,defense_production,0.7,0.3,0.054187055170855536,0.12643646206532924,0.9729064724145722
2005-01-28,defense_production,0.7,0.3,0.05404591228019211,0.12610712865378254,0.972977043859904
2005-02-04,defense_production,0.7,0.3,0.053968807042835895,0.12592721643328414,0.973015596478582
2005-02-11,defense_production,0.7,0.3,0.053930560155940124,0.12583797369719413,0.97303471992203
2005-02-18,defense_production,0.7,0.3,0.053913920649614075,0.12579914818243357,0.973043039675193
2005-02-25,defense_production,0.7,0.3,0.0731039430965297,0.17057586722523757,0.9634480284517353
2005-03-04,defense_production,0.7,0.3,0.0731018751718412,0.17057104206762935,0.9634490624140793
2005-03-11,defense_production,0.7,0.3,0.07319482793838768,0.17078793185623867,0.9634025860308062
2005-03-18,ambiguous_abstain,0.7,0.3,0.06266218708965,0.1462117698758508,0.968668906455175
2005-03-25,ambiguous_abstain,0.7,0.3,0.06180789647534823,0.14421842510914673,0.9690960517623259
2005-04-01,ambiguous_abstain,0.7,0.3,0.14122969220184423,0.32953594847097056,0.9293851538990779
2005-04-08,ambiguous_abstain,0.7,0.3,0.14119124019402857,0.3294462271194001,0.9294043799029856
2005-04-15,ambiguous_abstain,0.7,0.3,0.14109877728119108,0.3292304803227796,0.9294506113594044
2005-04-22,ambiguous_abstain,0.7,0.3,0.14101703635813595,0.32903975150231746,0.929491481820932
2005-04-29,ambiguous_abstain,0.7,0.3,0.1421916383926276,0.33178048958279815,0.9289041808036862
2005-05-06,ambiguous_abstain,0.7,0.3,0.14215448378282347,0.33169379549325534,0.9289227581085883
2005-05-13,ambiguous_abstain,0.7,0.3,0.14209456800079523,0.3315539920018561,0.9289527159996024
2005-05-20,defense_production,0.7,0.3,0.14193816296537848,0.33118904691921724,0.9290309185173108
2005-05-27,defense_production,0.7,0.3,0.14185386098546798,0.33099234229942637,0.9290730695072661
2005-06-03,defense_production,0.7,0.3,0.06325764099232836,0.1476011623154338,0.9683711795038359
2005-06-10,defense_production,0.7,0.3,0.06292791778040907,0.14683180815428895,0.9685360411097955
2005-06-17,defense_production,0.7,0.3,0.06269312367361207,0.14628395523842933,0.968653438163194
