version_name,full_raw_delta_vs_production,holdout_raw_delta_vs_production,holdout_sharpe_delta_vs_production,bootstrap_prob_vs_production,full_raw_delta_vs_phaseq_bucket,holdout_raw_delta_vs_phaseq_bucket,holdout_sharpe_delta_vs_phaseq_bucket,bootstrap_prob_vs_phaseq_bucket,max_drawdown_delta_vs_production,cvar_delta_vs_production,rolling_raw_win_rate_vs_production,rolling_mean_raw_delta_vs_production,rolling_mean_sharpe_delta_vs_production,rolling_mean_ann_return_delta_vs_production,classification
improved_phaser_bucket_refined_meta_allocator,0.04477996053845079,-0.01569074194064113,0.08404740279717293,0.3175,-0.003057352770816424,0.0025030614005085994,-0.027081263990397897,0.948,0.006447774900811609,0.001887368318643324,0.4,0.022654240055828428,0.06492156898634614,0.0019688677113882075,Research-only
improved_phaser_light_abstention_overlay_allocator,0.042164192449050564,-0.013126655038891544,0.05527930698462846,0.3895,-0.005673120860216652,0.005067148302258184,-0.05584935980294237,0.9475,0.003164775436031997,0.0013271935864518636,0.4666666666666667,0.024999310144897858,0.06433850138854667,0.003281958835876083,Research-only
improved_phaser_fast_narrow_regret_allocator,0.04699737494967415,-0.017572088041433842,0.11610449414400925,0.2675,-0.0008399383595930621,0.0006217152997158859,0.0049758273564384226,0.9835,0.009347886328471389,0.0026237448840481237,0.4,0.01937632191617733,0.06905647683319938,0.000768808005692286,Research-only
improved_phaser_refined_bucket_fast_regret_combo,0.04471001647502304,-0.015673880899046644,0.08395994488459646,0.318,-0.0031272968342441754,0.002519922442103084,-0.02716872190297437,0.9485,0.006434956813072712,0.0018868494632295618,0.4,0.022646961082163172,0.06489538831092594,0.001967602491771044,Research-only
