version_name,vs_version,full_raw_delta_vs_production,holdout_raw_delta_vs_production,holdout_sharpe_delta_vs_production,holdout_bootstrap_prob_excess_return,rolling_windows,rolling_raw_win_rate_vs_production,rolling_mean_raw_delta_vs_production,rolling_mean_sharpe_delta_vs_production,rolling_mean_ann_return_delta_vs_production,rolling_mean_max_drawdown_delta_vs_production,rolling_mean_cvar_delta_vs_production
improved_phase2b_combo_abc,improved_phase2b_regime_confidence_boost,0.0026269243756594785,-0.0022334436862687657,0.013426112437312288,0.317,15,0.3333333333333333,0.0013224599609879132,-0.00012764408261087823,-0.00020941331408595628,0.0006444875626219574,8.786563165641276e-05
improved_phasec_sleeve_universe_base,improved_phase2b_regime_confidence_boost,0.040641743220275695,-0.010222264864887087,-0.12412372593374488,0.7805,15,0.6,0.01445332364101564,0.0030103810733098165,0.0063549527840430775,-0.0036807970867612488,-0.0016953818583257077
improved_phasec_state_conditioned_map,improved_phase2b_regime_confidence_boost,0.048767656239945834,-0.011881184663413258,-0.13169555035131641,0.785,15,0.6,0.016300555327752465,0.003693825661275141,0.006860452673974393,-0.003893661169618749,-0.0018083971909396888
