,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2012-12-28,0.08435815163430647,0.08477969535335061,0.29339141437826166,0.052022760841674565,0.33995417370123704,0.14549380409116974,0.0
2013-01-04,0.08435815163430647,0.08477969535335061,0.29339141437826166,0.052022760841674565,0.33995417370123704,0.14549380409116974,0.0
2013-01-11,0.08435815163430647,0.08477969535335061,0.29339141437826166,0.052022760841674565,0.33995417370123704,0.14549380409116974,0.0
2013-01-18,0.08435815163430647,0.08477969535335061,0.29339141437826166,0.052022760841674565,0.33995417370123704,0.14549380409116974,0.0
2013-01-25,0.0911593205564386,0.08908408265256801,0.30247013152180635,0.0594116121292284,0.30341314745848397,0.15446170568147471,0.0
2013-02-01,0.0911593205564386,0.08908408265256801,0.30247013152180635,0.0594116121292284,0.30341314745848397,0.15446170568147471,0.0
2013-02-08,0.0911593205564386,0.08908408265256801,0.30247013152180635,0.0594116121292284,0.30341314745848397,0.15446170568147471,0.0
2013-02-15,0.0911593205564386,0.08908408265256801,0.30247013152180635,0.0594116121292284,0.30341314745848397,0.15446170568147471,0.0
2013-02-22,0.09304066361693647,0.0882516261883022,0.31670664111183244,0.051632892781818554,0.3050688739211825,0.14529930237992786,0.0
2013-03-01,0.09304066361693647,0.0882516261883022,0.31670664111183244,0.051632892781818554,0.3050688739211825,0.14529930237992786,0.0
2013-03-08,0.09304066361693647,0.0882516261883022,0.31670664111183244,0.051632892781818554,0.3050688739211825,0.14529930237992786,0.0
2013-03-15,0.09304066361693647,0.0882516261883022,0.31670664111183244,0.051632892781818554,0.3050688739211825,0.14529930237992786,0.0
2013-03-22,0.09304066361693647,0.0882516261883022,0.31670664111183244,0.051632892781818554,0.3050688739211825,0.14529930237992786,0.0
2013-03-29,0.07985011610172066,0.11554058955392435,0.18198832172323381,0.08724592862360504,0.36287776372454933,0.1724972802729668,0.0
2013-04-05,0.07985011610172066,0.11554058955392435,0.18198832172323381,0.08724592862360504,0.36287776372454933,0.1724972802729668,0.0
2013-04-12,0.07985011610172066,0.11554058955392435,0.18198832172323381,0.08724592862360504,0.36287776372454933,0.1724972802729668,0.0
2013-04-19,0.07985011610172066,0.11554058955392435,0.18198832172323381,0.08724592862360504,0.36287776372454933,0.1724972802729668,0.0
2013-04-26,0.07846067522279959,0.11447669613096663,0.16892403561705716,0.08079148021257906,0.33804887679753737,0.16943529795928985,0.04986293805977038
2013-05-03,0.07846067522279959,0.11447669613096663,0.16892403561705716,0.08079148021257906,0.33804887679753737,0.16943529795928985,0.04986293805977038
2013-05-10,0.07846067522279959,0.11447669613096663,0.16892403561705716,0.08079148021257906,0.33804887679753737,0.16943529795928985,0.04986293805977038
2013-05-17,0.07846067522279959,0.11447669613096663,0.16892403561705716,0.08079148021257906,0.33804887679753737,0.16943529795928985,0.04986293805977038
2013-05-24,0.07846067522279959,0.11447669613096663,0.16892403561705716,0.08079148021257906,0.33804887679753737,0.16943529795928985,0.04986293805977038
2013-05-31,0.08511154717697031,0.13014169144383006,0.18179438491358862,0.09210605252494693,0.3343045806130621,0.1765417433276019,1.1102230246251565e-16
2013-06-07,0.08511154717697031,0.13014169144383006,0.18179438491358862,0.09210605252494693,0.3343045806130621,0.1765417433276019,1.1102230246251565e-16
2013-06-14,0.08511154717697031,0.13014169144383006,0.18179438491358862,0.09210605252494693,0.3343045806130621,0.1765417433276019,1.1102230246251565e-16
2013-06-21,0.08511154717697031,0.13014169144383006,0.18179438491358862,0.09210605252494693,0.3343045806130621,0.1765417433276019,1.1102230246251565e-16
2013-06-28,0.07503826172371701,0.10150047448878428,0.1954782653093449,0.06692815195152396,0.26368854043894346,0.13488041697728423,0.16248588911040207
2013-07-05,0.07503826172371701,0.10150047448878428,0.1954782653093449,0.06692815195152396,0.26368854043894346,0.13488041697728423,0.16248588911040207
2013-07-12,0.07503826172371701,0.10150047448878428,0.1954782653093449,0.06692815195152396,0.26368854043894346,0.13488041697728423,0.16248588911040207
2013-07-19,0.07503826172371701,0.10150047448878428,0.1954782653093449,0.06692815195152396,0.26368854043894346,0.13488041697728423,0.16248588911040207
2013-07-26,0.09387903912741043,0.12749613687777206,0.20950663790201307,0.09541893241450447,0.28504918216386,0.15830495448403936,0.03034511703040066
2013-08-02,0.09387903912741043,0.12749613687777206,0.20950663790201307,0.09541893241450447,0.28504918216386,0.15830495448403936,0.03034511703040066
2013-08-09,0.09387903912741043,0.12749613687777206,0.20950663790201307,0.09541893241450447,0.28504918216386,0.15830495448403936,0.03034511703040066
2013-08-16,0.09387903912741043,0.12749613687777206,0.20950663790201307,0.09541893241450447,0.28504918216386,0.15830495448403936,0.03034511703040066
2013-08-23,0.09387903912741043,0.12749613687777206,0.20950663790201307,0.09541893241450447,0.28504918216386,0.15830495448403936,0.03034511703040066
2013-08-30,0.08002131085525224,0.10829386710101549,0.17183879826831092,0.09282280445373525,0.24784965174029036,0.1385034225565098,0.16067014502488586
2013-09-06,0.08002131085525224,0.10829386710101549,0.17183879826831092,0.09282280445373525,0.24784965174029036,0.1385034225565098,0.16067014502488586
2013-09-13,0.08002131085525224,0.10829386710101549,0.17183879826831092,0.09282280445373525,0.24784965174029036,0.1385034225565098,0.16067014502488586
2013-09-20,0.08002131085525224,0.10829386710101549,0.17183879826831092,0.09282280445373525,0.24784965174029036,0.1385034225565098,0.16067014502488586
2013-09-27,0.07908619687796828,0.10651830214088258,0.16579620846631382,0.09909426567468943,0.2489975477990962,0.13913782281991277,0.16136965622113686
2013-10-04,0.07908619687796828,0.10651830214088258,0.16579620846631382,0.09909426567468943,0.2489975477990962,0.13913782281991277,0.16136965622113686
2013-10-11,0.07908619687796828,0.10651830214088258,0.16579620846631382,0.09909426567468943,0.2489975477990962,0.13913782281991277,0.16136965622113686
2013-10-18,0.07908619687796828,0.10651830214088258,0.16579620846631382,0.09909426567468943,0.2489975477990962,0.13913782281991277,0.16136965622113686
2013-10-25,0.09249280507237609,0.12579667434089847,0.1855714721004252,0.12669822816693385,0.2759412051996388,0.1585917465023547,0.03490786861737294
2013-11-01,0.09249280507237609,0.12579667434089847,0.1855714721004252,0.12669822816693385,0.2759412051996388,0.1585917465023547,0.03490786861737294
