view_spread,confidence_floor,confidence,spread_divisor,confidence_ceiling
0.0,0.1,0.1,2.0,0.9
0.25,0.1,0.125,2.0,0.9
0.5,0.1,0.25,2.0,0.9
1.0,0.1,0.5,2.0,0.9
2.0,0.1,0.9,2.0,0.9
0.0,0.25,0.25,2.0,0.9
0.25,0.25,0.25,2.0,0.9
0.5,0.25,0.25,2.0,0.9
1.0,0.25,0.5,2.0,0.9
2.0,0.25,0.9,2.0,0.9
