state_kind,state,n_weeks,gg_mean_wkly,prod_mean_wkly,delta_mean_wkly,gg_minus_prod_cumulative,candidate
market_state,calm_trend,295,0.0007403071698442711,0.0007552175162830647,-1.4910346438793591e-05,-0.005668941350058354,improved_phasegg_hint_inallocator_10
market_state,neutral_mixed,493,0.00206840002580749,0.0020712148039303295,-2.8147781228394543e-06,-0.0036217811507355258,improved_phasegg_hint_inallocator_10
market_state,recovery_confirmed,44,0.0005366070824583837,0.0005399585327544482,-3.3514502960645034e-06,-0.00015792123363866928,improved_phasegg_hint_inallocator_10
market_state,recovery_fragile,49,0.0013097486231059144,0.0013236555558595474,-1.3906932753632957e-05,-0.0007067301398231418,improved_phasegg_hint_inallocator_10
market_state,stressed_panic,229,0.0006813995651506114,0.00068168964870096,-2.9008355034861825e-07,-0.00014747786198232582,improved_phasegg_hint_inallocator_10
refined_state,calm_trend,295,0.0007403071698442711,0.0007552175162830647,-1.4910346438793591e-05,-0.005668941350058354,improved_phasegg_hint_inallocator_10
refined_state,neutral_deteriorating,171,0.0017248421960658954,0.001727673965252361,-2.8317691864656203e-06,-0.0006260746489412661,improved_phasegg_hint_inallocator_10
refined_state,neutral_healthy,210,0.003108399073842574,0.003124715384962978,-1.6316311120403906e-05,-0.006414352300009529,improved_phasegg_hint_inallocator_10
refined_state,neutral_mixed,112,0.0006429409972221768,0.0006204144592613703,2.252653796080658e-05,0.0026931891992874046,improved_phasegg_hint_inallocator_10
refined_state,recovery_confirmed,44,0.0005366070824583837,0.0005399585327544482,-3.3514502960645034e-06,-0.00015792123363866928,improved_phasegg_hint_inallocator_10
refined_state,recovery_fragile,49,0.0013097486231059144,0.0013236555558595474,-1.3906932753632957e-05,-0.0007067301398231418,improved_phasegg_hint_inallocator_10
refined_state,stressed_panic,229,0.0006813995651506114,0.00068168964870096,-2.9008355034861825e-07,-0.00014747786198232582,improved_phasegg_hint_inallocator_10
market_state,calm_trend,295,0.0007403170815926543,0.0007552175162830647,-1.4900434690410386e-05,-0.005664764301666736,improved_phasegg_hint_inallocator_15
market_state,neutral_mixed,493,0.002067614141417429,0.0020712148039303295,-3.6006625129003135e-06,-0.004655709462856095,improved_phasegg_hint_inallocator_15
market_state,recovery_confirmed,44,0.0005366749252955866,0.0005399585327544482,-3.2836074588616163e-06,-0.00015452849638575294,improved_phasegg_hint_inallocator_15
market_state,recovery_fragile,49,0.0013072252808911142,0.0013236555558595474,-1.6430274968433226e-05,-0.000836951773998118,improved_phasegg_hint_inallocator_15
market_state,stressed_panic,229,0.0006807303879911972,0.00068168964870096,-9.592607097628353e-07,-0.000323073475386515,improved_phasegg_hint_inallocator_15
refined_state,calm_trend,295,0.0007403170815926543,0.0007552175162830647,-1.4900434690410386e-05,-0.005664764301666736,improved_phasegg_hint_inallocator_15
refined_state,neutral_deteriorating,171,0.0017229801422142608,0.001727673965252361,-4.693823038100188e-06,-0.0010481274399172236,improved_phasegg_hint_inallocator_15
refined_state,neutral_healthy,210,0.003108070360529856,0.003124715384962978,-1.6645024433121786e-05,-0.006539721042915225,improved_phasegg_hint_inallocator_15
refined_state,neutral_mixed,112,0.0006429409972221768,0.0006204144592613703,2.252653796080658e-05,0.0026931891992874046,improved_phasegg_hint_inallocator_15
refined_state,recovery_confirmed,44,0.0005366749252955866,0.0005399585327544482,-3.2836074588616163e-06,-0.00015452849638575294,improved_phasegg_hint_inallocator_15
refined_state,recovery_fragile,49,0.0013072252808911142,0.0013236555558595474,-1.6430274968433226e-05,-0.000836951773998118,improved_phasegg_hint_inallocator_15
refined_state,stressed_panic,229,0.0006807303879911972,0.00068168964870096,-9.592607097628353e-07,-0.000323073475386515,improved_phasegg_hint_inallocator_15
