version_name,market_state,observations,ann_return_state,ann_vol_state,sharpe_state,avg_bil_state,avg_spy_state,avg_offense_state,avg_defense_state,avg_cash_state
improved_phasek_robust_objective_framework,calm_trend,295,0.045250605893261575,0.09385410665024582,0.4821377295922837,0.041175052468137956,0.17280957892617657,0.7429054919670897,0.21591945556477232,0.041175052468137956
improved_phasek_robust_objective_framework,neutral_mixed,492,0.11425573040887271,0.08299933891280842,1.376586029545361,0.1305366351039647,0.11275946158188163,0.5168072140777394,0.35265615081829566,0.1305366351039647
improved_phasek_robust_objective_framework,recovery_confirmed,44,-0.006052520039493192,0.08781360417918699,-0.06892462843391321,0.042317562664267686,0.08744619919736468,0.5856751439481683,0.37200729338756394,0.042317562664267686
improved_phasek_robust_objective_framework,recovery_fragile,49,0.08780152765158822,0.061020631322250406,1.4388826491798765,0.09233420703030706,0.08448299603203704,0.552402392419734,0.3552634005499587,0.09233420703030706
improved_phasek_robust_objective_framework,stressed_panic,229,0.03611266555204007,0.09224776488009108,0.39147469425390824,0.2503480051267703,0.03314217994710315,0.25272459893077387,0.49692739594245583,0.2503480051267703
improved_phasek_confidence_turnover_framework,calm_trend,295,0.047466995425859304,0.09425310104887856,0.5036120286508502,0.0445087267797987,0.1691887351606214,0.7417798733504931,0.21371139986970805,0.0445087267797987
improved_phasek_confidence_turnover_framework,neutral_mixed,492,0.11464496544806835,0.08266463385870097,1.3868683631265033,0.1344754468742885,0.11139114947841945,0.5150706711757245,0.350453881949987,0.1344754468742885
improved_phasek_confidence_turnover_framework,recovery_confirmed,44,0.00168227228988993,0.08725657717544201,0.019279604407441718,0.043136158581602815,0.08948686252357742,0.5947912251335337,0.36207261628486337,0.043136158581602815
improved_phasek_confidence_turnover_framework,recovery_fragile,49,0.09119577418524427,0.061177187686219874,1.4906826814758285,0.09405576970501921,0.08544425480397723,0.5544087789337222,0.3515354513612585,0.09405576970501921
improved_phasek_confidence_turnover_framework,stressed_panic,229,0.03287726024237103,0.09451975818750474,0.34783479002506923,0.24344769283871964,0.03487286193334033,0.2562554087423764,0.500296898418904,0.24344769283871964
improved_phasek_tail_aware_role_framework,calm_trend,295,0.04528365007155233,0.09101375432511107,0.4975473257568761,0.04087821654336363,0.1692506736739442,0.721821654996554,0.23730012846008217,0.04087821654336363
improved_phasek_tail_aware_role_framework,neutral_mixed,492,0.1149240103585143,0.08070294712941158,1.4240373424557518,0.13158575649232063,0.10965580593986546,0.5016523732575352,0.3667618702501441,0.13158575649232063
improved_phasek_tail_aware_role_framework,recovery_confirmed,44,-0.0036350869994405954,0.08602575249059655,-0.042255800085421465,0.04564749581834047,0.08185676690966309,0.5640999890070965,0.39025251517456283,0.04564749581834047
improved_phasek_tail_aware_role_framework,recovery_fragile,49,0.08248163553769117,0.05955541543630828,1.3849560939743826,0.09514785053999139,0.08168131913335216,0.539658061792886,0.3651940876671225,0.09514785053999139
improved_phasek_tail_aware_role_framework,stressed_panic,229,0.03806548151941569,0.09225172711642372,0.41262622076848715,0.25000942304435636,0.032972249701068455,0.2512612030859776,0.498729373869666,0.25000942304435636
