state_kind,state,n_weeks,hh_mean_wkly,prod_mean_wkly,delta_mean_wkly,hh_minus_prod_cumulative,candidate
market_state,calm_trend,295,0.0007556792745154875,0.0007552175162830647,4.617582324228063e-07,0.00010862027614755299,improved_phasehh_refined_confidence_additive
market_state,neutral_mixed,493,0.002074981729127555,0.0020712148039303295,3.766925197225355e-06,0.0047210838937314925,improved_phasehh_refined_confidence_additive
market_state,recovery_confirmed,44,0.0005264278574482526,0.0005399585327544482,-1.3530675306195608e-05,-0.000632166468153228,improved_phasehh_refined_confidence_additive
market_state,recovery_fragile,49,0.001307596141066218,0.0013236555558595474,-1.6059414793329367e-05,-0.0008328044615808494,improved_phasehh_refined_confidence_additive
market_state,stressed_panic,229,0.0006839239959544357,0.00068168964870096,2.2343472534756955e-06,0.000900064831011349,improved_phasehh_refined_confidence_additive
refined_state,calm_trend,295,0.0007556792745154875,0.0007552175162830647,4.617582324228063e-07,0.00010862027614755299,improved_phasehh_refined_confidence_additive
refined_state,neutral_deteriorating,171,0.0016998576537848383,0.001727673965252361,-2.7816311467522732e-05,-0.005998055913343903,improved_phasehh_refined_confidence_additive
refined_state,neutral_healthy,210,0.003156209115359066,0.003124715384962978,3.149373039608829e-05,0.011916607766451648,improved_phasehh_refined_confidence_additive
refined_state,neutral_mixed,112,0.0006204144592613703,0.0006204144592613703,0.0,0.0,improved_phasehh_refined_confidence_additive
refined_state,recovery_confirmed,44,0.0005264278574482526,0.0005399585327544482,-1.3530675306195608e-05,-0.000632166468153228,improved_phasehh_refined_confidence_additive
refined_state,recovery_fragile,49,0.001307596141066218,0.0013236555558595474,-1.6059414793329367e-05,-0.0008328044615808494,improved_phasehh_refined_confidence_additive
refined_state,stressed_panic,229,0.0006839239959544357,0.00068168964870096,2.2343472534756955e-06,0.000900064831011349,improved_phasehh_refined_confidence_additive
market_state,calm_trend,295,0.0007552198922591307,0.0007552175162830647,2.3759760660671536e-09,1.0795925273754392e-06,improved_phasehh_refined_confidence_smoothing
market_state,neutral_mixed,493,0.00207083672148449,0.0020712148039303295,-3.780824458393152e-07,-0.00048761615143266823,improved_phasehh_refined_confidence_smoothing
market_state,recovery_confirmed,44,0.0005399795293658061,0.0005399585327544482,2.099661135788241e-08,1.1757810824963855e-06,improved_phasehh_refined_confidence_smoothing
market_state,recovery_fragile,49,0.0013239505962864915,0.0013236555558595474,2.9504042694411016e-07,1.538042326942879e-05,improved_phasehh_refined_confidence_smoothing
market_state,stressed_panic,229,0.0006790698551648269,0.00068168964870096,-2.619793536133108e-06,-0.0007017309639227864,improved_phasehh_refined_confidence_smoothing
refined_state,calm_trend,295,0.0007552198922591307,0.0007552175162830647,2.3759760660671536e-09,1.0795925273754392e-06,improved_phasehh_refined_confidence_smoothing
refined_state,neutral_deteriorating,171,0.0017264564459792005,0.001727673965252361,-1.2175192731604667e-06,-0.000269299062702677,improved_phasehh_refined_confidence_smoothing
refined_state,neutral_healthy,210,0.003124819199962557,0.003124715384962978,1.038149995791042e-07,4.112353667573565e-05,improved_phasehh_refined_confidence_smoothing
refined_state,neutral_mixed,112,0.0006204144592613703,0.0006204144592613703,0.0,0.0,improved_phasehh_refined_confidence_smoothing
refined_state,recovery_confirmed,44,0.0005399795293658061,0.0005399585327544482,2.099661135788241e-08,1.1757810824963855e-06,improved_phasehh_refined_confidence_smoothing
refined_state,recovery_fragile,49,0.0013239505962864915,0.0013236555558595474,2.9504042694411016e-07,1.538042326942879e-05,improved_phasehh_refined_confidence_smoothing
refined_state,stressed_panic,229,0.0006790698551648269,0.00068168964870096,-2.619793536133108e-06,-0.0007017309639227864,improved_phasehh_refined_confidence_smoothing
