version_name,full_raw_delta_vs_production,holdout_raw_delta_vs_production,holdout_sharpe_delta_vs_production,holdout_max_drawdown_delta_vs_production,holdout_cvar_delta_vs_production,holdout_bootstrap_prob_excess_return,rolling_windows,rolling_raw_win_rate_vs_production,rolling_mean_raw_delta_vs_production,rolling_mean_sharpe_delta_vs_production,rolling_mean_ann_return_delta_vs_production,rolling_mean_max_drawdown_delta_vs_production,rolling_mean_cvar_delta_vs_production
improved_phase2b_combo_abc,0.002627545386220509,-0.0022334436862687657,0.013426112437312288,0.0013368246984170051,0.00015510883608241613,0.317,15,0.4,0.0012528000504688052,-0.0003789437473050698,-0.000206320819940727,0.0006444875626219945,8.777243842017178e-05
improved_phaseh_refined_state_allocator,0.06990249968151252,-0.012754358449058367,-0.1960814238266977,-0.012890120729684984,-0.001451298862450337,0.5425,15,0.4,0.020357974719616936,0.02066135708702132,0.0066205729925508106,-0.01580174081254928,-0.00016954591511269382
improved_phasen_distributional_tail_allocator,0.08892951975190855,-0.012754358449058367,-0.09532225076766254,-0.0039121915339117574,0.0010228320955139765,0.294,15,0.3333333333333333,0.03583134941861963,0.060006552394050255,0.001887788587491146,-0.0027870957412653294,0.00283690009759474
improved_phasel_tail_turnover_learning_allocator,0.04448127407120239,-0.013095406733045545,-0.17852038130911763,-0.015008978989186628,-0.001597597655689953,0.567,15,0.4,0.0347742234690522,0.02562404560641456,0.005963969440689746,-0.015049791021995596,-6.526688845675717e-05
improved_phaseh_refined_panel_blend,0.04229728745849559,-0.015327825058964795,-0.17646004299730245,-0.01287861225350806,-0.0018878120380594506,0.52,15,0.4666666666666667,0.01752255952468241,0.011735631827221845,0.004868749917271664,-0.014534620945584435,1.0857331444278964e-05
improved_phaseo_uncertainty_shrunk_allocator,0.06295615612309602,-0.012754358449058367,-0.08964396077642256,-0.005635294423139148,0.0007855623342960666,0.3315,15,0.26666666666666666,0.020746321123973135,0.056233118745239,0.0029166402455949553,-0.005912413943541879,0.0023033961824273394
improved_phaseo_turnover_gated_allocator,0.06805585338235476,-0.012754358449058367,-0.19225686101688488,-0.0072589872662121024,0.00010732672407134589,0.2895,15,0.4,0.027054513940589397,0.03702242806325719,0.003601005545393887,-0.008720919686139743,0.0012731789461490337
improved_phaseo_tail_priority_allocator,0.08815303353049042,-0.012754358449058367,-0.11605045525430824,-0.0034080504202688156,0.0014333269663622979,0.2055,15,0.3333333333333333,0.027291930088686314,0.05465330141323479,0.0006934303313041863,-0.0018452834008482633,0.0031484308884267066
improved_phaseo_production_proximity_allocator,0.06663533116588016,-0.012754358449058367,-0.19530181014703785,-0.009385239140364154,-0.0004004746779646372,0.367,15,0.3333333333333333,0.023748960789410262,0.03448748038863305,0.00433881761549059,-0.010270436036698824,0.0010040252595119876
improved_phaseo_combo_decision_allocator,0.06523851540277259,-0.012754358449058367,-0.12334733595524172,-0.00712909001901485,0.0004827473077398496,0.339,15,0.4,0.02307885780323541,0.045037282997776436,0.0025823350790724546,-0.007164662782764456,0.0019592075670972426
