,model_confidence,model_uncertainty,margin_confidence,agreement,signal_top_gap,risk_guard,cash_weight,mu_scale,lambda_turn,lambda_tail,lambda_anchor,safe_mix,freeze_prev
2005-01-14,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-01-21,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-01-28,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-02-04,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-02-11,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-02-18,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-02-25,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-03-04,0.03647905230436615,0.6089388696655134,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.6,0.16,0.1637901099224336,1.2155812094242822,1.9459671280276813,1.015551601709917,0.34,0.0
2005-03-11,0.0875595120744811,0.6089388696655134,0.4302298850574713,0.3333333333333333,0.09999999999999998,0.6,0.16,0.19426082190518826,1.2010232783897994,1.9459671280276813,1.0102800982616413,0.34,0.0
2005-03-18,0.05543004583436001,0.6012095366877994,0.3280890804597701,0.0,0.14,0.1,0.09690375183540556,0.17543862734995225,1.208124173696162,1.5643338321258324,1.0126652474871054,0.2748677231199863,0.0
2005-03-25,0.04045287253361843,0.5997796874797723,0.3280890804597701,0.0,0.09999999999999998,0.1,0.0973598538466325,0.1665471981119316,1.2120123281975383,1.5639391937444171,1.0140387379270952,0.27553757764474646,0.0
2005-04-01,0.01757300837115761,0.600077743293699,0.22464080459770114,0.0,0.09999999999999998,0.1,0.09830485399452361,0.15285551012410706,1.2186123723303441,1.5640214571490607,1.0164358258286579,0.2769580584247224,0.0
