,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,cash::BIL
2005-01-14,0.04,0.1420643453977276,0.046960876820819966,0.3337365020501441,0.2932703649851511,0.14396791074615722,0.0
2005-01-21,0.04,0.13727127718179138,0.043634047830396185,0.3311519089945838,0.3059183313944995,0.14202443459872904,0.0
2005-01-28,0.039999999999999994,0.13625679987101655,0.04294247024449397,0.3305528986944065,0.3086440776646203,0.1416037535254626,0.0
2005-02-04,0.04,0.13604211419803874,0.04279870990834231,0.3304148403814402,0.30923155192102975,0.14151278359114902,0.0
2005-02-11,0.04000000000000001,0.1359966838009948,0.042768823379282866,0.3303831704252716,0.3093581944313481,0.1414931279631026,0.0
2005-02-18,0.04,0.1359870702407735,0.04276260951822682,0.3303759350807271,0.3093855009663883,0.14148888419388422,0.0
2005-02-25,0.04,0.13598503592007907,0.042761317405421655,0.33037428800472857,0.309391390093225,0.1414879685765457,0.0
2005-03-04,0.04,0.13598460543959714,0.04276104868937485,0.3303739142479806,0.3093926604669035,0.14148777115614383,0.0
2005-03-11,0.04,0.15668515638622077,0.04,0.3346870212271358,0.26869401947876026,0.15993380290788312,0.0
2005-03-18,0.05967633943083346,0.2930155815534311,0.1803533916347818,0.14,0.1316391791159438,0.19531550826500985,0.0
2005-03-25,0.040673153828785384,0.3321398649560295,0.21573565370996742,0.14,0.08340285867419199,0.18804846883102574,0.0
2005-04-01,0.04,0.30352316721423844,0.25228423535945943,0.1396638245375235,0.07682411306296151,0.18770465982581722,0.0
2005-04-08,0.04000000000000001,0.29699605452306155,0.26169325368076246,0.13950719409806323,0.07197781445412195,0.18982568324399085,0.0
2005-04-15,0.04,0.29557361078839534,0.26313914893257007,0.13963633529756994,0.07076896049209609,0.19088194448936852,0.0
2005-04-22,0.04,0.29476538574492467,0.2643434752703274,0.13959410781919604,0.07016076729599037,0.19113626386956148,0.0
2005-04-29,0.04,0.29443025491837704,0.264900551695617,0.13953431879518535,0.06989703453243692,0.1912378400583838,0.0
2005-05-06,0.040142006985956775,0.33061918591693773,0.23775381481762964,0.14,0.06377615709265069,0.1877088351868252,0.0
2005-05-13,0.04,0.30686535296682627,0.2558522087585526,0.13956719631391296,0.06770820551978451,0.19000703644092373,0.0
2005-05-20,0.04,0.2910563963234689,0.2999504422981139,0.13899316137841722,0.04,0.19,0.0
2005-05-27,0.04,0.2849267144259185,0.30794855623624223,0.13712472933783923,0.04,0.19,0.0
2005-06-03,0.04,0.28305891982506143,0.3099143347779487,0.13702674539698975,0.04,0.19,0.0
2005-06-10,0.04,0.21000000000000002,0.3359510533316427,0.13477895513434585,0.04,0.23926999153401138,0.0
2005-06-17,0.04,0.21000000000000002,0.2846830041699897,0.12378692700620197,0.10596131236972926,0.2355687564540791,0.0
2005-06-24,0.04,0.21000000000000002,0.25386606707577514,0.13870538279097872,0.11650764136933339,0.24092090876391287,0.0
2005-07-01,0.04,0.24815275594778843,0.24477214071537037,0.1385375516684206,0.1385375516684206,0.19,0.0
2005-07-08,0.04,0.25704798706146376,0.2396039841159576,0.13667401441128932,0.13667401441128932,0.19,0.0
2005-07-15,0.04,0.27683145025084044,0.23999712358312356,0.12501591816025742,0.12815550800577863,0.19,0.0
2005-07-22,0.043057356289504516,0.21257964436926946,0.2303286314592073,0.049019744671200155,0.14,0.32501462321081853,0.0
2005-07-29,0.04,0.21000000000000002,0.22226659843596508,0.04,0.12433920440533473,0.3633941971587002,0.0
2005-08-05,0.04793957104136757,0.31453148783119017,0.19740220217717375,0.10466828385932836,0.14,0.1954584550909402,0.0
2005-08-12,0.0474015801930135,0.43010825323127616,0.0474015801930135,0.13999999999999999,0.13999999999999999,0.19508858638269674,0.0
2005-08-19,0.06373950881352827,0.20083333333333334,0.07457339939127022,0.2,0.21,0.2508537584618682,0.0
2005-08-26,0.062260774766738664,0.20083333333333334,0.07895635584179266,0.2,0.21,0.24794953605813536,0.0
2005-09-02,0.046175404465445054,0.20083333333333334,0.05080695781452885,0.2,0.21,0.2921843043866928,0.0
2005-09-09,0.04374580187173716,0.20083333333333334,0.04655515327554003,0.2,0.21,0.29886571151938945,0.0
2005-09-16,0.047101380179456566,0.2970861317332907,0.047101380179456566,0.05871110790779611,0.14,0.41000000000000003,0.0
2005-09-23,0.04,0.3737524967575374,0.04,0.12632734476326954,0.04,0.37992015847919297,0.0
2005-09-30,0.04837177115196067,0.20083333333333334,0.04766249234066078,0.2,0.21,0.29313240317404515,0.0
2005-10-07,0.05641557495207068,0.20083333333333334,0.06872725616612368,0.2,0.21,0.2640238355484723,0.0
2005-10-14,0.07463829585838486,0.423405196998753,0.07332571816104184,0.14,0.05041428692532558,0.23821650205649467,0.0
2005-10-21,0.04248502115603957,0.3022270196848551,0.11862534387041877,0.18,0.17487650633278315,0.18178610895590344,0.0
2005-10-28,0.06680619279607235,0.3399478379968246,0.06680619279607235,0.13999999999999999,0.13999999999999999,0.24643977641103065,0.0
2005-11-04,0.04,0.34729803495432493,0.14620616918144172,0.129882598380103,0.07611812687758499,0.26049507060654536,0.0
2005-11-11,0.04,0.2815602535679747,0.2012346556045923,0.10421902645099693,0.13021281541871885,0.2427732489577172,0.0
2005-11-18,0.04,0.24608500060381375,0.22611839517392193,0.13541406451232596,0.10818731094727789,0.24419522876266048,0.0
2005-11-25,0.04,0.2452556256913616,0.1498520009892369,0.14246844763888183,0.1729940932155689,0.24942983246495082,0.0
2005-12-02,0.04,0.23762483355374392,0.13111523138779393,0.1656071299648319,0.12043338786894163,0.30521941722468865,0.0
2005-12-09,0.039999999999999994,0.22921414840919996,0.17827875520187905,0.1713533865581389,0.12448963179579928,0.25666407803498287,0.0
2005-12-16,0.04000000000000001,0.20166666666666672,0.1972176875658287,0.168798892959882,0.12397535895883532,0.2683413938487873,0.0
2005-12-23,0.04000000000000001,0.2016666666666667,0.2604598283183965,0.0406331333896072,0.1182554758287908,0.33898489579653884,0.0
2005-12-30,0.04,0.20166666666666666,0.21012883037319188,0.15629294125454923,0.1079150871906041,0.28399647451498805,0.0
2006-01-06,0.04000000000000001,0.2016666666666667,0.2045395717403496,0.15813702315172246,0.1043088442138924,0.2913478942273689,0.0
2006-01-13,0.04,0.10211576875413955,0.08413865804143544,0.27935160824927996,0.25493997031547133,0.23945399463967365,0.0
2006-01-20,0.04,0.05273447064479039,0.06626472677642416,0.3237986886739597,0.2821962390596619,0.23500587484516372,0.0
2006-01-27,0.04,0.20166666666666666,0.1417863544954843,0.1622847433051159,0.17975399234870393,0.2745082431840293,0.0
2006-02-03,0.04,0.20166666666666666,0.14161318439921308,0.17316248798454906,0.14884876102840225,0.29470889992116894,0.0
2006-02-10,0.04,0.20166666666666666,0.15945495840031715,0.1312716942586655,0.1793413624593561,0.2882653182149946,0.0
2006-02-17,0.04,0.20166666666666666,0.16541998498044994,0.12364219620579575,0.180929024985955,0.2883421271611327,0.0
2006-02-24,0.04,0.20166666666666666,0.16718854002759917,0.12749717730981916,0.17867412362383733,0.28497349237207775,0.0
2006-03-03,0.04,0.20166666666666666,0.16616290426091876,0.12329482313091254,0.18102425721399376,0.28785134872750834,0.0
2006-03-10,0.04,0.20166666666666666,0.1744343152429952,0.08005706512260825,0.18220995137980733,0.32163200158792254,0.0
2006-03-17,0.0866810931901363,0.2016666666666666,0.12317000169449734,0.039999999999999994,0.17443417701764147,0.37404806143105834,0.0
