,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2021-07-23,0.24527801745600467,0.08964872690183609,0.1232710698331052,0.07131367703715588,0.34984910032497635,0.11227746227426162,0.008361946172660173
2021-07-30,0.1565403268631385,0.09167539008790018,0.12335882559657095,0.07003782255245518,0.35318145515707217,0.19971745607829433,0.005488723664568651
2021-08-06,0.1565403268631385,0.09167539008790018,0.12335882559657095,0.07003782255245518,0.35318145515707217,0.19971745607829433,0.005488723664568651
2021-08-13,0.1565403268631385,0.09167539008790018,0.12335882559657095,0.07003782255245518,0.35318145515707217,0.19971745607829433,0.005488723664568651
2021-08-20,0.1565403268631385,0.09167539008790018,0.12335882559657095,0.07003782255245518,0.35318145515707217,0.19971745607829433,0.005488723664568651
2021-08-27,0.13692021488089257,0.0918483930392133,0.12267931498535693,0.06941973463620217,0.35665317883797126,0.21600353636099692,0.006475627259366901
2021-09-03,0.13692021488089257,0.0918483930392133,0.12267931498535693,0.06941973463620217,0.35665317883797126,0.21600353636099692,0.006475627259366901
2021-09-10,0.13692021488089257,0.0918483930392133,0.12267931498535693,0.06941973463620217,0.35665317883797126,0.21600353636099692,0.006475627259366901
2021-09-17,0.13692021488089257,0.0918483930392133,0.12267931498535693,0.06941973463620217,0.35665317883797126,0.21600353636099692,0.006475627259366901
2021-09-24,0.13283654300688907,0.09167827338456205,0.12231126712779376,0.06967343958657998,0.35855950712621526,0.21892136670206633,0.006019603065893553
2021-10-01,0.13283654300688907,0.09167827338456205,0.12231126712779376,0.06967343958657998,0.35855950712621526,0.21892136670206633,0.006019603065893553
2021-10-08,0.13283654300688907,0.09167827338456205,0.12231126712779376,0.06967343958657998,0.35855950712621526,0.21892136670206633,0.006019603065893553
2021-10-15,0.13283654300688907,0.09167827338456205,0.12231126712779376,0.06967343958657998,0.35855950712621526,0.21892136670206633,0.006019603065893553
2021-10-22,0.13283654300688907,0.09167827338456205,0.12231126712779376,0.06967343958657998,0.35855950712621526,0.21892136670206633,0.006019603065893553
2021-10-29,0.2221697182636824,0.09120541729333381,0.12116800354803857,0.07188231188395883,0.358518392789779,0.13331358611266597,0.001742570108541397
2021-11-05,0.2221697182636824,0.09120541729333381,0.12116800354803857,0.07188231188395883,0.358518392789779,0.13331358611266597,0.001742570108541397
2021-11-12,0.2221697182636824,0.09120541729333381,0.12116800354803857,0.07188231188395883,0.358518392789779,0.13331358611266597,0.001742570108541397
2021-11-19,0.2221697182636824,0.09120541729333381,0.12116800354803857,0.07188231188395883,0.358518392789779,0.13331358611266597,0.001742570108541397
2021-11-26,0.187384395765987,0.09273386495960637,0.12076867445797126,0.07184348910496413,0.3587217101839181,0.16854786552755313,0.0
2021-12-03,0.187384395765987,0.09273386495960637,0.12076867445797126,0.07184348910496413,0.3587217101839181,0.16854786552755313,0.0
2021-12-10,0.187384395765987,0.09273386495960637,0.12076867445797126,0.07184348910496413,0.3587217101839181,0.16854786552755313,0.0
2021-12-17,0.187384395765987,0.09273386495960637,0.12076867445797126,0.07184348910496413,0.3587217101839181,0.16854786552755313,0.0
2021-12-24,0.187384395765987,0.09273386495960637,0.12076867445797126,0.07184348910496413,0.3587217101839181,0.16854786552755313,0.0
2021-12-31,0.20049857848176214,0.10151424034397538,0.1160886867863861,0.10226884904473953,0.30453700712497606,0.1311508162485187,0.043941821969642136
2022-01-07,0.20049857848176214,0.10151424034397538,0.1160886867863861,0.10226884904473953,0.30453700712497606,0.1311508162485187,0.043941821969642136
2022-01-14,0.20049857848176214,0.10151424034397538,0.1160886867863861,0.10226884904473953,0.30453700712497606,0.1311508162485187,0.043941821969642136
2022-01-21,0.20049857848176214,0.10151424034397538,0.1160886867863861,0.10226884904473953,0.30453700712497606,0.1311508162485187,0.043941821969642136
2022-01-28,0.18537535123733428,0.0827340924027764,0.10019512901709142,0.07584495549503346,0.2741566983231085,0.10769814868611516,0.1739956248385407
2022-02-04,0.18537535123733428,0.0827340924027764,0.10019512901709142,0.07584495549503346,0.2741566983231085,0.10769814868611516,0.1739956248385407
2022-02-11,0.18537535123733428,0.0827340924027764,0.10019512901709142,0.07584495549503346,0.2741566983231085,0.10769814868611516,0.1739956248385407
2022-02-18,0.18537535123733428,0.0827340924027764,0.10019512901709142,0.07584495549503346,0.2741566983231085,0.10769814868611516,0.1739956248385407
2022-02-25,0.18532249135153356,0.0763868847665471,0.09792538925923608,0.06708083034877692,0.2762740841591839,0.09701032011472244,0.19999999999999996
2022-03-04,0.18532249135153356,0.0763868847665471,0.09792538925923608,0.06708083034877692,0.2762740841591839,0.09701032011472244,0.19999999999999996
2022-03-11,0.18532249135153356,0.0763868847665471,0.09792538925923608,0.06708083034877692,0.2762740841591839,0.09701032011472244,0.19999999999999996
2022-03-18,0.18532249135153356,0.0763868847665471,0.09792538925923608,0.06708083034877692,0.2762740841591839,0.09701032011472244,0.19999999999999996
