,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-08,2.220446049250313e-16,0.0,0.0,0.027657239406846855,0.0,0.20072615735477653,0.22559741109410472,0.0,0.0,0.0,0.06058817920550986,0.0,0.0,0.1035576514263431,0.0,0.0,0.02197012036823607,0.0,0.0,0.0,0.0,0.07434441207512359,0.0936187895892713,0.0,0.0,0.1919400394797878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,1.1102230246251565e-16,0.0,0.0,0.019805310803944143,0.0,0.19626709746844936,0.22559741109410472,0.0,0.0,0.0,0.06058817920550986,0.0,0.0,0.1124380484478904,0.0,0.0,0.01742443703875275,0.0,0.0,0.0,0.0,0.06980055327099524,0.09641963875008312,0.0,0.0,0.20165932392027025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,1.1102230246251565e-16,0.0,0.0,0.020144736442693757,0.0,0.19490039355940875,0.22559741109410472,0.0,0.0,0.0012635598318252016,0.06058817920550986,0.0,0.0,0.11424898172648598,0.0,0.0,0.02468231386196501,0.0,0.0,0.0,0.0,0.06058817920550986,0.09944571250200449,0.0,0.0,0.19854053257049223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,0.08965323985696017,0.0,0.0,0.08033319515762696,0.0,0.14391934441137533,0.07667941451865526,0.0,0.0,0.024304992266022018,0.0,0.0,0.0,0.09278817880715484,0.0,0.0,0.07847506580173874,0.0,0.0,0.0,0.0,0.007214275185912172,0.22703335156535526,0.0,0.0,0.17959894242919927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,0.08965323985696017,0.0,0.0,0.08151764604285013,0.0,0.14391934441137533,0.07667941451865526,0.0,0.0,0.014845378804282413,0.0,0.0,0.0,0.0947898742160651,0.0,0.0,0.08647801183602795,0.0,0.0,0.0,0.0,0.012015664998586249,0.226154924913051,0.0,0.0,0.17394650040214643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-12,0.08965323985696005,0.0,0.0,0.08417211389512651,0.0,0.14391934441137533,0.07667941451865526,0.0,0.0,0.017538975193348075,0.0,0.0,0.0,0.08788001499684152,0.0,0.0,0.08403434412326699,0.0,0.0,0.0,0.0,0.012540600244300908,0.22806147019061873,0.0,0.0,0.17552048256950653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-19,0.08965323985696017,0.0,0.0,0.09347118248958113,0.0,0.14391934441137533,0.07667941451865526,0.0,0.0,0.021473614845092828,0.0,0.0,0.0,0.0767276734796364,0.0,0.0,0.08389872684128893,0.0,0.0,0.0,0.0,0.014783083894404634,0.22729413642016333,0.0,0.0,0.17209958324284197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-26,0.0,0.0,0.0,0.2323600261505449,0.015479401511243796,0.017273581955268843,0.07611909052148942,0.0,0.0,0.02448899998578035,0.0,0.0,0.0,0.019464483243478534,0.0,0.0,0.09131347003232561,0.0,0.0,0.0,0.0,0.0882012290308229,0.24768566008234721,0.0,0.0,0.18761405748669843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-05,0.0,0.0,0.0,0.22754482831160294,0.005638463981238367,0.017273581955268843,0.10442431146021225,0.0,0.0,0.02208119494126101,0.0,0.0,0.0,0.0130701629591744,0.0,0.0,0.09282654048590719,0.0,0.0,0.0,0.0,0.0859114739980712,0.2473557088118873,0.0,0.0,0.18387373309537647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-12,0.0,0.0,0.0,0.22448476589533478,0.0032216011951877723,0.017273581955268843,0.11200422842954581,0.0,0.0,0.021285226006772937,0.0,0.0,0.0,0.01473751488828311,0.0,0.0,0.09709855079979861,0.0,0.0,0.0,0.0,0.08492214013795384,0.24685155585884522,0.0,0.0,0.1781208348330091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-19,0.0,0.0,0.0,0.22448476589533478,0.0,0.027492886672624908,0.07611909052148942,0.0,0.0,0.02624031410937778,0.0,0.0,0.0,0.02342483779811546,0.0,0.0,0.09869592968896747,0.0,0.0,0.0,0.0,0.08492214013795384,0.25372378094093284,0.0,0.0,0.18489625423520353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-26,1.1102230246251565e-16,0.0,0.0,0.08354637429553097,0.0,0.026664608354663694,0.1609708105038813,0.0,0.0,0.11075320150714951,0.05903770679393283,0.0,0.0,0.01086244828029625,0.0,0.0,0.18066870164526747,0.0,0.0,0.0,0.0,0.0,0.2578915603024668,0.0,0.0,0.10960458831681114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-02,1.1102230246251565e-16,0.0,0.0,0.08354637429553097,0.0,0.048261450096098016,0.17758482846595794,0.0,0.0,0.10517380093879938,0.05903770679393283,0.0,0.0,0.006274961244312989,0.0,0.0,0.17364675725378267,0.0,0.0,0.0,0.0,0.0,0.2516386319201309,0.0,0.0,0.09483548899145425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
