method_name,risk_state,ann_return,ann_vol,sharpe,hit_rate,observations
equal_weight,calm,0.03632445427287623,0.0854484747369094,0.4251036005583129,0.5642633228840125,319
equal_weight,neutral,0.06960289671195241,0.0555474595610101,1.2530347429391373,0.5476603119584056,577
equal_weight,stressed,0.022206657184212997,0.06163026115828038,0.3603206731053971,0.5654205607476636,214
inverse_vol,calm,0.03605610261445902,0.08433192939593738,0.42754983637544985,0.567398119122257,319
inverse_vol,neutral,0.06775530156475629,0.054311754690203114,1.2475255485895422,0.5528596187175043,577
inverse_vol,stressed,0.022694387080721246,0.05857657927354469,0.3874310750503462,0.5560747663551402,214
min_variance,calm,0.03794974100585913,0.0812808311008642,0.46689656702409915,0.567398119122257,319
min_variance,neutral,0.06017458165500855,0.050698711189447,1.1869055493373954,0.5441941074523396,577
min_variance,stressed,0.017212070576603677,0.054490644822241925,0.31587202964384953,0.5654205607476636,214
mvo_ic,calm,0.03361255203587499,0.08714866802702825,0.3856920914207249,0.542319749216301,319
mvo_ic,neutral,0.06913540878053559,0.05772829219080771,1.1976001048502225,0.5493934142114385,577
mvo_ic,stressed,0.019564651350093554,0.0687454366140406,0.2845956373793349,0.5560747663551402,214
max_sharpe_ic,calm,0.029215132712678393,0.08865248624085896,0.3295466822363461,0.554858934169279,319
max_sharpe_ic,neutral,0.07183327368233772,0.0613334543094643,1.1711923695002648,0.5493934142114385,577
max_sharpe_ic,stressed,0.017398772608073543,0.07133343551178212,0.24390767784063608,0.5514018691588785,214
black_litterman_regime,calm,0.03650205483233182,0.08102861017299938,0.4504835360547151,0.5611285266457681,319
black_litterman_regime,neutral,0.058675019613336765,0.05001686985861123,1.1731045900953134,0.5424610051993067,577
black_litterman_regime,stressed,0.017807516993511685,0.051656614981203,0.34472868576447663,0.5700934579439252,214
erc_risk_parity,calm,0.03727199799883696,0.08375061021096285,0.445035539501754,0.567398119122257,319
erc_risk_parity,neutral,0.06731515947115185,0.05418537081184529,1.2423124260771194,0.5493934142114385,577
erc_risk_parity,stressed,0.0196921785218771,0.05922367118062255,0.3325051981634027,0.5654205607476636,214
hrp,calm,0.03616314928848485,0.0839696635907892,0.4306692172153904,0.5736677115987461,319
hrp,neutral,0.06826608628312925,0.05346029343648789,1.2769493374410859,0.5597920277296361,577
hrp,stressed,0.025240349839460663,0.053232963023012655,0.4741488808081045,0.5607476635514018,214
herc,calm,0.03584688975695638,0.08627634792343922,0.41548918816970043,0.5611285266457681,319
herc,neutral,0.06944307114339643,0.05535853449752056,1.2544239433669744,0.5424610051993067,577
herc,stressed,0.022609144484503352,0.05784881176613054,0.3908316142413941,0.5700934579439252,214
max_diversification,calm,0.03869934256177632,0.08278905321717057,0.4674451640395136,0.5642633228840125,319
max_diversification,neutral,0.06667918834899078,0.05388923737022896,1.2373377617295362,0.5528596187175043,577
max_diversification,stressed,0.024728956205239072,0.055287636886245724,0.44727822706763326,0.5654205607476636,214
