candidate,sleeve,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL,composite_regime_conditioned
improved_phasejjj4_state_risk_contribution_caps,dual_momentum_topn,1.0,0.8005122821944394,0.7672267377262787,0.6584379815964533,0.5182063695705666,0.7300060270790731,-0.028042918713081868,
improved_phasejjj4_state_risk_contribution_caps,cta_trend_long_only,0.8005122821944394,1.0,0.7402407904783973,0.7162324756496521,0.4165383990729961,0.8013114770502633,-0.030691078690058778,
improved_phasejjj4_state_risk_contribution_caps,composite_selective_signals,0.7672267377262787,0.7402407904783973,1.0,0.6448403542348901,0.7101151883251576,0.6804294314186969,-0.015072846388492347,
improved_phasejjj4_state_risk_contribution_caps,composite_regime_offense_component,0.6584379815964533,0.7162324756496521,0.6448403542348901,1.0,0.3109405139155048,0.6127919779832269,-0.026534426071641658,
improved_phasejjj4_state_risk_contribution_caps,composite_regime_defense_component,0.5182063695705666,0.4165383990729961,0.7101151883251576,0.3109405139155048,1.0,0.4274435657739482,0.01677739364249476,
improved_phasejjj4_state_risk_contribution_caps,taa_10m_sma,0.7300060270790731,0.8013114770502633,0.6804294314186969,0.6127919779832269,0.4274435657739482,1.0,-0.01182889339970892,
improved_phasejjj4_state_risk_contribution_caps,cash::BIL,-0.028042918713081868,-0.030691078690058778,-0.015072846388492347,-0.026534426071641658,0.01677739364249476,-0.01182889339970892,1.0,
improved_phasejjj4_adaptive_mom_vol_corr_budget,dual_momentum_topn,1.0,0.8005122821944394,0.7672267377262787,0.6584379815964533,0.5182063695705666,0.7300060270790731,-0.028042918713081868,
improved_phasejjj4_adaptive_mom_vol_corr_budget,cta_trend_long_only,0.8005122821944394,1.0,0.7402407904783973,0.7162324756496521,0.4165383990729961,0.8013114770502633,-0.030691078690058778,
improved_phasejjj4_adaptive_mom_vol_corr_budget,composite_selective_signals,0.7672267377262787,0.7402407904783973,1.0,0.6448403542348901,0.7101151883251576,0.6804294314186969,-0.015072846388492347,
improved_phasejjj4_adaptive_mom_vol_corr_budget,composite_regime_offense_component,0.6584379815964533,0.7162324756496521,0.6448403542348901,1.0,0.3109405139155048,0.6127919779832269,-0.026534426071641658,
improved_phasejjj4_adaptive_mom_vol_corr_budget,composite_regime_defense_component,0.5182063695705666,0.4165383990729961,0.7101151883251576,0.3109405139155048,1.0,0.4274435657739482,0.01677739364249476,
improved_phasejjj4_adaptive_mom_vol_corr_budget,taa_10m_sma,0.7300060270790731,0.8013114770502633,0.6804294314186969,0.6127919779832269,0.4274435657739482,1.0,-0.01182889339970892,
