,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-08-12,0.0,0.0,0.0,0.028370392890859013,0.0,0.2138610004564152,0.030832777563775386,0.0,0.0,0.0,0.16859757308253437,0.0,0.028370392890859013,0.0,0.0,0.0,0.0318266319648812,0.0,0.21279302658294685,0.0,0.0,0.0,0.25697781167686984,0.0,0.0,0.028370392890859013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-19,0.0,0.0,0.0,0.028370392890859013,0.0,0.21765895417916953,0.028370392890859013,0.0,0.0,0.01573012588127245,0.13945739875041938,0.0,0.028370392890859013,0.0,0.0,0.0,0.03347842230396296,0.0,0.20198494056825034,0.0,0.0,0.0,0.26883951617425733,0.0,0.0,0.03773946347009087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26,1.1102230246251565e-16,0.0,0.0,0.030680683298147226,0.0,0.21679242342385563,0.030680683298147226,0.0,0.0,0.0069371203150111575,0.14402296644430518,0.0,0.030680683298147226,0.0,0.0,0.0,0.038140151188972876,0.0,0.20788248212766233,0.0,0.0,0.0,0.2478820028112953,0.0,0.0,0.04630080379445575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-02,1.1102230246251565e-16,0.0,0.0,0.030680683298147226,0.0,0.21884040490926654,0.030680683298147226,0.0,0.0,0.003642759191939887,0.1496293583657416,0.0,0.030680683298147226,0.0,0.0,0.0,0.037517893760623144,0.0,0.21746489355244925,0.0,0.0,0.0,0.23935965705709816,0.0,0.0,0.04150298326843967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,0.0,0.0,0.0,0.030680683298147226,0.0,0.21996097571646667,0.030680683298147226,0.0,0.0,0.003917470332153996,0.14402296644430518,0.0,0.030680683298147226,0.002661177697720981,0.0,0.0,0.04154789219270451,0.0,0.20954262184266126,0.0,0.0,0.0,0.2403837733774321,0.0,0.0,0.04592107250211359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-16,0.0,0.0,0.0,0.030680683298147226,0.0,0.21885537284332213,0.030680683298147226,0.0,0.0,0.0029205357045166305,0.14402296644430518,0.0,0.030680683298147226,0.0014273063652225978,0.0,0.0,0.03681211523988398,0.0,0.21467599903561513,0.0,0.0,0.0,0.2396252747845842,0.0,0.0,0.04961837968810845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-23,0.0,0.0,0.0,0.030680683298147226,0.0,0.21826748753544134,0.030680683298147226,0.0,0.0,0.010555852783414374,0.14402296644430518,0.0,0.030680683298147226,0.007254572727074462,0.0,0.0,0.03896889830123286,0.0,0.20718397517270165,0.0,0.0,0.0,0.2317206168792849,0.0,0.0,0.04998358026210345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,2.220446049250313e-16,0.0,0.0,0.03217979274008083,0.0,0.19854857619472988,0.03810674086681283,0.0,0.0,0.03279615394158508,0.051987296664356177,0.0,0.03217979274008083,0.017982421194372017,0.0,0.0,0.04675414622032871,0.0,0.2298112015076338,0.0,0.0,0.0,0.17855307872962406,0.0,0.0,0.1411007992003956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,2.220446049250313e-16,0.0,0.0,0.03217979274008083,0.007861972822727152,0.20298907925186072,0.06073860600229661,0.0,0.0,0.03492100913118758,0.051987296664356177,0.0,0.03217979274008083,0.0075274300794224746,0.0,0.0,0.039319272396011434,0.0,0.22207782508230606,0.0,0.0,0.0,0.1723199328089764,0.0,0.0,0.13589799028069355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-14,2.220446049250313e-16,0.0,0.0,0.03217979274008083,0.017584518113291352,0.20184345707641282,0.044428394464742164,0.0,0.0,0.03462456450671784,0.051987296664356177,0.0,0.03217979274008083,0.013263693568254789,0.0,0.0,0.04367796475182971,0.0,0.22207782508230606,0.0,0.0,0.002466162245015724,0.1597242928076688,0.0,0.0,0.14396224523924267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-21,1.1102230246251565e-16,0.0,0.0,0.03217979274008083,0.0,0.20385687814242043,0.05214416394949249,0.0,0.0,0.03259660796524704,0.051987296664356177,0.0,0.03217979274008083,0.03240683644462394,0.0,0.0,0.050565833692042386,0.0,0.22207782508230606,0.0,0.0,0.0,0.1597242928076688,0.0,0.0,0.13028067977168084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-28,0.06239593644417196,0.0,0.0,0.03143482039891361,0.009622134001199555,0.2016190906261231,0.16213289789511354,0.0,0.0,0.02154190371937785,0.11883796374903907,0.0,0.03143482039891361,0.014901116475432716,0.0,0.0,0.035435916957945714,0.0,0.1881554776854255,0.0,0.0,0.0,0.07684561749296163,0.0,0.0,0.04564230415538215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-04,0.06239593644417196,0.0,0.0,0.03143482039891361,0.012462764156677393,0.19030061753118882,0.17175352125383092,0.0,0.0,0.021023057845477103,0.11883796374903907,0.0,0.03143482039891361,0.014859373631598673,0.0,0.0,0.03997643174415991,0.0,0.1881554776854255,0.0,0.0,0.0,0.07022089157832381,0.0,0.0,0.047144323582279594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-11,0.06239593644417185,0.0,0.0,0.03143482039891361,0.011373371912654766,0.1881554776854255,0.1721930262777973,0.0,0.0,0.00915473873222602,0.12504062112390665,0.0,0.04157366547384966,0.014469463149705744,0.0,0.0,0.03819263221796618,0.0,0.1881554776854255,0.0,0.0,0.0021333785664764495,0.06931751393638641,0.0,0.0,0.046409876395094245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-18,0.06239593644417196,0.0,0.0,0.03143482039891361,0.012584938394046365,0.1881554776854255,0.17367134012904167,0.0,0.0,0.009988486652085848,0.11883796374903907,0.0,0.04259056770918411,0.015954763568098745,0.0,0.0,0.03888017648640355,0.0,0.1881554776854255,0.0,0.0,0.0,0.06931751393638641,0.0,0.0,0.04803253716177766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-25,0.0,0.0,0.0,0.0,0.013574521616586427,0.17061290354043546,0.25225436611173024,0.0,0.0,0.009099941182254365,0.13528653220144743,0.0,0.06745970464304803,0.018268950841890487,0.0,0.0,0.06448986038611086,0.0,0.09111234860280809,0.0,0.0,0.0,0.0,0.0,0.0,0.17784087087368855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-02,1.1102230246251565e-16,0.0,0.0,0.0,0.023000005780020337,0.17942466864087248,0.2511521250022082,0.0,0.0,0.0,0.1309674709584189,0.0,0.0689290254966849,0.015548706219982727,0.0,0.0,0.05840980109150532,0.0,0.09111234860280809,0.0,0.0,0.0,0.0,0.0,0.0,0.181455848207499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-09,0.0,0.0,0.0,0.0,0.013183397927678238,0.1885372021411482,0.2530625802598248,0.0,0.0,0.0,0.1487076357695034,0.0,0.06547968747332664,0.004420335053276009,0.0,0.0,0.05457707227525206,0.0,0.09111234860280809,0.0,0.0,0.0,0.0,0.0,0.0,0.1809197404971825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-16,0.0,0.0,0.0,0.0,0.019787660332375452,0.17061290354043546,0.2337681448101006,0.0,0.0,0.021911421910654684,0.12800932687337224,0.0,0.05457707227525206,0.02555455727687238,0.0,0.0,0.08190172242639543,0.0,0.09111234860280809,0.0,0.0,0.0,0.0,0.0,0.0,0.17276484195173358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-23,0.0,0.0,0.0,0.0,0.018129445809301124,0.17061290354043546,0.2445958828748211,0.0,0.0,0.022349556822940587,0.12800932687337224,0.0,0.05968574166699623,0.024502812464182025,0.0,0.0,0.07795534703251084,0.0,0.09111234860280809,0.0,0.0,0.0,0.0,0.0,0.0,0.16304663431263228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-30,0.0,0.0,0.0,0.0644445227599921,0.0038718198679758677,0.13551632020040272,0.25935113338536997,0.0,0.0,0.01970196608989342,0.13551632020040272,0.0,0.11281442227963677,0.020534228733187613,0.0,0.0,0.08650205711818396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16174720936495485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,1.1102230246251565e-16,0.0,0.0,0.0644445227599921,0.013419853330436222,0.13551632020040272,0.2570414619767139,0.0,0.0,0.018825887800247933,0.13551632020040272,0.0,0.12157331143761209,0.006277182924752753,0.0,0.0,0.08734147232228248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16004366704715706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
