date,bucket,prod_share,partner_share,l1_distance_to_production,l1_distance_to_partner,l1_distance_to_u1a,bil_weight
2005-01-14,defense_production,0.95,0.050000000000000044,0.03444424867960994,0.6544407249125888,0.024205138043085696,0.982777875660195
2005-01-21,defense_production,0.95,0.050000000000000044,0.03332418399297466,0.6331594958665205,0.02340026845215362,0.9833379080035127
2005-01-28,defense_production,0.95,0.050000000000000044,0.03313334938133041,0.6295336382452777,0.023259841864495187,0.9834333253093348
2005-02-04,defense_production,0.95,0.050000000000000044,0.033008171473817,0.6271552580025258,0.023162187110567566,0.9834959142630916
2005-02-11,defense_production,0.95,0.050000000000000044,0.03294065488344152,0.6258724427853897,0.023108338021259556,0.9835296725582793
2005-02-18,defense_production,0.95,0.050000000000000044,0.032910700720538186,0.625303313690224,0.023084311187852164,0.9835446496397309
2005-02-25,defense_production,0.95,0.050000000000000044,0.055929393709535404,1.0626584804811732,0.03924945410705489,0.9720353031452323
2005-03-04,defense_production,0.95,0.050000000000000044,0.0559235755153293,1.0625479347912552,0.03924435246912631,0.9720382122423353
2005-03-11,defense_production,0.95,0.050000000000000044,0.056181548460632474,1.0674494207520158,0.039469078101581526,0.9719092257696837
2005-03-18,ambiguous_abstain,0.8,0.19999999999999996,0.17720635337018745,0.7088254134807499,0.16425531935911625,0.9113968233149062
2005-03-25,ambiguous_abstain,0.8,0.19999999999999996,0.1755270643048572,0.7021082572194292,0.1628794116461237,0.9122364678475714
2005-04-01,ambiguous_abstain,0.8,0.19999999999999996,0.1776680623189576,0.7106722492758312,0.15499461835726866,0.9111659688405213
2005-04-08,ambiguous_abstain,0.8,0.19999999999999996,0.17752210204458072,0.7100884081783231,0.15487928418003719,0.9112389489777096
2005-04-15,ambiguous_abstain,0.8,0.19999999999999996,0.17727484539836508,0.709099381593461,0.154707319093333,0.9113625773008175
2005-04-22,ambiguous_abstain,0.8,0.19999999999999996,0.17698058832733335,0.7079223533093342,0.15448422903974987,0.9115097058363334
2005-04-29,ambiguous_abstain,0.8,0.19999999999999996,0.18450450650207761,0.7380180260083108,0.16103123882017897,0.9077477467489612
2005-05-06,ambiguous_abstain,0.8,0.19999999999999996,0.18433429335629525,0.7373371734251815,0.16088854899718552,0.9078328533218524
2005-05-13,ambiguous_abstain,0.8,0.19999999999999996,0.18386477948526486,0.7354591179410601,0.1604653504735234,0.9080676102573676
2005-05-20,defense_production,0.95,0.050000000000000044,0.045668255826126526,0.867696860696403,0.0223981832401019,0.9771658720869367
2005-05-27,defense_production,0.95,0.050000000000000044,0.04549743106597233,0.864451190253473,0.022301489479601873,0.9772512844670138
2005-06-03,defense_production,0.95,0.050000000000000044,0.0454254957649414,0.8630844195338869,0.03226113547042183,0.9772872521175293
2005-06-10,defense_production,0.95,0.050000000000000044,0.04495038294595747,0.8540572759731876,0.03190380655792563,0.9775248085270212
2005-06-17,defense_production,0.95,0.050000000000000044,0.04454664320195651,0.8463862208371721,0.03158415575492946,0.9777266783990217
2005-06-24,ambiguous_abstain,0.8,0.19999999999999996,0.28575969928410094,1.1430387971364042,0.26430203897137405,0.8571201503579495
2005-07-01,ambiguous_abstain,0.8,0.19999999999999996,0.2858516624797704,1.1434066499190818,0.2643550406699352,0.8570741687601148
2005-07-08,ambiguous_abstain,0.8,0.19999999999999996,0.28549452234114014,1.1419780893645612,0.24730073610288503,0.85725273882943
2005-07-15,defense_production,0.95,0.050000000000000044,0.07135178884290883,1.3556839880152687,0.033137563208085724,0.9643241055785456
2005-07-22,defense_production,0.95,0.050000000000000044,0.07182864587846577,1.364744271690851,0.03348026781956746,0.9640856770607672
2005-07-29,ambiguous_abstain,0.8,0.19999999999999996,0.2877378578231401,1.1509514312925606,0.24940972121951402,0.8561310710884299
2005-08-05,defense_production,0.95,0.050000000000000044,0.07183535824344177,1.3648718066253944,0.033476195180078216,0.9640823208782792
2005-08-12,defense_production,0.95,0.050000000000000044,0.07234883864862005,1.3746279343237813,0.03380789211123331,0.96382558067569
2005-08-19,defense_production,0.95,0.050000000000000044,0.0684522757125917,1.3005932385392427,0.04814415132009103,0.9657738621437042
2005-08-26,defense_production,0.95,0.050000000000000044,0.06751139752035111,1.2827165528866729,0.04751264779845304,0.9662443012398245
2005-09-02,defense_production,0.95,0.050000000000000044,0.06735068533501457,1.279663021365281,0.047399689021922264,0.9663246573324928
2005-09-09,defense_production,0.95,0.050000000000000044,0.06741262611808187,1.280839896243555,0.0474394325243748,0.9662936869409591
2005-09-16,ambiguous_abstain,0.8,0.19999999999999996,0.2895861596355719,1.1583446385422882,0.26808976803668033,0.855206920182214
2005-09-23,defense_production,0.95,0.050000000000000044,0.07299525990576991,1.386909938209623,0.05140335720304452,0.9635023700471149
2005-09-30,defense_production,0.95,0.050000000000000044,0.06880379182801624,1.3072720447323083,0.048402882851567866,0.9655981040859919
2005-10-07,defense_production,0.95,0.050000000000000044,0.06757047898474254,1.2838391007101093,0.047549445276619515,0.9662147605076288
2005-10-14,defense_production,0.95,0.050000000000000044,0.07097797818728847,1.3485815855584826,0.04978629698542686,0.9645110109063558
2005-10-21,ambiguous_abstain,0.8,0.19999999999999996,0.27451821879745186,1.098072875189808,0.2541238177643153,0.862740890601274
2005-10-28,ambiguous_abstain,0.8,0.19999999999999996,0.2790280700734319,1.1161122802937289,0.25818812339702035,0.8604859649632841
2005-11-04,ambiguous_abstain,0.8,0.19999999999999996,0.2875501996185279,1.150200798474112,0.2506107533107469,0.856224900190736
2005-11-11,ambiguous_abstain,0.8,0.19999999999999996,0.28831519245798043,1.153260769831922,0.2512768439365388,0.8558424037710097
2005-11-18,ambiguous_abstain,0.8,0.19999999999999996,0.2811245005844367,1.1244980023377482,0.24506573891027583,0.8594377497077818
