,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2011-02-18,0.10156611184016627,0.07967859540488495,0.0,0.026035270477163017,0.0,0.185097158002162,0.08943684866276265,0.0,0.0,0.08445256303370276,0.06816214415717405,0.0,0.0,0.040886223675161926,0.0,0.0,0.08531317540850765,0.0,0.0,0.0,0.0,0.007950606293565005,0.14116499215144188,0.0,0.0,0.09025631089330766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,0.04090349578313172,0.09909514430930493,0.0,0.02852147426989311,0.0,0.14833291003669155,0.08130866372881573,0.0,0.0,0.09386509198654433,0.05908399125466082,0.0,0.0,0.036204329867920916,0.0,0.0,0.17111873037706404,0.0,0.0,0.0,0.0,0.011348742834342703,0.14147874477933955,0.0,0.0,0.08873868077229052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,0.040903495783131516,0.09639291291621092,0.0,0.03775905758121501,0.0,0.14833291003669155,0.08130866372881573,0.0,0.0,0.09253751391295903,0.05908399125466082,0.0,0.0,0.032445334281627915,0.0,0.0,0.16721562158041137,0.0,0.0,0.0,0.0,0.017984110409538807,0.14379840847583195,0.0,0.0,0.08223798003890513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-11,0.04090349578313162,0.09318972823494735,0.0,0.03742279805208412,0.008301515574499305,0.14833291003669158,0.08130866372881575,0.0,0.0,0.09232952821874936,0.059083991254660836,0.0,0.0,0.03140398760216852,0.0,0.0,0.16730420780431798,0.0,0.0,0.0,0.0,0.01757607427598781,0.1415794360666303,0.0,0.0,0.08126366336731554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,0.040903495783131724,0.09842830083442046,0.0,0.028378959753001018,0.003561043657740302,0.14833291003669158,0.08130866372881575,0.0,0.0,0.09432100338745125,0.059083991254660836,0.0,0.0,0.032082252945645824,0.0,0.0,0.17138797345065257,0.0,0.0,0.0,0.0,0.008617341450224305,0.15233040035024878,0.0,0.0,0.08126366336731554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-25,0.22206182083393972,0.05099554295192682,0.0,0.05313200166990352,0.03221512583053392,0.08832700955950004,0.07792089844201602,0.0,0.0,0.027485255431011213,0.05506488470878133,0.0,0.0,0.02654438655459311,0.0,0.0,0.18563633043887728,0.0,0.0,0.0,0.0,0.010626201514685706,0.14713452833099655,0.0,0.0,0.02285601373323461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.2220618208339398,0.05110045959895543,0.0,0.05047923843175783,0.029558765766925718,0.08832700955950006,0.07792089844201604,0.0,0.0,0.029321384999118117,0.05506488470878133,0.0,0.0,0.024947602722460716,0.0,0.0,0.1872580946728744,0.0,0.0,0.0,0.0,0.007514825970996404,0.15358900055943958,0.0,0.0,0.022856013733234613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-08,0.22206182083393972,0.056104966385117326,0.0,0.05053218025745693,0.024422311896825012,0.08832700955950006,0.07792089844201604,0.0,0.0,0.029185485585396218,0.05506488470878133,0.0,0.0,0.029441279808431416,0.0,0.0,0.18731580130327832,0.0,0.0,0.0,0.0,0.005470008439956104,0.1512973390460668,0.0,0.0,0.022856013733234613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-15,0.22206182083393974,0.055058702433469935,0.0,0.04727832563005963,0.024422311896825016,0.09901369504888986,0.07792089844201605,0.0,0.0,0.024221747696214716,0.055064884708781334,0.0,0.0,0.02530622020044612,0.0,0.0,0.1838321863003344,0.0,0.0,0.0,0.0,0.0010728278273167005,0.16189036524847192,0.0,0.0,0.022856013733234613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-22,0.2220618208339398,0.055925171146595426,0.0,0.04727832563005962,0.02442231189682501,0.11546470374528356,0.08054738010761384,0.0,0.0,0.029107577700578712,0.05506488470878133,0.0,0.0,0.005948899808767502,0.0,0.0,0.18113975415820108,0.0,0.0,0.0,0.0,0.0,0.1601831565301195,0.0,0.0,0.02285601373323461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
