candidate,state,n_weeks,ccc_mean_wkly,prod_mean_wkly,bbb3_mean_wkly,delta_vs_prod_mean_wkly,delta_vs_bbb3_mean_wkly,ccc_minus_prod_cumulative,ccc_minus_bbb3_cumulative
improved_phaseccc_confirmed_cap_css,calm_trend,295,0.0008459413552931638,0.0007552175162830648,0.0008461954706277413,9.072383901009905e-05,-2.541153345774882e-07,0.04136103225930832,-9.473335861676091e-05
improved_phaseccc_confirmed_cap_css,neutral_mixed,493,0.002097617554614269,0.00207121480393033,0.002097739203008037,2.6402750683939078e-05,-1.216483937679924e-07,0.03293572414112411,-0.0001843292428014287
improved_phaseccc_confirmed_cap_css,recovery_confirmed,44,0.0004237341570377823,0.0005399585327544482,0.00042329075082904596,-0.0001162243757166659,4.4340620873633456e-07,-0.005621751725152002,2.0909499102605977e-05
improved_phaseccc_confirmed_cap_css,recovery_fragile,49,0.0012924507646094399,0.0013236555558595493,0.0012924507646094399,-3.120479125010944e-05,0.0,-0.0019190539824185393,0.0
improved_phaseccc_confirmed_cap_css,stressed_panic,229,0.0007290356225217648,0.000681689648700961,0.0007290356225217648,4.7345973820803796e-05,0.0,0.010189260850381965,0.0
improved_phaseccc_confirmed_cap_dual,calm_trend,295,0.000846008774692178,0.0007552175162830648,0.0008461954706277413,9.079125840911323e-05,-1.8669593556330192e-07,0.04138831265906506,-6.745295886001479e-05
improved_phaseccc_confirmed_cap_dual,neutral_mixed,493,0.00210022953264971,0.00207121480393033,0.002097739203008037,2.9014728719379927e-05,2.4903296416728567e-06,0.036373190169291636,0.0032531367853660953
improved_phaseccc_confirmed_cap_dual,recovery_confirmed,44,0.0004346162060441137,0.0005399585327544482,0.00042329075082904596,-0.00010534232671033448,1.1325455215067753e-05,-0.005149061486661388,0.00049359973759322
improved_phaseccc_confirmed_cap_dual,recovery_fragile,49,0.0012967992110368728,0.0013236555558595493,0.0012924507646094399,-2.6856344822676504e-05,4.348446427432937e-06,-0.0016935203495320739,0.00022553363288646544
improved_phaseccc_confirmed_cap_dual,stressed_panic,229,0.0007291580303995548,0.000681689648700961,0.0007290356225217648,4.7468381698593794e-05,1.2240787778999753e-07,0.010222510123639283,3.3249273257318634e-05
improved_phaseccc_confirmed_cap_dual_css,calm_trend,295,0.0008441388676005379,0.0007552175162830648,0.0008461954706277413,8.89213513174731e-05,-2.05660302720343e-06,0.04069337752271962,-0.0007623880952054574
improved_phaseccc_confirmed_cap_dual_css,neutral_mixed,493,0.0021006938484316815,0.00207121480393033,0.002097739203008037,2.9479044501351612e-05,2.954645423644542e-06,0.0368737163137558,0.0037536629298302593
improved_phaseccc_confirmed_cap_dual_css,recovery_confirmed,44,0.0004297812344634505,0.0005399585327544482,0.00042329075082904596,-0.00011017729829099768,6.490483634404552e-06,-0.005371585695982839,0.00027107552827176917
improved_phaseccc_confirmed_cap_dual_css,recovery_fragile,49,0.0013003586871723465,0.0013236555558595493,0.0012924507646094399,-2.3296868687202807e-05,7.907922562906634e-06,-0.0015088717445095323,0.000410182237909007
improved_phaseccc_confirmed_cap_dual_css,stressed_panic,229,0.0007293182688972248,0.000681689648700961,0.0007290356225217648,4.762862019626378e-05,2.82646375459987e-07,0.01026583814383386,7.657729345189601e-05
improved_phaseccc_conservative_confirmed_pruning,calm_trend,295,0.0008461792952668679,0.0007552175162830648,0.0008461954706277413,9.09617789838031e-05,-1.6175360873426844e-08,0.041450995726937334,-4.769890987743608e-06
improved_phaseccc_conservative_confirmed_pruning,neutral_mixed,493,0.0020997804314794436,0.00207121480393033,0.002097739203008037,2.856562754911373e-05,2.0412284714066593e-06,0.03580362562865913,0.0026835722447335897
improved_phaseccc_conservative_confirmed_pruning,recovery_confirmed,44,0.0004304452990498708,0.0005399585327544482,0.00042329075082904596,-0.00010951323370457738,7.154548220824849e-06,-0.0053335885503098535,0.0003090726739447547
improved_phaseccc_conservative_confirmed_pruning,recovery_fragile,49,0.0012948020476563227,0.0013236555558595493,0.0012924507646094399,-2.8853508203226588e-05,2.3512830468828527e-06,-0.0017971032529693343,0.00012195072944920504
improved_phaseccc_conservative_confirmed_pruning,stressed_panic,229,0.000729096987848345,0.000681689648700961,0.0007290356225217648,4.7407339147384074e-05,6.13653265802783e-08,0.010205916049283337,1.6655198901371904e-05
