best_candidate,rationale,name,ann_imp_pp,sharpe_imp,mdd_imp_pp,cvar_imp_pp,turnover_ratio_vs_prod,bil_inc_pp,calm_trend_delta_wkly,passes_all_gates,fail_reasons
,NO Phase LL candidate passes. Best diagnostic: improved_phasell_w1_bucket_fixed5; failure reasons: return drag +0.95pp without offsetting risk benefit; sharpe_imp -0.0937 and no MDD/CVaR upside; turnover>1.10x (1.92x); calm_trend worsens materially (-0.000157/wk).,,,,,,,,,,
,,improved_phasell_w1_bucket_fixed5,-0.9466168509892015,-0.09370779548334207,-0.3797853060807599,0.043223821982254704,1.9158208890037784,1.9952627761902042,-0.00015747860808853033,False,return drag +0.95pp without offsetting risk benefit; sharpe_imp -0.0937 and no MDD/CVaR upside; turnover>1.10x (1.92x); calm_trend worsens materially (-0.000157/wk)
,,improved_phasell_w1_bucket_state_conditional,-1.100853028332005,-0.11233142460263323,-0.2419227580123362,0.03764894164870608,2.073123751304056,1.781156391552069,-0.00014569983744380007,False,return drag +1.10pp without offsetting risk benefit; sharpe_imp -0.1123 and no MDD/CVaR upside; turnover>1.10x (2.07x); calm_trend worsens materially (-0.000146/wk)
,,improved_phasell_w1_bucket_ml_conditional,-0.8826122916282708,-0.10202870104954875,-0.5201287544412181,-0.024857404087585272,2.00540579915552,0.42209477518719285,-0.00019107126394169284,False,return drag +0.88pp without offsetting risk benefit; sharpe_imp -0.1020 and no MDD/CVaR upside; mdd_worse>0.5pp (-0.52pp); turnover>1.10x (2.01x); calm_trend worsens materially (-0.000191/wk)
