,model_confidence,model_uncertainty,spread_score,margin_confidence,agreement,signal_top_gap,risk_guard,cash_weight,mu_scale,lambda_turn,lambda_tail,gate_top_expert,gate_top_prob,gate_entropy,gate_prob_calm,gate_prob_recovery,gate_prob_defense
2005-01-14,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-01-21,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-01-28,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-02-04,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-02-11,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-02-18,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-02-25,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-03-04,0.040679182630906724,0.4,0.0,0.19804597701149423,0.3333333333333333,0.04666666666666666,0.6,0.1469660408684547,0.19633729899565772,1.2588524594636017,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-03-11,0.09640332056194117,0.4,0.0,0.4302298850574713,0.3333333333333333,0.04666666666666666,0.6,0.14417983397190295,0.23099503803014043,1.239527328429119,1.568,defense,0.49826989619377166,0.9340440366084616,0.31141868512110726,0.1903114186851211,0.49826989619377166
2005-03-18,0.026333971902937375,0.4,0.0,0.3280890804597701,0.0,0.06666666666666668,0.1,0.07768330140485315,0.1874152664929757,1.2638273785440617,1.2580000000000002,calm,0.5203537047015254,0.817101816361141,0.5203537047015254,0.40618459581120037,0.07346169948727417
