,gross_return,net_return,turnover,cost,wealth,drawdown
2021-05-21,0.01742666541005169,0.017405285404938357,0.02138000511333464,2.138000511333464e-05,2.5088739964195437,-0.0017927533186470335
2021-05-28,0.0137661307734104,0.01364000545077106,0.12612532263933984,0.00012612532263933985,2.543095051406004,0.0
2021-06-04,0.00673947767921926,0.0067301427382112835,0.009334941007975826,9.334941007975826e-06,2.5602104440988054,0.0
2021-06-11,-0.02737302394685253,-0.027424095285640163,0.05107133878763205,5.107133878763205e-05,2.4899989889285488,-0.02742409528564016
2021-06-18,0.017381069064363347,0.017346975893867963,0.03409317049538445,3.4093170495384446e-05,2.533192941365248,-0.01055284451160321
2021-06-25,0.009397957121178855,0.00922438040082891,0.17357672034994498,0.00017357672034994497,2.5565600766850958,-0.0014258075628601485
2021-07-02,-0.007776746955905106,-0.007807328796291867,0.03058184038676117,3.058184038676117e-05,2.536600171578942,-0.009222004610708545
2021-07-09,-0.004020339565626886,-0.004064419806737928,0.04408024111104161,4.408024111104161e-05,2.5262903635998017,-0.013248942319248891
2021-07-16,0.00923596271540721,0.00921551871042699,0.020444004980218464,2.0444004980218463e-05,2.549571439713527,-0.00415551948465831
2021-07-23,0.0019029861510960297,0.0018668022002711249,0.03618395082490482,3.6183950824904816e-05,2.5543309852869327,-0.002296474817304439
2021-07-30,-0.0004370331765354467,-0.0007131095229765223,0.27607634644107554,0.0002760763464410755,2.5525094675364906,-0.0030079467022194883
2021-08-06,0.005119174257801132,0.00508700927230762,0.032164985493511704,3.2164985493511705e-05,2.565494106865502,0.0
2021-08-13,-0.02175395328419992,-0.021777269734532586,0.023316450332664218,2.3316450332664217e-05,2.509624649697938,-0.021777269734532534
2021-08-20,0.025735273014870535,0.025701332724290756,0.03394029057977731,3.3940290579777305e-05,2.5741253478329065,0.0
2021-08-27,0.013781712837183685,0.013627588902701406,0.15412393448227868,0.00015412393448227868,2.6092044698571963,0.0
2021-09-03,-0.014490486627230898,-0.014506919219341965,0.01643259211106779,1.643259211106779e-05,2.571352951386232,-0.014506919219341885
2021-09-10,-3.366797505579698e-05,-6.025844739255521e-05,0.02659047233675823,2.659047233675823e-05,2.5711980056496833,-0.014566303502305922
2021-09-17,0.0016551466860985323,0.0016369051706144363,0.018241515484095867,1.824151548409587e-05,2.575406812959805,-0.012953241989211106
2021-09-24,-0.007102383095057674,-0.0072975663050257366,0.1951832099680627,0.00019518320996806272,2.5566126109798155,-0.020156281151955557
2021-10-01,0.002127563339016904,0.0020911701601794928,0.03639317883741086,3.639317883741086e-05,2.561958922983035,-0.018107261205461245
2021-10-08,0.02089989861284138,0.020864117059389658,0.035781553451721425,3.5781553451721425e-05,2.615411933853501,0.0
2021-10-15,0.005856763742810507,0.005813615687813415,0.04314805499709143,4.314805499709143e-05,2.6306169337022465,0.0
2021-10-22,0.004481892870796549,0.00445950861858262,0.022384252213928563,2.2384252213928563e-05,2.6423481925902808,0.0
2021-10-29,0.011633569265763153,0.011472487767260455,0.16108149850269793,0.00016108149850269793,2.6726624999066155,0.0
2021-11-05,-0.001666219591032153,-0.0017042158552597036,0.03799626422755062,3.799626422755062e-05,2.6681077060985166,-0.0017042158552597053
2021-11-12,-0.005008243748030521,-0.0050509549520554005,0.042711204024879545,4.271120402487955e-05,2.654631214267781,-0.006746562889801688
2021-11-19,-0.023491135500115973,-0.023512263274568547,0.021127774452574882,2.1127774452574884e-05,2.592214826261029,-0.03010019920150686
2021-11-26,-0.006650483159997883,-0.006820654019839703,0.17017085984182023,0.00017017085984182023,2.574534225786004,-0.036715550176664724
2021-12-03,0.02100333519173224,0.020978923189433677,0.02441200229856174,2.441200229856174e-05,2.6285451815573366,-0.016506879694245136
2021-12-10,-0.006095313950923344,-0.006128760592473706,0.033446641550361395,3.34466415503614e-05,2.6124354574330715,-0.022534473572944025
2021-12-17,0.01661629356663063,0.016592625376660383,0.023668189970245883,2.3668189970245885e-05,2.6557826202989627,-0.006315754274339724
2021-12-24,0.008136396529866453,0.008099862530757628,0.036533999108824634,3.6533999108824635e-05,2.6772940944349592,0.0
2021-12-31,-0.0136949709456294,-0.013808408000444413,0.1134370548150134,0.0001134370548150134,2.640324925241821,-0.013808408000444361
