version_name,confidence_bucket,uncertainty_bucket,observations,avg_model_confidence,avg_model_uncertainty,avg_cash_weight,avg_top1_share,avg_top2_share,avg_hhi
improved_phasen_uncertainty_adjusted_allocator,low,medium,882,0.1863610504302265,0.42791615784786247,0.06428945608546738,0.31953833032478984,0.5989162871950018,0.23947025397519522
improved_phasen_uncertainty_adjusted_allocator,low,high,5,0.21019995169580435,0.6925216191333547,0.06644276003784913,0.25973771637811016,0.5193705193074644,0.20310867160794346
improved_phasen_uncertainty_adjusted_allocator,medium,medium,222,0.4017284902839018,0.447774308620165,0.06766139988923066,0.34007991501884877,0.6128913841240013,0.24265771287633114
improved_phasen_distributional_tail_allocator,low,low,3,0.28817070053181437,0.3261739851855084,0.05720886349196013,0.33971008368815353,0.6747274675247007,0.25752253175364387
improved_phasen_distributional_tail_allocator,low,medium,901,0.18453098342571383,0.4210258749197768,0.10074519765085027,0.31015957991460036,0.584177116654556,0.23033488146818387
improved_phasen_distributional_tail_allocator,low,high,4,0.16217574832794202,0.6829185954177679,0.11352862964664313,0.24,0.45999999999999996,0.18188888888888888
improved_phasen_distributional_tail_allocator,medium,low,1,0.439409831720155,0.32268419370880985,0.07282271091549945,0.35999999999999993,0.6127315707719287,0.23269575328920314
improved_phasen_distributional_tail_allocator,medium,medium,200,0.39949213877508183,0.4430607717872719,0.10708221987854781,0.3348533044420361,0.6162468968131902,0.24150924036971486
improved_phasen_moe_role_gating_allocator,low,low,1,0.2628244853229439,0.3288869963958515,0.02944927457847129,0.3608318744689992,0.7182440220657651,0.28789071268538063
improved_phasen_moe_role_gating_allocator,low,medium,830,0.19061424368956742,0.4326179079597836,0.049231102404823375,0.3127827091125279,0.5807966150438897,0.23306848126554466
improved_phasen_moe_role_gating_allocator,low,high,4,0.246793243329964,0.6844835668913117,0.048049910052089,0.2589682033152249,0.5157254137345031,0.204789420536161
improved_phasen_moe_role_gating_allocator,medium,medium,271,0.4100604445919628,0.44803124775206166,0.043952170860958054,0.3343475035004849,0.5957886272651607,0.23664960867807414
improved_phasen_moe_role_gating_allocator,medium,high,3,0.4047641454832465,0.7007096780303677,0.03217825141552186,0.26,0.4910145667621548,0.19735996531365987
