,gross_return,net_return,turnover,cost,wealth,drawdown
2007-04-06,0.002939886978640012,0.0028007466216042835,0.1391403570357287,0.0001391403570357287,1.1572120002956248,-0.00459272355428364
2007-04-13,0.010437723689828201,0.010311499182944382,0.12622450688381923,0.00012622450688381924,1.1691445908911664,0.0
2007-04-20,-0.0032368469953826247,-0.0033199276808204134,0.08308068543778853,8.308068543778853e-05,1.1652631154009854,-0.003319927680820456
2007-04-27,0.0027874565861900104,0.0025872103138497565,0.2002462723402538,0.00020024627234025382,1.1682778961514995,-0.0007413067181076816
2007-05-04,-0.0005509237495518948,-0.0005803844129492339,0.02946066339733911,2.9460663397339113e-05,1.1675998458705799,-0.0013212608881927324
2007-05-11,-0.014357487810526237,-0.01440176532912535,0.04427751859911335,4.427751859911335e-05,1.1507843468920287,-0.015703997728067853
2007-05-18,6.515557646784078e-05,1.2877227115582125e-05,0.05227834935225866,5.227834935225866e-05,1.1507991658034247,-0.015691322724897705
2007-05-25,0.020079793010047666,0.019978384884585473,0.10140812546219515,0.00010140812546219515,1.1737902744627053,0.0
2007-06-01,-0.02006295303391212,-0.020126959476502254,0.06400644259013276,6.400644259013277e-05,1.150165445174682,-0.020126959476502115
2007-06-08,0.009223171950497992,0.009211696260657485,0.011475689840506217,1.1475689840506217e-05,1.1607604199051351,-0.01110066665319287
2007-06-15,-0.009387147960805699,-0.009398956113635459,0.011808152829759423,1.1808152829759423e-05,1.1498504836600016,-0.020395288088122854
2007-06-22,0.0052390776082374396,0.005209111297428478,0.029966310808961432,2.9966310808961434e-05,1.1558401828047884,-0.015292418116288675
2007-06-29,0.01315678417506008,0.013004774762781095,0.15200941227898596,0.00015200941227898595,1.1708716240439363,-0.002486517806688293
2007-07-06,0.011876537224386433,0.01185214214040421,0.02439508398222269,2.4395083982222692e-05,1.184748960960271,0.0
2007-07-13,-0.0028305519331285954,-0.0028486687631345316,0.01811683000593605,1.8116830005936052e-05,1.1813740036030276,-0.0028486687631343877
2007-07-20,-0.034710186459274026,-0.03471868830198291,0.008501842708886265,8.501842708886265e-06,1.1403582478038685,-0.03746845502225438
2007-07-27,-0.00038433248496010466,-0.0005895465757419724,0.20521409078186767,0.00020521409078186768,1.1396859535037567,-0.038035912198639554
2007-08-03,-0.0012596295910002023,-0.0012743189529259337,0.014689361925731333,1.4689361925731334e-05,1.1382336300928233,-0.03926176126775904
2007-08-10,-0.008911242933494185,-0.008928657482778416,0.01741454928423211,1.7414549284232112e-05,1.128070731874345,-0.04783986393200701
2007-08-17,0.023389168031606376,0.023383560096744256,0.0056079348621200335,5.607934862120034e-06,1.154449041626507,-0.025574970168536937
2007-08-24,0.008224368135578189,0.008203496344983211,0.020871790594977204,2.0871790594977204e-05,1.1639195601199595,-0.01758127799785436
2007-08-31,-0.0005981753581153304,-0.0010159611861095788,0.4177858279942484,0.0004177858279942484,1.1627370630231237,-0.01857937728791592
2007-09-07,0.005185918845406083,0.005169802430508646,0.01611641489743674,1.611641489743674e-05,1.1687481839175833,-0.013505626567267615
2007-09-14,0.006643061051289514,0.006630928286991489,0.012132764298025216,1.2132764298025217e-05,1.1764980693106921,-0.0069642531215147185
2007-09-21,0.005310995715644394,0.005299151777325997,0.011843938318396804,1.1843938318396804e-05,1.1827325111457005,-0.0017020059784953467
2007-09-28,0.016707787922703065,0.016127948899750565,0.5798390229525008,0.0005798390229525008,1.201807560647532,0.0
2007-10-05,0.00659729246508724,0.006588534709210304,0.00875775587693579,8.75775587693579e-06,1.2097257114746496,0.0
2007-10-12,-0.007029776313130522,-0.007126845483494921,0.09706917036439872,9.706917036439872e-05,1.2011041832515588,-0.007126845483494959
2007-10-19,0.02033342504666943,0.020328820108355634,0.004604938313795728,4.604938313795728e-06,1.225521214124273,0.0
2007-10-26,0.003494034419000295,0.002912391908998408,0.581642510001887,0.000581642510001887,1.2290904121925945,0.0
2007-11-02,-0.00300540063574974,-0.0030127990004217412,0.007398364672001287,7.398364672001287e-06,1.2253874098273128,-0.0030127990004217287
2007-11-09,-0.003698801950827305,-0.0037067314433613277,0.00792949253402248,7.929492534022481e-06,1.2208452277850068,-0.006708362806995605
2007-11-16,0.001120048705735867,0.001116503931098453,0.0035447746374142105,3.5447746374142107e-06,1.2222083062810916,-0.005599348789342429
2007-11-23,0.001789680492699684,0.0017810343826438284,0.008646110055855673,8.646110055855673e-06,1.224385101297331,-0.0038282870394128476
2007-11-30,0.0031029874462614243,0.0030488724157769005,0.0541150304845239,5.41150304845239e-05,1.2281180952589648,-0.0007910865823900215
2007-12-07,-0.00713550353544745,-0.007138045798630304,0.0025422631828546163,2.5422631828546163e-06,1.2193517320488796,-0.007923485568764543
2007-12-14,0.004549516235002981,0.004540084794024925,0.009431440978055906,9.431440978055907e-06,1.2248876923061227,-0.0034193740710860565
2007-12-21,0.00309942810863294,0.0030848242881992625,0.014603820433677344,1.4603820433677344e-05,1.228666255609665,-0.0003450979510716268
2007-12-28,0.0041861346780972045,0.0037365130513661083,0.449621626731096,0.00044962162673109604,1.2332571831095236,0.0
2008-01-04,0.005490561089113721,0.00547677854564515,0.013782543468571405,1.3782543468571406e-05,1.2400114595912406,0.0
2008-01-11,-0.009185902208163366,-0.009211652296412735,0.025750088249369474,2.5750088249369474e-05,1.2285889051819188,-0.009211652296412742
2008-01-18,0.0066634137115833625,0.006637307054833155,0.026106656750207357,2.610665675020736e-05,1.2367434269897724,-0.0026354858063534214
2008-01-25,0.004751281177557844,0.004271847392650378,0.4794337849074657,0.0004794337849074657,1.2420266061737362,0.0
2008-02-01,-0.0030191806800857696,-0.0030362928513995406,0.01711217131377092,1.711217131377092e-05,1.2382554496681628,-0.0030362928513995024
2008-02-08,-0.0009566941098080779,-0.0009630891940076411,0.006395084199563147,6.395084199563147e-06,1.2370628992251662,-0.003996457824572253
2008-02-15,0.0047981179809154775,0.004794574974529343,0.0035430063861343272,3.5430063861343274e-06,1.2429940900437098,0.0
2008-02-22,0.004564934266179828,0.004547114412487413,0.017819853692415278,1.781985369241528e-05,1.248646126385184,0.0
2008-02-29,-0.004936306420120712,-0.0049672276208707015,0.030921200749989258,3.092120074998926e-05,1.2424438168575105,-0.00496722762087054
2008-03-07,0.004456339736944945,0.004443259816631827,0.013079920313118026,1.3079920313118027e-05,1.2479643175433761,-0.0005460384871266433
2008-03-14,-0.00507628266683373,-0.005090182581402977,0.013899914569247386,1.3899914569247386e-05,1.2416119513120045,-0.005633441632933556
2008-03-21,0.0017284216436136777,0.0017191823160188345,0.009239327594843251,9.239327594843252e-06,1.2437465086220576,-0.003923944230148524
2008-03-28,0.001757281557552639,0.0017142850352813944,0.04299652227124441,4.299652227124441e-05,1.2458786446494718,-0.0022163859537401853
2008-04-04,0.0010959903393477233,0.001092356288347899,0.0036340509998243333,3.6340509998243336e-06,1.2472395880214728,-0.001126450748526353
2008-04-11,-0.0030737887096131296,-0.0030773577284039884,0.0035690187908589393,3.5690187908589395e-06,1.2434013856361035,-0.004200341985013845
2008-04-18,-0.003283270807444242,-0.0032859399830075923,0.002669175563350364,2.669175563350364e-06,1.2393156433081147,-0.007472479896350581
2008-04-25,-0.0017238195210648004,-0.001799388359160681,0.07556883809588069,7.556883809588069e-05,1.2370856331662203,-0.00925842236217167
2008-05-02,0.004533013720148508,0.004529605932881882,0.0034077872666262,3.4077872666262e-06,1.242689143589693,-0.004770753434150676
2008-05-09,0.0015970911071359623,0.0015845838264447337,0.012507280691228684,1.2507280691228685e-05,1.2446582887079236,-0.0031937292664376837
2008-05-16,-0.00042607054303383184,-0.00042978142923358006,0.0037108861997482007,3.7108861997482006e-06,1.2441233576896953,-0.003622138090142557
2008-05-23,-0.006149256515077566,-0.006162780963746781,0.013524448669214501,1.35244486692145e-05,1.2364560979443726,-0.009762596610219276
2008-05-30,0.005496887074950957,0.005138460942584409,0.35842613236654775,0.00035842613236654775,1.24280957931088,-0.0046743003890147294
2008-06-06,-0.007192937967446946,-0.007209210870624624,0.01627290317767803,1.6272903177678032e-05,1.2338499029815955,-0.01184981324246237
2008-06-13,0.0037394753787502798,0.0036913467002335732,0.0481286785167067,4.81286785167067e-05,1.23840447074955,-0.008202208311239856
2008-06-20,0.007326390931539247,0.007276714763097286,0.0496761684419613,4.9676168441961303e-05,1.247415986844539,-0.0009851786784509375
2008-06-27,-0.0012423009781489585,-0.0013950888789923256,0.15278790084336707,0.0001527879008433671,1.2456757306738149,-0.002378893145625227
2008-07-04,0.005886288283222862,0.005835595568056788,0.050692715166073786,5.069271516607379e-05,1.2529449904469707,0.0
2008-07-11,-0.008986409096698228,-0.009042995676751769,0.05658658005354096,5.658658005354096e-05,1.241614614315151,-0.00904299567675182
2008-07-18,-0.006669146663096802,-0.00671681929229434,0.0476726291975383,4.76726291975383e-05,1.2332749133201244,-0.015699074801224344
2008-07-25,-0.0007354256999169504,-0.0008832987169530493,0.14787301703609884,0.00014787301703609885,1.2321855631715384,-0.01656850654554809
2008-08-01,-0.012512697890524404,-0.012531483784582909,0.018785894058504195,1.8785894058504196e-05,1.216744449767057,-0.028892362359020818
2008-08-08,-0.008191744542960965,-0.00820074018683864,0.008995643877674608,8.995643877674608e-06,1.2067662446607392,-0.036856163788769214
2008-08-15,0.010213931454416578,0.010204524312549436,0.00940714186714333,9.407141867143331e-06,1.2190807201439438,-0.02702773909566958
2008-08-22,0.0011208559777920325,0.0011095848798610578,0.011271097930974656,1.1271097930974656e-05,1.2204333936783456,-0.025948143786445943
2008-08-29,-0.006217944357960877,-0.006477988059999996,0.26004370203911964,0.00026004370203911966,1.212527440726072,-0.03225804008081823
2008-09-05,-0.010603917994528509,-0.010607816415869676,0.003898421341168088,3.898421341168089e-06,1.1996651722356455,-0.042523669129574726
2008-09-12,0.010212039992632252,0.010183186049851767,0.0288539427804839,2.88539427804839e-05,1.2118815858820486,-0.032773509513991717
2008-09-19,-0.005394152498932958,-0.005420158791459734,0.026006292526776248,2.6006292526776248e-05,1.2053129952501218,-0.03801603067973225
2008-09-26,-0.00675223055870687,-0.007272835412634017,0.5206048539271468,0.0005206048539271468,1.1965469522149588,-0.04501238175819089
2008-10-03,-0.018588095203033353,-0.018596477963228768,0.008382760195413112,8.382760195413113e-06,1.1742953931861249,-0.06277178795598093
2008-10-10,-0.005397762522394955,-0.005404789331210682,0.007026808815727727,7.026808815727727e-06,1.1679485739733426,-0.06783730899734619
2008-10-17,-0.0006722932017153545,-0.0006767423014113174,0.004449099695962898,4.449099695962898e-06,1.167158173767462,-0.06846814292214498
2008-10-24,0.0034306387272160523,0.003417046339411315,0.013592387804737096,1.3592387804737096e-05,1.171146407332648,-0.06528505539987206
2008-10-31,0.006371067296337685,0.006337164550626071,0.0339027457116135,3.39027457116135e-05,1.1785681548287896,-0.05936161298801168
2008-11-07,-0.0005229114118067094,-0.000531620832394555,0.008709420587845552,8.709420587845553e-06,1.1779416034452859,-0.05986167595029723
2008-11-14,0.006736780387384072,0.006730268009162779,0.0065123782212929944,6.512378221292995e-06,1.1858694661356155,-0.053534293063757676
2008-11-21,0.004877155839857497,0.0048705750830452,0.006580756812297025,6.580756812297025e-06,1.1916453324091196,-0.048924460774597334
2008-11-28,0.0033404841687885807,0.0033213852341414975,0.019098934647083197,1.9098934647083197e-05,1.195603245620517,-0.04576557252206093
