version_name,market_state,observations,avg_production_weight,avg_phasen_weight,avg_phaseo_weight,avg_abstain_weight,avg_trust_score,avg_model_uncertainty,phaseo_selected_share,phasen_selected_share,production_selected_share,abstain_selected_share
improved_phaset_soft_regime_posterior_allocator,calm_trend,295,0.2957299403166662,0.2807644724571527,0.413070862008193,0.010434725217988144,0.5534530982367694,0.5490291232731828,0.9254237288135593,0.0,0.07457627118644068,0.0
improved_phaset_soft_regime_posterior_allocator,neutral_mixed,492,0.40968945447114274,0.2563772987459408,0.31176984935520274,0.022163397427713772,0.4399584987281731,0.5417166176173817,0.2459349593495935,0.008130081300813009,0.7459349593495935,0.0
improved_phaset_soft_regime_posterior_allocator,recovery_confirmed,44,0.38261539352394947,0.3026625077570047,0.2988819355954878,0.01584016312355785,0.45021318947399025,0.5688352684090577,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.0
improved_phaset_soft_regime_posterior_allocator,recovery_fragile,49,0.46623439751371526,0.25027869394233915,0.26288754322925484,0.02059936531469074,0.3880268902004244,0.5553639185349963,0.0,0.0,1.0,0.0
improved_phaset_soft_regime_posterior_allocator,stressed_panic,229,0.6039428192816116,0.1757066444373963,0.19914186933576106,0.021208666945230954,0.2869951915544592,0.5539205972353056,0.004366812227074236,0.0,0.9956331877729258,0.0
improved_phaset_soft_trust_weighted_allocator,calm_trend,295,0.32132551572800094,0.2706901392794597,0.39835874487790407,0.00962560011463532,0.5337038145176339,0.5490291232731828,0.7593220338983051,0.0,0.24067796610169492,0.0
improved_phaset_soft_trust_weighted_allocator,neutral_mixed,492,0.5149323734439633,0.21244495389129547,0.2562499835988428,0.01637268906589841,0.3624724605444906,0.5417166176173817,0.06910569105691057,0.0,0.9308943089430894,0.0
improved_phaset_soft_trust_weighted_allocator,recovery_confirmed,44,0.5053522663272448,0.2431739945448181,0.23998466920582795,0.011489069922109104,0.36157166647823696,0.5688352684090577,0.0,0.0,1.0,0.0
improved_phaset_soft_trust_weighted_allocator,recovery_fragile,49,0.5801601061098992,0.19822162309263996,0.20708892548176128,0.014529345315699566,0.30619973702808123,0.5553639185349963,0.0,0.0,1.0,0.0
improved_phaset_soft_trust_weighted_allocator,stressed_panic,229,0.6553108505088574,0.15472029735721596,0.17281804843161278,0.01715080370231391,0.25017819711022077,0.5539205972353056,0.0,0.0,1.0,0.0
improved_phaset_production_anchored_soft_combo,calm_trend,295,0.32132551572800094,0.2706901392794597,0.39835874487790407,0.00962560011463532,0.5337038145176339,0.5490291232731828,0.7593220338983051,0.0,0.24067796610169492,0.0
improved_phaset_production_anchored_soft_combo,neutral_mixed,492,0.5149323734439633,0.21244495389129547,0.2562499835988428,0.01637268906589841,0.3624724605444906,0.5417166176173817,0.06910569105691057,0.0,0.9308943089430894,0.0
improved_phaset_production_anchored_soft_combo,recovery_confirmed,44,0.5053522663272448,0.2431739945448181,0.23998466920582795,0.011489069922109104,0.36157166647823696,0.5688352684090577,0.0,0.0,1.0,0.0
improved_phaset_production_anchored_soft_combo,recovery_fragile,49,0.5801601061098992,0.19822162309263996,0.20708892548176128,0.014529345315699566,0.30619973702808123,0.5553639185349963,0.0,0.0,1.0,0.0
improved_phaset_production_anchored_soft_combo,stressed_panic,229,0.6553108505088574,0.15472029735721596,0.17281804843161278,0.01715080370231391,0.25017819711022077,0.5539205972353056,0.0,0.0,1.0,0.0
