state_kind,state,n_weeks,dd_mean_wkly,prod_mean_wkly,delta_mean_wkly,dd_minus_prod_cumulative,candidate
market_state,calm_trend,295,0.0006130658281339956,0.0007552175162830648,-0.00014215168814906917,-0.050578758023819725,improved_phasedd_hint_light
market_state,neutral_mixed,492,0.0019154940770590987,0.00207542459011718,-0.00015993051305808145,-0.2019085359214281,improved_phasedd_hint_light
market_state,recovery_confirmed,44,0.0004366613644707068,0.0005399585327544482,-0.0001032971682837414,-0.004642090426611567,improved_phasedd_hint_light
market_state,recovery_fragile,49,0.001206431613807604,0.0013236555558595493,-0.00011722394205194542,-0.0059780507193571975,improved_phasedd_hint_light
market_state,stressed_panic,229,0.0004959007101261409,0.000681689648700961,-0.00018578893857482007,-0.047556135447450965,improved_phasedd_hint_light
refined_state,calm_trend,295,0.0006130658281339956,0.0007552175162830648,-0.00014215168814906917,-0.050578758023819725,improved_phasedd_hint_light
refined_state,neutral_deteriorating,171,0.0015006364399020183,0.0017276739652523616,-0.00022703752535034333,-0.04946189166169224,improved_phasedd_hint_light
refined_state,neutral_healthy,210,0.0029648569603841547,0.0031247153849629787,-0.00015985842457882406,-0.0625778104375121,improved_phasedd_hint_light
refined_state,neutral_mixed,111,0.000569317955037468,0.0006260037787141756,-5.668582367670757e-05,-0.006737924960532604,improved_phasedd_hint_light
refined_state,recovery_confirmed,44,0.0004366613644707068,0.0005399585327544482,-0.0001032971682837414,-0.004642090426611567,improved_phasedd_hint_light
refined_state,recovery_fragile,49,0.001206431613807604,0.0013236555558595493,-0.00011722394205194542,-0.0059780507193571975,improved_phasedd_hint_light
refined_state,stressed_panic,229,0.0004959007101261409,0.000681689648700961,-0.00018578893857482007,-0.047556135447450965,improved_phasedd_hint_light
market_state,calm_trend,295,0.0006129345851801611,0.0007552175162830648,-0.00014228293110290363,-0.05062399595812361,improved_phasedd_hint_moderate
market_state,neutral_mixed,492,0.0018877897014644594,0.00207542459011718,-0.00018763488865272075,-0.2336729758304923,improved_phasedd_hint_moderate
market_state,recovery_confirmed,44,0.00043318529308516046,0.0005399585327544482,-0.00010677323966928773,-0.004798162712585041,improved_phasedd_hint_moderate
market_state,recovery_fragile,49,0.001156930244302529,0.0013236555558595493,-0.00016672531155702036,-0.008416044900757313,improved_phasedd_hint_moderate
market_state,stressed_panic,229,0.00048628678207628524,0.000681689648700961,-0.00019540286662467573,-0.049144399866867694,improved_phasedd_hint_moderate
refined_state,calm_trend,295,0.0006129345851801611,0.0007552175162830648,-0.00014228293110290363,-0.05062399595812361,improved_phasedd_hint_moderate
refined_state,neutral_deteriorating,171,0.0014221923392636695,0.0017276739652523616,-0.0003054816259886921,-0.06549047718841638,improved_phasedd_hint_moderate
refined_state,neutral_healthy,210,0.002963989845281326,0.0031247153849629787,-0.00016072553968165268,-0.06290829873733994,improved_phasedd_hint_moderate
refined_state,neutral_mixed,111,0.0005690069873634968,0.0006260037787141756,-5.69967913506788e-05,-0.006774397940249033,improved_phasedd_hint_moderate
refined_state,recovery_confirmed,44,0.00043318529308516046,0.0005399585327544482,-0.00010677323966928773,-0.004798162712585041,improved_phasedd_hint_moderate
refined_state,recovery_fragile,49,0.001156930244302529,0.0013236555558595493,-0.00016672531155702036,-0.008416044900757313,improved_phasedd_hint_moderate
refined_state,stressed_panic,229,0.00048628678207628524,0.000681689648700961,-0.00019540286662467573,-0.049144399866867694,improved_phasedd_hint_moderate
market_state,calm_trend,295,0.0006129345851801611,0.0007552175162830648,-0.00014228293110290363,-0.05062399595812361,improved_phasedd_hint_state_gated
market_state,neutral_mixed,492,0.0018914088607415941,0.00207542459011718,-0.00018401572937558602,-0.22914847272298866,improved_phasedd_hint_state_gated
market_state,recovery_confirmed,44,0.00043507767326794164,0.0005399585327544482,-0.00010488085948650655,-0.00471333924863182,improved_phasedd_hint_state_gated
market_state,recovery_fragile,49,0.00124887009036988,0.0013236555558595493,-7.478546548966934e-05,-0.003907672195696765,improved_phasedd_hint_state_gated
market_state,stressed_panic,229,0.0005031768432097833,0.000681689648700961,-0.0001785128054911777,-0.04660937068665949,improved_phasedd_hint_state_gated
refined_state,calm_trend,295,0.0006129345851801611,0.0007552175162830648,-0.00014228293110290363,-0.05062399595812361,improved_phasedd_hint_state_gated
refined_state,neutral_deteriorating,171,0.0014317231236511316,0.0017276739652523616,-0.00029595084160123,-0.06335878056861888,improved_phasedd_hint_state_gated
refined_state,neutral_healthy,210,0.0029644208230282998,0.0031247153849629787,-0.00016029456193467897,-0.06274275045620326,improved_phasedd_hint_state_gated
refined_state,neutral_mixed,111,0.0005695507432844842,0.0006260037787141756,-5.6453035429691336e-05,-0.006710613817521471,improved_phasedd_hint_state_gated
refined_state,recovery_confirmed,44,0.00043507767326794164,0.0005399585327544482,-0.00010488085948650655,-0.00471333924863182,improved_phasedd_hint_state_gated
refined_state,recovery_fragile,49,0.00124887009036988,0.0013236555558595493,-7.478546548966934e-05,-0.003907672195696765,improved_phasedd_hint_state_gated
refined_state,stressed_panic,229,0.0005031768432097833,0.000681689648700961,-0.0001785128054911777,-0.04660937068665949,improved_phasedd_hint_state_gated
