state,n_weeks,kk_mean_wkly,prod_mean_wkly,delta_mean_wkly,kk_minus_prod_cumulative,candidate
calm_trend,295,0.000755253477165972,0.0007552175162830647,3.596088290732172e-08,-0.00011140931449982183,improved_phasekk_targeta_confidence_replacement
neutral_mixed,493,0.00212035621655909,0.0020712148039303295,4.914141262876053e-05,0.06315979031970942,improved_phasekk_targeta_confidence_replacement
recovery_confirmed,44,0.0005201019186281878,0.0005399585327544482,-1.9856614126260433e-05,-0.0009818171932658437,improved_phasekk_targeta_confidence_replacement
recovery_fragile,49,0.0013247208442257715,0.0013236555558595474,1.065288366224092e-06,2.5268815008860912e-05,improved_phasekk_targeta_confidence_replacement
stressed_panic,229,0.0006695119491442684,0.00068168964870096,-1.2177699556691589e-05,-0.003948819540457338,improved_phasekk_targeta_confidence_replacement
calm_trend,295,0.0007574179801429459,0.0007552175162830647,2.2004638598812232e-06,0.000741403248476713,improved_phasekk_targeta_confidence_blend25
neutral_mixed,493,0.002088908354768488,0.0020712148039303295,1.7693550838158555e-05,0.02235923951912655,improved_phasekk_targeta_confidence_blend25
recovery_confirmed,44,0.0005282366396078254,0.0005399585327544482,-1.172189314662276e-05,-0.0005541698605664447,improved_phasekk_targeta_confidence_blend25
recovery_fragile,49,0.0013172914274877817,0.0013236555558595474,-6.364128371765714e-06,-0.0003466120673845108,improved_phasekk_targeta_confidence_blend25
stressed_panic,229,0.0006741249367764818,0.00068168964870096,-7.5647119244781885e-06,-0.002270855598945243,improved_phasekk_targeta_confidence_blend25
