candidate,state,n_weeks,hhh_mean_wkly,prod_mean_wkly,ggg1_mean_wkly,delta_vs_prod_wkly,delta_vs_ggg1_wkly,hhh_minus_prod_cumulative,hhh_minus_ggg1_cumulative
improved_phasehhh_confirmed_stressed_robust_offense,calm_trend,295,0.0008074711618026209,0.0007552175162830647,0.0008310759639948504,5.2253645519556254e-05,-2.3604802192229513e-05,0.026105450286034726,-0.009499004052425652
improved_phasehhh_confirmed_stressed_robust_offense,neutral_mixed,493,0.002108497185104218,0.0020712148039303295,0.002102078804815568,3.728238117388849e-05,6.418380288649751e-06,0.046535362411947556,0.007568068263148486
improved_phasehhh_confirmed_stressed_robust_offense,recovery_confirmed,44,0.0005394767764778095,0.0005399585327544482,0.0005406752181963573,-4.817562766387369e-07,-1.1984417185478043e-06,-0.0005092289439909692,-0.00013607331731102512
improved_phasehhh_confirmed_stressed_robust_offense,recovery_fragile,49,0.0012738969949080145,0.0013236555558595474,0.0012741338339297918,-4.9758560951532844e-05,-2.3683902177721455e-07,-0.0028730861397363583,3.695906195533283e-06
improved_phasehhh_confirmed_stressed_robust_offense,stressed_panic,229,0.0007850809308135309,0.00068168964870096,0.0007300081704646803,0.00010339128211257092,5.507276034885059e-05,0.025629632390645307,0.015193759234259252
improved_phasehhh_confirmed_robust_stressed_blended_offense,calm_trend,295,0.0008194090329098949,0.0007552175162830647,0.0008310759639948504,6.419151662683019e-05,-1.1666931084955575e-05,0.03128546653115327,-0.004318987807307106
improved_phasehhh_confirmed_robust_stressed_blended_offense,neutral_mixed,493,0.002108532426689786,0.0020712148039303295,0.002102078804815568,3.731762275945667e-05,6.453621874217934e-06,0.04750173721741646,0.008534443068617392
improved_phasehhh_confirmed_robust_stressed_blended_offense,recovery_confirmed,44,0.0005396000407294597,0.0005399585327544482,0.0005406752181963573,-3.584920249884594e-07,-1.0751774668975268e-06,-0.00042076772513688354,-4.761209845693948e-05
improved_phasehhh_confirmed_robust_stressed_blended_offense,recovery_fragile,49,0.0012743391654824632,0.0013236555558595474,0.0012741338339297918,-4.931639037708416e-05,2.0533155267146892e-07,-0.0028717099427570947,5.072103174796894e-06
improved_phasehhh_confirmed_robust_stressed_blended_offense,stressed_panic,229,0.0007346131492811149,0.00068168964870096,0.0007300081704646803,5.292350058015488e-05,4.604978816434547e-06,0.011611352593645652,0.0011754794372595967
improved_phasehhh_confirmed_quality_stressed_robust_offense,calm_trend,295,0.0008074741113388824,0.0007552175162830647,0.0008310759639948504,5.2256595055817753e-05,-2.3601852655968014e-05,0.02610716519638312,-0.009497289142077259
improved_phasehhh_confirmed_quality_stressed_robust_offense,neutral_mixed,493,0.002108464645177188,0.0020712148039303295,0.002102078804815568,3.724984124685868e-05,6.385840361619946e-06,0.04649322624416952,0.007525932095370447
improved_phasehhh_confirmed_quality_stressed_robust_offense,recovery_confirmed,44,0.0005538772427290155,0.0005399585327544482,0.0005406752181963573,1.3918709974567334e-05,1.3202024532658267e-05,0.0001379714245333119,0.000511127051213256
improved_phasehhh_confirmed_quality_stressed_robust_offense,recovery_fragile,49,0.0012737939972253978,0.0013236555558595474,0.0012741338339297918,-4.9861558634149575e-05,-3.3983670439394556e-07,-0.002878436557580466,-1.6545116485744416e-06
improved_phasehhh_confirmed_quality_stressed_robust_offense,stressed_panic,229,0.0007850761186887973,0.00068168964870096,0.0007300081704646803,0.00010338646998783729,5.506794822411696e-05,0.025628331662973514,0.015192458506587458
