,gross_return,net_return,turnover,cost,wealth,drawdown
2008-08-15,0.007549022690606649,0.007539177151045064,0.009845539561585386,9.845539561585386e-06,1.2184150208518043,-0.01832616212735194
2008-08-22,0.0008936766881684577,0.000881880327259997,0.011796360908460715,1.1796360908460715e-05,1.2194895170891316,-0.017460443281946292
2008-08-29,-0.0028997706886136005,-0.0031700311316419216,0.270260443028321,0.000270260443028321,1.2156236973552481,-0.020575124264812117
2008-09-05,-0.008382634103530767,-0.008386966403597191,0.004332300066424351,4.332300066424351e-06,1.2054283022461132,-0.028789527792450365
2008-09-12,0.00046540929410981285,0.0004333440227384429,0.032065271371369955,3.2065271371369954e-05,1.2059506673957312,-0.028368659539498298
2008-09-19,-0.006421791999589841,-0.006450692688607577,0.028900689017736,2.8900689017736002e-05,1.19817145024274,-0.03463635472342885
2008-09-26,-0.005885231219176623,-0.006405464657455306,0.5202334382786824,0.0005202334382786824,1.1904966053646382,-0.04081995743484024
2008-10-03,-0.021321522708726302,-0.021330638120469755,0.009115411743451755,9.115411743451756e-06,1.1651025530919574,-0.061279879815174354
2008-10-10,-0.0035706521143877845,-0.0035782930648748236,0.007640950487039177,7.640950487039178e-06,1.1609334747063607,-0.06463889551109014
2008-10-17,0.0010956264938950756,0.0010907885437842566,0.004837950110818951,4.837950110818951e-06,1.162199807640666,-0.06361861433401217
2008-10-24,0.004403557828548574,0.004388777468794916,0.014780359753658016,1.4780359753658017e-05,1.1673004439706773,-0.05950904480640218
2008-10-31,0.006532085100647433,0.006490172498542293,0.04191260210514024,4.1912602105140236e-05,1.174876425209672,-0.05340509627387702
2008-11-07,-0.0009100137719098759,-0.0009196023719092729,0.009588599999396966,9.588599999396967e-06,1.173796006062349,-0.05427558719258074
2008-11-14,0.00556300226749756,0.005555832492059696,0.007169775437864074,7.169775437864074e-06,1.18031742005188,-0.049021300771371235
2008-11-21,0.004995586177062923,0.004988341120502619,0.007245056560304647,7.2450565603046475e-06,1.1862052459735706,-0.04427749462128683
2008-11-28,0.006429671088824815,0.0064067059229715746,0.02296516585324071,2.2965165853240712e-05,1.1938049141488094,-0.038154461585359734
2008-12-05,0.006236312477894579,0.006233968948929762,0.0023435289648166,2.3435289648166e-06,1.2012470569146927,-0.03215834636521642
2008-12-12,0.01928763524163568,0.019284660561005598,0.002974680630082837,2.974680630082837e-06,1.2244126986571995,-0.013493848598067237
2008-12-19,0.005120258339079702,0.005117209741245152,0.003048597834549205,3.048597834549205e-06,1.2306782752460723,-0.008445689710315007
2008-12-26,-0.005056591005014193,-0.00507860964960322,0.022018644589026633,2.2018644589026634e-05,1.2244281406818505,-0.013481406998657963
2009-01-02,-0.00021516507797626674,-0.00021685949598897688,0.0016944180127101273,1.6944180127101274e-06,1.2241626118123876,-0.013695342923519926
2009-01-09,-0.0006970971228161898,-0.000700473816561484,0.0033766937452941732,3.376693745294173e-06,1.2233051179555996,-0.014386223510954532
2009-01-16,-0.010430874791784409,-0.010433634484090527,0.0027596923061181835,2.7596923061181834e-06,1.2105415994923336,-0.024669757397325354
2009-01-23,-0.002673417783434757,-0.002678768486562862,0.005350703128104636,5.350703128104636e-06,1.20729883880394,-0.02728244131520119
2009-01-30,-0.003332836925631422,-0.0034192279769102185,0.08639105127879648,8.639105127879648e-05,1.2031708088378104,-0.030608384405488076
2009-02-06,0.00022693567044352594,0.0002245651589034847,0.002370511540041255,2.3705115400412547e-06,1.203440999081685,-0.03039069282329243
2009-02-13,-0.0017414961169681924,-0.001746837056202485,0.0053409392342925535,5.340939234292554e-06,1.2013387837495357,-0.03208444229110763
2009-02-20,-0.011291513731544661,-0.011294419548870881,0.0029058173262202177,2.9058173262202177e-06,1.1877703595055382,-0.043016486687751154
2009-02-27,-0.001117612343577767,-0.0011935051897126719,0.07589284613490502,7.589284613490502e-05,1.1863527494172816,-0.044158651477358646
2009-03-06,0.0013149610657241578,0.0013117589139317175,0.003202151792440308,3.202151792440308e-06,1.1879089582113973,-0.04290481806812951
2009-03-13,0.004601318055214555,0.0045976445217693835,0.003673533445171553,3.673533445171553e-06,1.1933705413254787,-0.03850443464810849
2009-03-20,0.0019493888461364012,0.0019450248427600246,0.004364003376376659,4.364003376376659e-06,1.1956916766749746,-0.03663430188729566
2009-03-27,-0.003199496720765183,-0.0032319413243187883,0.03244460355360555,3.2444603553605555e-05,1.1918272713339846,-0.0397478432974574
2009-04-03,-5.758731721658818e-06,-8.241070219099417e-06,0.0024823384974405984,2.4823384974405983e-06,1.1918174494017524,-0.03975575680290888
2009-04-10,0.001249678161746821,0.00124531766701416,0.004360494732660998,4.360494732660998e-06,1.1933016407273482,-0.03855994768220683
2009-04-17,0.003107503069922507,0.0031047188818188153,0.002784188103692022,2.7841881036920218e-06,1.1970065068630198,-0.03557494659803895
2009-04-24,-0.008033455111789305,-0.0084425913920823,0.40913628029299404,0.00040913628029299405,1.1869006700319116,-0.043717193252198805
2009-05-01,0.004348238139496264,0.004332010239312313,0.016227900183951066,1.6227900183951068e-05,1.1920423358875365,-0.03957456634168899
2009-05-08,0.004751680277197377,0.004739005331357334,0.012674945840043285,1.2674945840043285e-05,1.1976914308725113,-0.03502310509121098
2009-05-15,0.0016501546908075024,0.0016442301284416148,0.0059245623658876045,5.924562365887605e-06,1.1996607112077282,-0.03343646100735198
2009-05-22,0.008426890174876479,0.008416916792727446,0.00997338214903292,9.97338214903292e-06,1.209758155593468,-0.02530097612476656
2009-05-29,-0.007672808639532862,-0.007754011257042425,0.0812026175095629,8.120261750956289e-05,1.2003776772366974,-0.03285880332812341
2009-06-05,0.0030608906914294,0.003038221416294562,0.02266927513483796,2.266927513483796e-05,1.2040246904033198,-0.02992041423181413
2009-06-12,-0.005408515635009147,-0.005466409366798395,0.0578937317892483,5.78937317892483e-05,1.1974429985578425,-0.03522326636599726
2009-06-19,0.009975854129434874,0.009918432588949548,0.05742154048532491,5.742154048532492e-05,1.2093197562181481,-0.025654193370061473
2009-06-26,-0.004260799248212981,-0.004542499890640836,0.28170064242785386,0.0002817006424278539,1.2038264213577774,-0.030080159090124292
2009-07-03,-0.0021751090425728347,-0.0021860778997421487,0.010968857169313843,1.0968857169313843e-05,1.2011947630229216,-0.03220047941885873
2009-07-10,0.005817813820414336,0.00580059283207254,0.017220988341796473,1.7220988341796473e-05,1.2081624047552355,-0.026586668456892504
2009-07-17,0.019504042438652378,0.01947989152618441,0.024150912467966645,2.4150912467966644e-05,1.2316972773458816,-0.007624682348290945
2009-07-24,0.0208455764222156,0.02082779639901547,0.017780023200131376,1.7780023200131377e-05,1.2573508174636634,0.0
2009-07-31,-0.0012663199685128473,-0.0014314418886990149,0.16512192018616761,0.0001651219201861676,1.255550992834756,-0.0014314418886990365
2009-08-07,-0.0023804559955877356,-0.0024110247679480367,0.030568772360300978,3.0568772360300976e-05,1.2525238282936095,-0.0038390154147995847
2009-08-14,0.0065333853469336746,0.006511681261963769,0.021704084969905512,2.1704084969905512e-05,1.260679864236472,0.0
2009-08-21,0.006198699666800896,0.006147031375815141,0.05166829098575468,5.166829098575468e-05,1.2684293029167921,0.0
2009-08-28,0.00610199321295741,0.005884390889970167,0.2176023229872438,0.0002176023229872438,1.2758932367514468,0.0
2009-09-04,0.016276618217608604,0.016251864849688734,0.024753367919870345,2.4753367919870346e-05,1.2966288811977633,0.0
2009-09-11,0.005054816811623865,0.005004606494776888,0.050210316846976695,5.02103168469767e-05,1.3031179985179209,0.0
2009-09-18,9.970432986185912e-05,5.871170961609663e-05,0.04099262024576249,4.099262024576249e-05,1.3031945068034452,0.0
2009-09-25,-0.008835679512478468,-0.009088847767286058,0.25316825480758937,0.0002531682548075894,1.2913499703199454,-0.009088847767285912
2009-10-02,0.025280794747682203,0.02525972427403346,0.021070473648743978,2.1070473648743978e-05,1.3239691145115087,0.0
2009-10-09,0.004863639922733615,0.0048471325298885945,0.016507392845020383,1.6507392845020382e-05,1.3303865682750253,0.0
2009-10-16,0.0033156265806971227,0.003244548333221898,0.0710782474752246,7.107824747522461e-05,1.334703071797663,0.0
2009-10-23,-0.021862484789710958,-0.021891159204819523,0.028674415108565,2.8674415108565e-05,1.3054848743617786,-0.021891159204819544
2009-10-30,0.02588798098529989,0.02556483128112869,0.32314970417120137,0.0003231497041712014,1.3388593749149031,0.0
2009-11-06,0.018310109104647435,0.018291325855197705,0.018783249449729908,1.8783249449729908e-05,1.363348888015758,0.0
2009-11-13,-0.005570442932816151,-0.005587019340497475,0.016576407681324075,1.6576407681324075e-05,1.3557318314105684,-0.005587019340497323
2009-11-20,-0.005133483203855587,-0.005164458892620925,0.030975688765337916,3.0975688765337917e-05,1.348730210097831,-0.010722624301402028
2009-11-27,0.027394764841450328,0.02725094502660577,0.14381981484455814,0.00014381981484455815,1.3854843829089294,0.0
2009-12-04,-0.009699467020325214,-0.009720237090394494,0.020770070069280406,2.0770070069280408e-05,1.3720171462220156,-0.00972023709039449
2009-12-11,-0.0055862183696957675,-0.005600642121212537,0.014423751516769032,1.4423751516769033e-05,1.3643329692018586,-0.015266439642330543
2009-12-18,0.01972056782252065,0.019706083330833197,0.014484491687454006,1.4484491687454005e-05,1.3912186283839534,0.0
2009-12-25,-0.004438860318147125,-0.004803455146505836,0.3645948283587108,0.0003645948283587108,1.3845359721035277,-0.0048034551465058195
2010-01-01,0.02377475831426846,0.02376481407579515,0.009944238473307911,9.944238473307912e-06,1.4174392120618184,0.0
2010-01-08,-0.008422086412809164,-0.008435795999756681,0.013709586947518058,1.3709586947518058e-05,1.4054819840268091,-0.008435795999756635
2010-01-15,-0.034277783090602996,-0.034292087268575376,0.014304177972380603,1.4304177972380603e-05,1.3572850731761514,-0.04243860221572837
2010-01-22,-0.013754648921888294,-0.013763804618263792,0.009155696375496701,9.1556963754967e-06,1.338603666617669,-0.055618290204822673
2010-01-29,-0.008054004410648737,-0.008360774968673153,0.30677055802441555,0.00030677055802441557,1.327411902588838,-0.06351405316495085
2010-02-05,0.00826982189548872,0.008259887980351148,0.009933915137571183,9.933915137571184e-06,1.3383761762080064,-0.05577878414892046
2010-02-12,0.029448449544831373,0.02944263876677231,0.005810778059062834,5.810778059062833e-06,1.3777815024981528,-0.027978419974694524
2010-02-19,0.000473892693993411,0.00046427827614196166,0.009614417851449321,9.614417851449322e-06,1.3784211765190328,-0.027527131471147603
2010-02-26,0.040930634956912806,0.04058097050036249,0.3496644565503174,0.0003496644565503174,1.4343588456204268,0.0
