candidate,lookback,top_k,low_allocation,high_allocation,volatility_target,maximum_leverage,development_cagr,development_sharpe,development_max_drawdown,validation_cagr,validation_sharpe,validation_max_drawdown,locked_test_cagr,locked_test_sharpe,locked_test_max_drawdown,full_cagr,full_sharpe,full_max_drawdown
lb13__k1__a0.10-0.20__volnone__cap1.00,13,1,0.1,0.2,,1.0,0.16994376766608776,1.0818850863244043,-0.12847200074841036,0.13679492276208904,0.7245710279565544,-0.22197863290246733,0.9933873331592051,2.675633229025517,-0.11315750961504212,0.34500507660410795,1.5195260020257664,-0.23328566955628705
lb13__k1__a0.10-0.20__vol0.35__cap1.00,13,1,0.1,0.2,0.35,1.0,0.16994376766608776,1.0818850863244043,-0.12847200074841036,0.13679492276208904,0.7245710279565544,-0.22197863290246733,0.9899297649284713,2.6709257136131965,-0.11469575477663863,0.3443593909514666,1.5177821900567368,-0.23328566955628705
lb13__k1__a0.10-0.20__vol0.35__cap1.25,13,1,0.1,0.2,0.35,1.25,0.17304004332460043,0.9405240972390071,-0.1600681819397205,0.12237525712439656,0.5829187912799791,-0.27704418032375133,1.2621520564538207,2.676312225057682,-0.12588844218885953,0.3896222716899318,1.4257712459919833,-0.29745358041546865
lb13__k1__a0.10-0.20__vol0.35__cap1.50,13,1,0.1,0.2,0.35,1.5,0.1747005285786134,0.8369396531063238,-0.19086439793234622,0.05836673396951397,0.34361403577412075,-0.33010715271927515,1.422249895096218,2.6971887237876526,-0.13260814029134482,0.394221065582971,1.3067365186300086,-0.3580055079826686
lb13__k1__a0.10-0.20__vol0.50__cap1.00,13,1,0.1,0.2,0.5,1.0,0.16994376766608776,1.0818850863244043,-0.12847200074841036,0.13679492276208904,0.7245710279565544,-0.22197863290246733,0.9933873331592051,2.675633229025517,-0.11315750961504212,0.34500507660410795,1.5195260020257664,-0.23328566955628705
lb13__k1__a0.10-0.20__vol0.50__cap1.25,13,1,0.1,0.2,0.5,1.25,0.17304004332460043,0.9405240972390071,-0.1600681819397205,0.14265354702721877,0.6471939263094408,-0.27704418032375133,1.2938290454268953,2.617032125505112,-0.14399766108479006,0.4019035691124986,1.4310681422591134,-0.29745358041546865
lb13__k1__a0.10-0.20__vol0.50__cap1.50,13,1,0.1,0.2,0.5,1.5,0.1747005285786134,0.8369396531063238,-0.19086439793234622,0.14521425843084956,0.5956091918780315,-0.33010715271927515,1.607243432860698,2.5654843575494075,-0.17877270719842475,0.4542729636841045,1.3647995602016203,-0.3580055079826686
lb13__k1__a0.10-0.30__volnone__cap1.00,13,1,0.1,0.3,,1.0,0.15890993547942522,1.0367605544508363,-0.1295749597767336,0.09836072266518991,0.56761800685665,-0.2280307931720309,0.961675340957437,2.6318122038888925,-0.11315750961504234,0.32077018492592435,1.4500850837388715,-0.23983634580322255
lb13__k1__a0.10-0.30__vol0.35__cap1.00,13,1,0.1,0.3,0.35,1.0,0.15890993547942522,1.0367605544508363,-0.1295749597767336,0.09836072266518991,0.56761800685665,-0.2280307931720309,0.9582727777801354,2.6270754353663555,-0.11469575477663863,0.3201361335207087,1.448301547813921,-0.23983634580322255
lb13__k1__a0.10-0.30__vol0.35__cap1.25,13,1,0.1,0.3,0.35,1.25,0.15938997523345289,0.8917805354775706,-0.16133681671984235,0.08211101118129749,0.44354000019214956,-0.28392315077271846,1.2176934449433183,2.6315402838252986,-0.12588844218885964,0.3609827809162649,1.358876479355756,-0.30477127165845763
lb13__k1__a0.10-0.30__vol0.35__cap1.50,13,1,0.1,0.3,0.35,1.5,0.15851252069899147,0.7854798719402416,-0.19225818714271514,0.01719028770765152,0.2072118593378401,-0.3369119026475281,1.3844457008737199,2.6599659635824935,-0.13880930553534387,0.3645283662232559,1.2434899047461472,-0.3658242120403108
lb13__k1__a0.10-0.30__vol0.50__cap1.00,13,1,0.1,0.3,0.5,1.0,0.15890993547942522,1.0367605544508363,-0.1295749597767336,0.09836072266518991,0.56761800685665,-0.2280307931720309,0.961675340957437,2.6318122038888925,-0.11315750961504234,0.32077018492592435,1.4500850837388715,-0.23983634580322255
lb13__k1__a0.10-0.30__vol0.50__cap1.25,13,1,0.1,0.3,0.5,1.25,0.15938997523345289,0.8917805354775706,-0.16133681671984235,0.0949493912305821,0.48813110213618094,-0.28392315077271846,1.2487478785304438,2.5728205063087586,-0.14399766108479062,0.37069191010076263,1.3599835305206578,-0.30477127165845763
lb13__k1__a0.10-0.30__vol0.50__cap1.50,13,1,0.1,0.3,0.5,1.5,0.15851252069899147,0.7854798719402416,-0.19225818714271514,0.08853573552228178,0.43513983232253484,-0.3369119026475281,1.5464663720534286,2.5209083442142206,-0.17877270719842464,0.41586755755878846,1.2924642348321207,-0.3658242120403108
