candidate,gate,lookback_weeks,allocation,outer_cost_bps,window,cagr,sharpe,drawdown,total_return,control_cagr,cagr_delta
candidate_negative_relative__lb26__w0.5__50bps,candidate_negative_relative,26,0.5,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative__lb26__w0.5__50bps,relative,26,0.5,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
candidate_negative_relative__lb13__w0.1__50bps,candidate_negative_relative,13,0.1,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
candidate_negative_relative__lb13__w0.2__50bps,candidate_negative_relative,13,0.2,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
candidate_negative_relative__lb13__w0.3__50bps,candidate_negative_relative,13,0.3,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
candidate_negative_relative__lb13__w0.4__50bps,candidate_negative_relative,13,0.4,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
candidate_negative_relative__lb13__w0.5__50bps,candidate_negative_relative,13,0.5,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative__lb26__w0.2__50bps,relative,26,0.2,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative__lb26__w0.3__50bps,relative,26,0.3,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative__lb26__w0.4__50bps,relative,26,0.4,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative__lb26__w0.1__50bps,relative,26,0.1,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative_and_positive__lb26__w0.1__50bps,relative_and_positive,26,0.1,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative_and_positive__lb26__w0.5__50bps,relative_and_positive,26,0.5,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
candidate_negative_relative__lb26__w0.4__50bps,candidate_negative_relative,26,0.4,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
relative_and_positive__lb26__w0.2__50bps,relative_and_positive,26,0.2,50,trailing_1y,1.0510082013109483,2.691874564272,-0.10076752452473337,1.0795375653641979,1.0510082013109483,0.0
