Date,control_weight,valuation_weight,gross_return,turnover,cost,net_return,wealth,drawdown
2023-01-06,1.0,0.0,0.0398810316109126,0.0,0.0,0.0398810316109126,1.0398810316109126,0.0
2023-01-13,1.0,0.0,0.0053489702783335,0.0,0.0,0.0053489702783335,1.0454433243420023,0.0
2023-01-20,1.0,0.0,0.0255903554144734,0.0,0.0,0.0255903554144734,1.0721965905776027,0.0
2023-01-27,1.0,0.0,0.0200652585431007,0.0,0.0,0.0200652585431007,1.0937104923765735,0.0
2023-02-03,1.0,0.0,-0.0098754760923926,0.0,0.0,-0.0098754760923926,1.0829095805571096,-0.009875476092392699
2023-02-10,1.0,0.0,-0.0030374722256475,0.0,0.0,-0.0030374722256475,1.0796202727832798,-0.012882951833694478
2023-02-17,1.0,0.0,-0.0244495205442011,0.0,0.0,-0.0244495205442011,1.053224074743929,-0.03701749038236779
2023-02-24,1.0,0.0,0.0272139430764819,0.0,0.0,0.0272139430764819,1.0818864547607907,-0.010810939181985724
2023-03-03,1.0,0.0,-0.0366762271444246,0.0,0.0,-0.0366762271444246,1.0422069414015076,-0.04709066186532729
2023-03-10,1.0,0.0,0.0205959411841947,0.0,0.0,0.0205959411841947,1.0636721742683726,-0.027464597183235684
2023-03-17,1.0,0.0,0.0211607904735846,0.0,0.0,0.0211607904735846,1.0861803182806478,-0.0068849792960868905
2023-03-24,1.0,0.0,0.0398469927041782,0.0,0.0,0.0398469927041782,1.1294613374985987,0.0
2023-03-31,1.0,0.0,-0.016411247231603,0.0,0.0,-0.016411247231603,1.1109254682503722,-0.016411247231603032
2023-04-07,1.0,0.0,0.0022577227378204,0.0,0.0,0.0022577227378204,1.113433629940065,-0.01419057653981326
2023-04-14,1.0,0.0,-0.006009715859201,0.0,0.0,-0.006009715859201,1.1067422101960465,-0.02011501106613167
2023-04-21,1.0,0.0,0.0100608036287683,0.0,0.0,0.0100608036287683,1.117876926240498,-0.01025658061369017
2023-04-28,1.0,0.0,0.0012671563402333,0.0,0.0,0.0012671563402333,1.1192934510751842,-0.009002420964610569
2023-05-05,1.0,0.0,-0.0039823065415317,0.0,0.0,-0.0039823065415317,1.1148360814430738,-0.012948877106245371
2023-05-12,1.0,0.0,0.0293774880193604,0.0,0.0,0.0293774880193604,1.1475871650692184,0.0
