candidate,gate,lookback_weeks,allocation,outer_cost_bps,window,cagr,sharpe,drawdown,total_return,control_cagr,cagr_delta
static__lb4__w0.1__0bps,static,4,0.1,0,full_recent,0.4198190248751976,1.7208717620390088,-0.20690376828222168,2.5512464645746973,0.4093476771616662,0.01047134771353142
static__lb4__w0.1__0bps,static,4,0.1,0,trailing_2y,0.5715751472916755,1.9324921020064953,-0.206903768282222,1.4914144593859247,0.5969664512506938,-0.02539130395901834
static__lb4__w0.1__0bps,static,4,0.1,0,trailing_1y,0.9973086138966167,2.801568913434213,-0.09477367391028901,1.024058063638106,1.0510082013109483,-0.05369958741433156
static__lb4__w0.1__0bps,static,4,0.1,0,ytd,1.0527446270811178,2.6665877658326447,-0.09477367391028868,0.5567042357448073,1.095041975165166,-0.04229734808404828
static__lb4__w0.1__50bps,static,4,0.1,50,full_recent,0.419630003196914,1.720396241567071,-0.20690376828222168,2.549537479246194,0.4093476771616662,0.010282326035247813
static__lb4__w0.1__50bps,static,4,0.1,50,trailing_2y,0.5715751472916755,1.9324921020064953,-0.206903768282222,1.4914144593859247,0.5969664512506938,-0.02539130395901834
static__lb4__w0.1__50bps,static,4,0.1,50,trailing_1y,0.9973086138966167,2.801568913434213,-0.09477367391028901,1.024058063638106,1.0510082013109483,-0.05369958741433156
static__lb4__w0.1__50bps,static,4,0.1,50,ytd,1.0527446270811178,2.6665877658326447,-0.09477367391028868,0.5567042357448073,1.095041975165166,-0.04229734808404828
static__lb4__w0.1__100bps,static,4,0.1,100,full_recent,0.4194409156717964,1.7199181476479009,-0.2069037682822218,2.5478284939176916,0.4093476771616662,0.01009323851013022
static__lb4__w0.1__100bps,static,4,0.1,100,trailing_2y,0.5715751472916755,1.9324921020064953,-0.206903768282222,1.4914144593859247,0.5969664512506938,-0.02539130395901834
static__lb4__w0.1__100bps,static,4,0.1,100,trailing_1y,0.9973086138966167,2.801568913434213,-0.09477367391028901,1.024058063638106,1.0510082013109483,-0.05369958741433156
static__lb4__w0.1__100bps,static,4,0.1,100,ytd,1.0527446270811178,2.6665877658326447,-0.09477367391028868,0.5567042357448073,1.095041975165166,-0.04229734808404828
static__lb4__w0.1__200bps,static,4,0.1,200,full_recent,0.41906254286229583,1.7189542422882267,-0.2069037682822219,2.544410523260693,0.4093476771616662,0.009714865700629627
static__lb4__w0.1__200bps,static,4,0.1,200,trailing_2y,0.5715751472916755,1.9324921020064953,-0.206903768282222,1.4914144593859247,0.5969664512506938,-0.02539130395901834
static__lb4__w0.1__200bps,static,4,0.1,200,trailing_1y,0.9973086138966167,2.801568913434213,-0.09477367391028901,1.024058063638106,1.0510082013109483,-0.05369958741433156
static__lb4__w0.1__200bps,static,4,0.1,200,ytd,1.0527446270811178,2.6665877658326447,-0.09477367391028868,0.5567042357448073,1.095041975165166,-0.04229734808404828
static__lb4__w0.2__0bps,static,4,0.2,0,full_recent,0.42972225726166147,1.8105209920991245,-0.20427401487653474,2.6416191870930197,0.4093476771616662,0.020374580099995265
static__lb4__w0.2__0bps,static,4,0.2,0,trailing_2y,0.5456395340667866,1.9398336982727293,-0.20427401487653463,1.4090905914522551,0.5969664512506938,-0.05132691718390725
static__lb4__w0.2__0bps,static,4,0.2,0,trailing_1y,0.9429362618906112,2.9020025223375248,-0.08987116696090602,0.9679127235339469,1.0510082013109483,-0.1080719394203371
static__lb4__w0.2__0bps,static,4,0.2,0,ytd,1.0084533495488825,2.808006036308927,-0.08987116696090613,0.5359478162134261,1.095041975165166,-0.08658862561628355
static__lb4__w0.2__50bps,static,4,0.2,50,full_recent,0.4293411848097397,1.8095503405607514,-0.20427401487653463,2.638111235969025,0.4093476771616662,0.019993507648073505
static__lb4__w0.2__50bps,static,4,0.2,50,trailing_2y,0.5456395340667866,1.9398336982727293,-0.20427401487653463,1.4090905914522551,0.5969664512506938,-0.05132691718390725
