decision_at,cik10,company_name,sector,score,available_features,intended_weight
2023-01-01 00:00:00+00:00,0001463101,"ENPHASE ENERGY, INC.",technology,0.9103641456582633,2,0.2
2023-01-01 00:00:00+00:00,0000858470,COTERRA ENERGY INC.,energy,0.8980450070323488,3,0.2
2023-01-01 00:00:00+00:00,0001561550,"DATADOG, INC.",technology,0.866778817287066,3,0.2
2023-01-01 00:00:00+00:00,0001431959,META MATERIALS INC.,technology,0.8595419281971525,3,0.2
2023-01-01 00:00:00+00:00,0001743725,"GRID DYNAMICS HOLDINGS, INC.",technology,0.8593514837474178,3,0.2
2023-04-01 00:00:00+00:00,0001463101,"ENPHASE ENERGY, INC.",technology,0.9205338073898498,2,0.2
2023-04-01 00:00:00+00:00,0000858470,COTERRA ENERGY INC.,energy,0.8982402209747841,3,0.2
2023-04-01 00:00:00+00:00,0001561550,"DATADOG, INC.",technology,0.8653708366329816,3,0.2
2023-04-01 00:00:00+00:00,0001431959,META MATERIALS INC.,technology,0.8626561695852998,3,0.2
2023-04-01 00:00:00+00:00,0001743725,"GRID DYNAMICS HOLDINGS, INC.",technology,0.8525355837525819,3,0.2
2023-07-01 00:00:00+00:00,0001280452,MONOLITHIC POWER SYSTEMS INC,technology,0.8453763818213721,3,0.2
2023-07-01 00:00:00+00:00,0001035002,VALERO ENERGY CORP/TX,energy,0.7987515605493133,2,0.2
2023-07-01 00:00:00+00:00,0001784535,"PORCH GROUP, INC.",technology,0.796213760698758,3,0.2
2023-07-01 00:00:00+00:00,0001863105,"ENGAGESMART, INC.",technology,0.7688015441305492,3,0.2
2023-07-01 00:00:00+00:00,0000896429,"CANTALOUPE, INC.",technology,0.7663956639566395,3,0.2
2023-10-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.8340246440889132,3,0.2
2023-10-01 00:00:00+00:00,0001694028,LIBERTY ENERGY INC.,energy,0.8259593091053765,3,0.2
2023-10-01 00:00:00+00:00,0000807863,MITEK SYSTEMS INC,technology,0.8248780710150871,3,0.2
2023-10-01 00:00:00+00:00,0001006655,EVOLUTION PETROLEUM CORP,energy,0.8195936398183589,3,0.2
2023-10-01 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,0.8073150320341331,3,0.2
2024-01-01 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,0.9466816761997485,3,0.2
2024-01-01 00:00:00+00:00,0000909494,TUCOWS INC /PA/,technology,0.8707125603864735,2,0.2
2024-01-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.8404156234940112,3,0.2
2024-01-01 00:00:00+00:00,0000797721,VIASAT INC,technology,0.8351690821256038,3,0.2
2024-01-01 00:00:00+00:00,0000936395,CIENA CORP,technology,0.8113627067244966,3,0.2
2024-04-01 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,0.947951366926699,3,0.2
2024-04-01 00:00:00+00:00,0000909494,TUCOWS INC /PA/,technology,0.8678096681506742,2,0.2
2024-04-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.8452385214936893,3,0.2
2024-04-01 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,0.798102466793169,3,0.2
2024-04-01 00:00:00+00:00,0001680247,PROPETRO HOLDING CORP.,energy,0.790779394194954,3,0.2
2024-07-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.9428571428571427,3,0.2
2024-07-01 00:00:00+00:00,0001162194,STANDARD BIOTOOLS INC.,technology,0.8024371859296482,2,0.2
