decision_at,effective_date,holding_end,cik10,company_name,intended_weight,price_available,holding_return,equal_weight_return_contribution
2023-01-01 00:00:00+00:00,2023-01-06,2023-04-07,0001743725,"GRID DYNAMICS HOLDINGS, INC.",0.2,True,0.07397003176771233,0.014794006353542466
2023-01-01 00:00:00+00:00,2023-01-06,2023-04-07,0000858470,COTERRA ENERGY INC.,0.2,True,0.05375298475192891,0.010750596950385783
2023-01-01 00:00:00+00:00,2023-01-06,2023-04-07,0001561550,"DATADOG, INC.",0.2,True,0.026348650724792533,0.005269730144958507
2023-01-01 00:00:00+00:00,2023-01-06,2023-04-07,0001463101,"ENPHASE ENERGY, INC.",0.2,True,-0.18253796281021917,-0.036507592562043834
2023-01-01 00:00:00+00:00,2023-01-06,2023-04-07,0001431959,META MATERIALS INC.,0.2,False,,
2023-04-01 00:00:00+00:00,2023-04-07,2023-07-07,0001561550,"DATADOG, INC.",0.2,True,0.48898669173097886,0.09779733834619578
2023-04-01 00:00:00+00:00,2023-04-07,2023-07-07,0000858470,COTERRA ENERGY INC.,0.2,True,0.020180531539961244,0.004036106307992249
2023-04-01 00:00:00+00:00,2023-04-07,2023-07-07,0001743725,"GRID DYNAMICS HOLDINGS, INC.",0.2,True,-0.12903229829601603,-0.02580645965920321
2023-04-01 00:00:00+00:00,2023-04-07,2023-07-07,0001463101,"ENPHASE ENERGY, INC.",0.2,True,-0.1300000095866738,-0.02600000191733476
2023-04-01 00:00:00+00:00,2023-04-07,2023-07-07,0001431959,META MATERIALS INC.,0.2,False,,
2023-07-01 00:00:00+00:00,2023-07-07,2023-10-06,0001863105,"ENGAGESMART, INC.",0.2,True,0.11111111111111116,0.022222222222222233
2023-07-01 00:00:00+00:00,2023-07-07,2023-10-06,0001035002,VALERO ENERGY CORP/TX,0.2,True,0.11020408667684567,0.022040817335369136
2023-07-01 00:00:00+00:00,2023-07-07,2023-10-06,0001280452,MONOLITHIC POWER SYSTEMS INC,0.2,True,-0.07617024075531809,-0.015234048151063618
2023-07-01 00:00:00+00:00,2023-07-07,2023-10-06,0000896429,"CANTALOUPE, INC.",0.2,True,-0.09411764705882364,-0.01882352941176473
2023-07-01 00:00:00+00:00,2023-07-07,2023-10-06,0001784535,"PORCH GROUP, INC.",0.2,True,-0.4865671595318277,-0.09731343190636554
2023-10-01 00:00:00+00:00,2023-10-06,2024-01-05,0001694028,LIBERTY ENERGY INC.,0.2,True,0.10620337854305917,0.021240675708611836
