scenario,cost_bps,window,cagr,sharpe_zero_rf,max_drawdown
base,50,full_recent,0.3170286803541127,0.9481996522893604,-0.3649710972166303
base,50,trailing_1y,1.422238598137973,2.332188146239068,-0.2343719779515867
adverse,50,full_recent,0.166853158518577,0.5972800476272023,-0.4559983093676969
adverse,50,trailing_1y,1.4222385981379766,2.3321881462390706,-0.2343719779515868
base,100,full_recent,0.3005461428492673,0.9134030045608784,-0.3668819163824778
base,100,trailing_1y,1.4023383126447349,2.3119491699309416,-0.2343719779515867
adverse,100,full_recent,0.1516646651898032,0.5627869753169402,-0.470912137351915
adverse,100,trailing_1y,1.402338312644733,2.3119491699309416,-0.2343719779515867
base,200,full_recent,0.2680118297206266,0.8427195635160429,-0.371220073187853
base,200,trailing_1y,1.362859361440063,2.2705797448116174,-0.2343719779515868
adverse,200,full_recent,0.1217045707471187,0.4935326743575452,-0.4996896680329155
adverse,200,trailing_1y,1.362859361440062,2.270579744811617,-0.2343719779515869
