signal_name,formula,source_columns,lag_rule,frequency,start_date,end_date,missingness,causal_ok,economic_interpretation,OOO1_source_feature,next_validation_stage
leadlag_EFA_minus_SPY_13w_signal,"13-week EFA return minus 13-week SPY return, lagged 1 week",leadlag_EFA_minus_SPY_13w,signal value is shifted by 1 week before validation,weekly,2005-02-18,2026-04-10,0.005405405405405406,True,international equity leadership / risk regime signal,leadlag_EFA_minus_SPY_13w,OOO2 validation
leadlag_GLD_minus_SPY_13w_signal,"13-week GLD return minus 13-week SPY return, lagged 1 week",leadlag_GLD_minus_SPY_13w,signal value is shifted by 1 week before validation,weekly,2005-02-18,2026-04-10,0.005405405405405406,True,defensive / real-asset leadership signal,leadlag_GLD_minus_SPY_13w,OOO2 validation
leadlag_DBA_minus_SPY_13w_signal,"13-week DBA return minus 13-week SPY return, lagged 1 week",leadlag_DBA_minus_SPY_13w,signal value is shifted by 1 week before validation,weekly,2005-02-18,2026-04-10,0.005405405405405406,True,commodity / inflation-sensitive leadership signal,leadlag_DBA_minus_SPY_13w,OOO2 validation
leadlag_HYG_minus_LQD_13w_signal,"13-week HYG return minus 13-week LQD return, lagged 1 week",leadlag_HYG_minus_LQD_13w,signal value is shifted by 1 week before validation,weekly,2005-02-18,2026-04-10,0.005405405405405406,True,credit risk appetite confirmation,leadlag_HYG_minus_LQD_13w,OOO2 validation
breadth_ret13_positive_signal,"share of ETF universe with positive 13-week return, lagged 1 week",breadth_ret13_positive,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,broad market participation,breadth_ret13_positive,OOO2 validation
breadth_ret26_positive_signal,"share of ETF universe with positive 26-week return, lagged 1 week",breadth_ret26_positive,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,slower broad market participation,breadth_ret26_positive,OOO2 validation
canary_breadth_pair_signal,"existing canary breadth pair field, lagged 1 week",regime_canary_breadth_pair,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,risk-on/risk-off confirmation,regime_canary_breadth_pair,OOO2 validation
recent_stress_26w_signal,"existing recent-stress memory field, lagged 1 week",regime_recent_stress_26w,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,stress memory / risk regime,regime_recent_stress_26w,OOO2 validation
market_drawdown_signal,"existing market drawdown field, lagged 1 week",regime_market_drawdown,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,drawdown-state risk confirmation,regime_market_drawdown,OOO2 validation
market_trend_positive_signal,"existing market trend positive flag, lagged 1 week",regime_market_trend_positive,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,trend confirmation,regime_market_trend_positive,OOO2 validation
breadth_ret13_positive_x_recovery_confirmed_signal,lagged 13-week breadth times lagged recovery_confirmed state flag,breadth_ret13_positive_x_state_recovery_confirmed,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,state-specific breadth participation gate,breadth_ret13_positive_x_state_recovery_confirmed,OOO2 validation
breadth_ret13_positive_x_neutral_mixed_signal,lagged 13-week breadth times lagged neutral_mixed state flag,breadth_ret13_positive_x_state_neutral_mixed,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,state-specific breadth participation gate,breadth_ret13_positive_x_state_neutral_mixed,OOO2 validation
breadth_ret13_positive_x_stressed_panic_signal,lagged 13-week breadth times lagged stressed_panic state flag,breadth_ret13_positive_x_state_stressed_panic,signal value is shifted by 1 week before validation,weekly,2005-01-14,2026-04-10,0.0009009009009009009,True,state-specific breadth recovery/risk gate,breadth_ret13_positive_x_state_stressed_panic,OOO2 validation
leadlag_HYG_minus_LQD_13w_x_calm_trend_signal,lagged HYG-LQD 13-week return spread times lagged calm_trend flag,leadlag_HYG_minus_LQD_13w_x_state_calm_trend,signal value is shifted by 1 week before validation,weekly,2005-02-18,2026-04-10,0.005405405405405406,True,credit confirmation inside calm trend,leadlag_HYG_minus_LQD_13w_x_state_calm_trend,OOO2 validation
