signal_name,target_group,horizon_weeks,mean_top_minus_bottom_spread,mean_directional_hit_rate,target,top_quantile_return,bottom_quantile_return,top_minus_bottom
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,1,0.002348501937609121,0.4814402279497474,,,,
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,4,0.010690520995571398,0.49781818181818177,,,,
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,8,0.016054182872797806,0.5021897810218978,,,,
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,13,0.020460807339623844,0.4917637815896294,,,,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,1,0.0008325162391222992,0.4801191555497993,,,,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,4,0.0023237655401037094,0.4903116883116882,,,,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,8,0.004846946622924095,0.49676746611053174,,,,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,13,0.007794754721882178,0.49838941992929164,,,,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,1,0.004284199780534667,0.48289081725165134,,,,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,4,0.01107448896818706,0.49877922077922077,,,,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,8,0.012513225941897818,0.5027632950990616,,,,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,13,0.0069089119596092525,0.5038889616341494,,,,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,1,-0.0021712384765393443,0.4725294650951949,,,,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,4,-0.0009441203612243657,0.4775324675324676,,,,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,8,-0.0043788723512425305,0.46449426485922835,,,,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,13,-0.008093452794242553,0.4706036401728428,,,,
breadth_ret13_positive_signal,ETF_forward_returns,1,7.757170795189083e-05,0.46614234141309957,,,,
breadth_ret13_positive_signal,ETF_forward_returns,4,-7.711254908881907e-05,0.47288946347769883,,,,
breadth_ret13_positive_signal,ETF_forward_returns,8,0.0025725654000614572,0.4663033605812898,,,,
breadth_ret13_positive_signal,ETF_forward_returns,13,0.008522507846931142,0.47773722627737225,,,,
breadth_ret26_positive_signal,ETF_forward_returns,1,0.00035182444763128505,0.4651108818978855,,,,
breadth_ret26_positive_signal,ETF_forward_returns,4,-0.0006293441419089312,0.4614350355526826,,,,
breadth_ret26_positive_signal,ETF_forward_returns,8,0.00028206956327880877,0.4585960814843649,,,,
breadth_ret26_positive_signal,ETF_forward_returns,13,0.004887985304646765,0.468769551616267,,,,
canary_breadth_pair_signal,ETF_forward_returns,1,,0.3032490974729241,,,,
canary_breadth_pair_signal,ETF_forward_returns,4,,0.3134324499030382,,,,
canary_breadth_pair_signal,ETF_forward_returns,8,,0.3143376151550539,,,,
canary_breadth_pair_signal,ETF_forward_returns,13,,0.3168143899895724,,,,
recent_stress_26w_signal,ETF_forward_returns,1,,0.2592573491490459,,,,
recent_stress_26w_signal,ETF_forward_returns,4,,0.2734324499030382,,,,
recent_stress_26w_signal,ETF_forward_returns,8,,0.28830932918126373,,,,
recent_stress_26w_signal,ETF_forward_returns,13,,0.2999217935349322,,,,
market_drawdown_signal,ETF_forward_returns,1,-0.0016137492880946257,0.47462609592573496,,,,
market_drawdown_signal,ETF_forward_returns,4,-0.004704059257473053,0.4679767291531997,,,,
market_drawdown_signal,ETF_forward_returns,8,-0.00531507443590624,0.46788633709614635,,,,
market_drawdown_signal,ETF_forward_returns,13,-0.009719098700023333,0.47703336809176217,,,,
