decision_time,effective_date,family,companies,spearman_ic
2012-03-31 00:00:00+00:00,2012-04-06,balance_sheet_quality,17,0.1593137254901961
2012-03-31 00:00:00+00:00,2012-04-06,composite,16,0.15
2012-03-31 00:00:00+00:00,2012-04-06,growth,14,0.015418539605266712
2012-03-31 00:00:00+00:00,2012-04-06,profitability,16,-0.16924213559026233
2012-03-31 00:00:00+00:00,2012-04-06,shareholder_discipline,14,0.45494505494505494
2012-06-30 00:00:00+00:00,2012-07-06,balance_sheet_quality,18,-0.1455108359133127
2012-06-30 00:00:00+00:00,2012-07-06,composite,18,-0.20123839009287925
2012-06-30 00:00:00+00:00,2012-07-06,growth,15,0.36785714285714277
2012-06-30 00:00:00+00:00,2012-07-06,profitability,17,-0.3186274509803922
2012-06-30 00:00:00+00:00,2012-07-06,shareholder_discipline,14,-0.1824175824175824
2012-09-29 00:00:00+00:00,2012-10-05,balance_sheet_quality,18,-0.10738256464573293
2012-09-29 00:00:00+00:00,2012-10-05,composite,18,0.009287925696594427
2012-09-29 00:00:00+00:00,2012-10-05,growth,17,0.4558823529411765
2012-09-29 00:00:00+00:00,2012-10-05,profitability,17,-0.20833333333333337
2012-09-29 00:00:00+00:00,2012-10-05,shareholder_discipline,14,-0.1384615384615385
2012-12-29 00:00:00+00:00,2013-01-04,balance_sheet_quality,18,-0.2870418554953245
2012-12-29 00:00:00+00:00,2013-01-04,composite,18,-0.23426212590299278
2012-12-29 00:00:00+00:00,2013-01-04,growth,17,-0.16666666666666669
2012-12-29 00:00:00+00:00,2013-01-04,profitability,17,-0.30637254901960786
2012-12-29 00:00:00+00:00,2013-01-04,shareholder_discipline,14,0.06813186813186813
2013-03-30 00:00:00+00:00,2013-04-05,balance_sheet_quality,18,-0.18998453745014288
2013-03-30 00:00:00+00:00,2013-04-05,composite,18,0.2280701754385965
2013-03-30 00:00:00+00:00,2013-04-05,growth,17,0.02575107780150905
2013-03-30 00:00:00+00:00,2013-04-05,profitability,17,0.29901960784313725
2013-03-30 00:00:00+00:00,2013-04-05,shareholder_discipline,14,-0.16043956043956045
2013-06-29 00:00:00+00:00,2013-07-05,balance_sheet_quality,18,0.45018075178403416
2013-06-29 00:00:00+00:00,2013-07-05,composite,18,0.35810113519091846
2013-06-29 00:00:00+00:00,2013-07-05,growth,18,0.3065015479876161
2013-06-29 00:00:00+00:00,2013-07-05,profitability,18,0.23839009287925697
2013-06-29 00:00:00+00:00,2013-07-05,shareholder_discipline,16,-0.4852941176470588
2013-09-28 00:00:00+00:00,2013-10-04,balance_sheet_quality,18,0.05885390562314209
2013-09-28 00:00:00+00:00,2013-10-04,composite,18,-0.038183694530443756
2013-09-28 00:00:00+00:00,2013-10-04,growth,18,-0.21694226452167842
2013-09-28 00:00:00+00:00,2013-10-04,profitability,18,-0.07946336429308565
2013-09-28 00:00:00+00:00,2013-10-04,shareholder_discipline,17,0.36274509803921573
2013-12-28 00:00:00+00:00,2014-01-03,balance_sheet_quality,18,0.3376355638380256
2013-12-28 00:00:00+00:00,2014-01-03,composite,18,0.017543859649122806
2013-12-28 00:00:00+00:00,2014-01-03,growth,18,0.05885390562314209
2013-12-28 00:00:00+00:00,2014-01-03,profitability,18,0.21775025799793604
2013-12-28 00:00:00+00:00,2014-01-03,shareholder_discipline,17,-0.3065604500179649
2014-03-29 00:00:00+00:00,2014-04-04,balance_sheet_quality,18,-0.19524803806951055
2014-03-29 00:00:00+00:00,2014-04-04,composite,18,-0.06501547987616099
2014-03-29 00:00:00+00:00,2014-04-04,growth,17,0.029411764705882353
2014-03-29 00:00:00+00:00,2014-04-04,profitability,18,0.23219814241486067
2014-03-29 00:00:00+00:00,2014-04-04,shareholder_discipline,17,-0.47794117647058826
2014-06-28 00:00:00+00:00,2014-07-04,balance_sheet_quality,18,-0.395661368151442
