family,decisions,mean_ic,median_ic,positive_ic_share
balance_sheet_quality,57,-0.022835522849437268,-0.05265467817119167,0.42105263157894735
composite,57,-0.04176217116578857,-0.038183694530443756,0.40350877192982454
growth,57,0.008583881734597544,0.007017543859649123,0.5087719298245614
profitability,57,-0.07041314905381613,-0.09649122807017543,0.40350877192982454
shareholder_discipline,57,-0.006150232661984737,-0.025799793601651185,0.43859649122807015
