candidate,cost_bps,holdout_cagr,holdout_sharpe,holdout_sortino,holdout_drawdown,holdout_turnover,full_cagr,full_sharpe,full_drawdown
growth,50,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.17507431569985155,0.8041638722669494,-0.4539053136064817
growth,100,0.35298714555376987,1.4858892851221304,2.2204436706120743,-0.2486632401588672,1.2506329113924053,0.1659387642471064,0.7711759356349766,-0.46149140426843105
growth,200,0.3363566170714045,1.4314294822400333,2.125824027575081,-0.2562838928185569,1.2506329113924053,0.147814093721651,0.7044574307113389,-0.4764024168343989
profitability,50,0.23468925892337333,1.1956667226471427,1.935759155706214,-0.20855775915977004,0.8556962025316456,0.09471622138136748,0.5395188808931719,-0.5014134999104227
profitability,100,0.22951739294758,1.1755902240703842,1.8975130212838272,-0.20936243611024996,0.8556962025316456,0.08885183430185895,0.5137536973290727,-0.5161315223644805
profitability,200,0.21921419273305398,1.134604870194252,1.8205264416397868,-0.21097179001121047,0.8556962025316456,0.07718215210890422,0.46187797637896644,-0.5443507878983582
balance_sheet_quality,50,0.3047616929408663,1.2753240295346246,1.8738765285717733,-0.28127630618308164,0.4607594936708861,0.20976359373390752,0.9327761666494807,-0.37203246843992155
balance_sheet_quality,100,0.30178876989615766,1.265571666317753,1.8583764439618198,-0.28127630618308175,0.4607594936708861,0.20551921971157783,0.9179440614641212,-0.37203246843992155
balance_sheet_quality,200,0.2958517763940489,1.2458512281627663,1.8271225223090501,-0.28127630618308197,0.4607594936708861,0.19705376984410083,0.8879761359495366,-0.37203246843992155
shareholder_discipline,50,0.21729681531019507,1.0744950804633229,1.577398635554842,-0.2289972272492673,0.7240506329113925,0.14289560440664828,0.7633092257472776,-0.45390780768057104
shareholder_discipline,100,0.21295385320393878,1.057477796767212,1.5503840516712508,-0.23207358239908382,0.7240506329113925,0.13793867996591946,0.7418548518132276,-0.45716092913028883
shareholder_discipline,200,0.20429700191032074,1.023008865753235,1.4962833103405015,-0.23820319278708757,0.7240506329113925,0.1280640747127062,0.6985678080912796,-0.4636219291335756
composite,50,0.2402385039830517,1.216289311248504,1.8000115986450849,-0.2059215356588321,0.7240506329113925,0.13128717453358907,0.6922701368659597,-0.5336017949139313
composite,100,0.235820315518112,1.1987615955221282,1.7699902580406726,-0.2059215356588322,0.7240506329113925,0.12523435181296882,0.6668912773563914,-0.5373304928591595
composite,200,0.2270135083817053,1.1631537700652497,1.7098844379836726,-0.2059215356588323,0.7240506329113925,0.11319014915871506,0.6156790696765064,-0.5447154663990016
benchmark::SPY,50,0.21326211313377152,1.4119043965939182,2.267958384256611,-0.16877145298221075,0.0,0.1501206861929738,0.9750180519335341,-0.31828969294193965
benchmark::SPY,100,0.21326211313377152,1.4119043965939182,2.267958384256611,-0.16877145298221075,0.0,0.1501206861929738,0.9750180519335341,-0.31828969294193965
benchmark::SPY,200,0.21326211313377152,1.4119043965939182,2.267958384256611,-0.16877145298221075,0.0,0.1501206861929738,0.9750180519335341,-0.31828969294193965
benchmark::XLK,50,0.31696325328868546,1.2769241793739932,2.0875553739530797,-0.24020289281197116,0.0,0.21558263482595308,1.0745995365176404,-0.3262118892286191
benchmark::XLK,100,0.31696325328868546,1.2769241793739932,2.0875553739530797,-0.24020289281197116,0.0,0.21558263482595308,1.0745995365176404,-0.3262118892286191
benchmark::XLK,200,0.31696325328868546,1.2769241793739932,2.0875553739530797,-0.24020289281197116,0.0,0.21558263482595308,1.0745995365176404,-0.3262118892286191
benchmark::XLE,50,0.14142013178506962,0.696178700981443,0.9667309423305583,-0.17713404862436632,0.0,0.0746931217084914,0.40613229371116427,-0.6889927835393195
benchmark::XLE,100,0.14142013178506962,0.696178700981443,0.9667309423305583,-0.17713404862436632,0.0,0.0746931217084914,0.40613229371116427,-0.6889927835393195
benchmark::XLE,200,0.14142013178506962,0.696178700981443,0.9667309423305583,-0.17713404862436632,0.0,0.0746931217084914,0.40613229371116427,-0.6889927835393195
benchmark::equal_XLK_XLE,50,0.2421412570295316,1.3857982343275208,1.9786779186204881,-0.19460269733593571,0.0,0.1535816090336588,0.8397404195242941,-0.4281243940205257
benchmark::equal_XLK_XLE,100,0.2421412570295316,1.3857982343275208,1.9786779186204881,-0.19460269733593571,0.0,0.1535816090336588,0.8397404195242941,-0.4281243940205257
benchmark::equal_XLK_XLE,200,0.2421412570295316,1.3857982343275208,1.9786779186204881,-0.19460269733593571,0.0,0.1535816090336588,0.8397404195242941,-0.4281243940205257
benchmark::equal_all_20,50,0.2806626478865404,1.5150318367379145,2.246184772840267,-0.18465116684661342,0.0,0.20784875985763174,1.0260566063670045,-0.42876089468110967
benchmark::equal_all_20,100,0.2806626478865404,1.5150318367379145,2.246184772840267,-0.18465116684661342,0.0,0.20784875985763174,1.0260566063670045,-0.42876089468110967
benchmark::equal_all_20,200,0.2806626478865404,1.5150318367379145,2.246184772840267,-0.18465116684661342,0.0,0.20784875985763174,1.0260566063670045,-0.42876089468110967
