strategy,cost_bps,window,weeks,start,end,total_return,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,sortino_zero_target,max_drawdown,calmar,positive_week_share,var_5_weekly,cvar_5_weekly,best_week,worst_week,annualized_one_way_turnover
causal_ggg_current_main,50,trailing_1y,53,2025-04-11,2026-04-10,0.2100149993788636,0.20567058142860506,0.19108598082895495,0.0869533019845181,2.1975701493541613,3.599907385782408,-0.07364740799161307,2.792638424586874,0.6981132075471698,-0.01621436595758055,-0.025443957598207032,0.02759411772837945,-0.03285231067451734,3.9272765401532648
causal_ggg_current_main,50,trailing_2y,105,2024-04-12,2026-04-10,0.3344230567590316,0.15358641430648134,0.14655396171303775,0.08382775985680908,1.7482748192648214,2.816852143885776,-0.07364740799161296,2.0854286456893627,0.6476190476190476,-0.01689826152362787,-0.023770786857018236,0.02759411772837945,-0.03285231067451734,3.7265823621027354
causal_ggg_current_main,50,trailing_3y,157,2023-04-14,2026-04-10,0.44194359060876365,0.1288735233396061,0.12459768180414243,0.08070915646662914,1.5437861979843626,2.483668936498169,-0.07364740799161307,1.7498718129262902,0.6242038216560509,-0.015832567204485556,-0.02234309767377038,0.02759411772837945,-0.03285231067451734,3.5664257736832283
causal_ggg_current_main,50,trailing_5y,261,2021-04-16,2026-04-10,0.5268608249227991,0.08797533052897277,0.08716262420539694,0.07470920874439933,1.1666918398721657,1.8905308510220775,-0.07364740799161296,1.1945475465883537,0.5862068965517241,-0.01457377880864916,-0.019672577972287685,0.03640104464913378,-0.03285231067451734,3.3302183845747915
causal_ggg_current_main,50,trailing_10y,522,2016-04-15,2026-04-10,0.9511900498359425,0.06885484790894747,0.06988449464471144,0.08068440682691029,0.8661462281631745,1.2791076539600805,-0.11872732187122248,0.5799410516783225,0.5900383141762452,-0.01553021269478108,-0.02552303664871216,0.06936847519912888,-0.06763791929724003,3.226123390746381
causal_ggg_current_main,50,post_2024,119,2024-01-05,2026-04-10,0.38736123885286755,0.15380721844103684,0.14652454041482144,0.08107769124307387,1.8072115543539038,2.9300202404801925,-0.07364740799161296,2.0884267706821746,0.6470588235294118,-0.01570144428304506,-0.023770786857018236,0.02759411772837945,-0.03285231067451734,3.6968547783754016
causal_ggg_current_main,50,full,1110,2005-01-07,2026-04-10,2.275743077502497,0.05715980161663281,0.0585327458761064,0.07631986841198422,0.76693981651199,1.1087557607765077,-0.11872732187122248,0.48143763975937365,0.5414414414414415,-0.01616755037007908,-0.025800113168089896,0.06936847519912888,-0.06763791929724003,3.209759437668418
v1_frontier_legacy_unqualified,50,trailing_1y,53,2025-04-11,2026-04-10,0.20463304884253097,0.20040891469717526,0.18663332261171445,0.08619930865438512,2.1651371168186286,3.5219313568519564,-0.0741142246451767,2.704054662335562,0.6981132075471698,-0.016433027666669504,-0.025389410921238958,0.026505097426313802,-0.03260951131948264,4.563011864987839
v1_frontier_legacy_unqualified,50,trailing_2y,105,2024-04-12,2026-04-10,0.33131713227720105,0.1522559082018371,0.14530040906197011,0.08266041062266037,1.7577992653007428,2.835461956065788,-0.07411422464517681,2.0543412405751393,0.6476190476190476,-0.016970000692677338,-0.02341570188031088,0.026505097426313802,-0.03260951131948264,4.198534278953926
v1_frontier_legacy_unqualified,50,trailing_3y,157,2023-04-14,2026-04-10,0.43578115435717946,0.12727332124842183,0.12308756960415007,0.07960380834630347,1.5462522731158481,2.4950150962526148,-0.0741142246451767,1.7172590262900995,0.6242038216560509,-0.01599396945384921,-0.022032021492200387,0.026505097426313802,-0.03260951131948264,3.9559866680429563
