variant,annual_financing_rate,leverage_change_cost_bps,cagr,sharpe,max_drawdown,weeks,margin_safety_breaches,forced_deleveraging_weeks
fixed,0.05,10.0,1.5085821122127712,3.120075863125595,-0.13868614262902035,52,0,0
fixed,0.05,50.0,1.5085821122127712,3.120075863125595,-0.13868614262902035,52,0,0
fixed,0.08,10.0,1.49014787440349,3.096074155549312,-0.13945010233556354,52,0,0
fixed,0.08,50.0,1.49014787440349,3.096074155549312,-0.13945010233556354,52,0,0
fixed,0.12,10.0,1.4657754187674192,3.0640718787809345,-0.1404678368668596,52,0,0
fixed,0.12,50.0,1.4657754187674192,3.0640718787809345,-0.1404678368668596,52,0,0
adaptive,0.05,10.0,1.4946068176320706,3.11202632759244,-0.13792628708544064,52,0,0
adaptive,0.05,50.0,1.4921753539507359,3.1090775801714803,-0.13836086865191133,52,0,0
adaptive,0.08,10.0,1.4766217090391716,3.0883625189674984,-0.13862817669558414,52,0,0
adaptive,0.08,50.0,1.4742075261882368,3.0854128832507266,-0.13906243600550772,52,0,0
adaptive,0.12,10.0,1.4528392173457911,3.0568111955977746,-0.13956329508058374,52,0,0
adaptive,0.12,50.0,1.4504478884455048,3.0538603502565302,-0.13999712501249983,52,0,0
adaptive_risk_cap,0.05,10.0,1.4956323605995427,3.1140336904452535,-0.13792628708544086,52,0,0
adaptive_risk_cap,0.05,50.0,1.49319989733364,3.111084228157971,-0.13836086865191155,52,0,0
adaptive_risk_cap,0.08,10.0,1.4776400108015002,3.09036428229583,-0.13862817669558458,52,0,0
adaptive_risk_cap,0.08,50.0,1.4752248353215167,3.087413933391397,-0.13906243600550783,52,0,0
adaptive_risk_cap,0.12,10.0,1.453847942076286,3.0588054921338648,-0.13956329508058418,52,0,0
adaptive_risk_cap,0.12,50.0,1.4514556297472514,3.0558539358249446,-0.13999712501250028,52,0,0
