Date,target_multiplier
2022-12-02 00:00:00+00:00,1.0
2022-12-09 00:00:00+00:00,1.0
2022-12-16 00:00:00+00:00,1.0
2022-12-23 00:00:00+00:00,1.0
2022-12-30 00:00:00+00:00,1.0
2023-01-06 00:00:00+00:00,1.0
2023-01-13 00:00:00+00:00,1.0
2023-01-20 00:00:00+00:00,1.0
2023-01-27 00:00:00+00:00,1.0
2023-02-03 00:00:00+00:00,1.0
2023-02-10 00:00:00+00:00,1.0
2023-02-17 00:00:00+00:00,1.0
2023-02-24 00:00:00+00:00,1.0
2023-03-03 00:00:00+00:00,1.0
2023-03-10 00:00:00+00:00,1.0
2023-03-17 00:00:00+00:00,1.0
2023-03-24 00:00:00+00:00,1.0
2023-03-31 00:00:00+00:00,1.0
2023-04-07 00:00:00+00:00,1.0
2023-04-14 00:00:00+00:00,1.0
2023-04-21 00:00:00+00:00,1.0
2023-04-28 00:00:00+00:00,1.0
2023-05-05 00:00:00+00:00,1.0
2023-05-12 00:00:00+00:00,1.0
2023-05-19 00:00:00+00:00,1.0
2023-05-26 00:00:00+00:00,1.0
2023-06-02 00:00:00+00:00,1.25
2023-06-09 00:00:00+00:00,1.25
2023-06-16 00:00:00+00:00,1.25
2023-06-23 00:00:00+00:00,1.25
2023-06-30 00:00:00+00:00,1.25
2023-07-07 00:00:00+00:00,1.25
2023-07-14 00:00:00+00:00,1.25
2023-07-21 00:00:00+00:00,1.25
2023-07-28 00:00:00+00:00,1.25
2023-08-04 00:00:00+00:00,1.25
2023-08-11 00:00:00+00:00,1.25
2023-08-18 00:00:00+00:00,1.25
2023-08-25 00:00:00+00:00,1.25
2023-09-01 00:00:00+00:00,1.25
2023-09-08 00:00:00+00:00,1.25
2023-09-15 00:00:00+00:00,1.0
2023-09-22 00:00:00+00:00,1.0
2023-09-29 00:00:00+00:00,1.0
2023-10-06 00:00:00+00:00,1.0
2023-10-13 00:00:00+00:00,1.0
2023-10-20 00:00:00+00:00,1.0
2023-10-27 00:00:00+00:00,1.0
2023-11-03 00:00:00+00:00,1.0
2023-11-10 00:00:00+00:00,1.25
2023-11-17 00:00:00+00:00,1.25
2023-11-24 00:00:00+00:00,1.25
2023-12-01 00:00:00+00:00,1.25
2023-12-08 00:00:00+00:00,1.25
2023-12-15 00:00:00+00:00,1.25
2023-12-22 00:00:00+00:00,1.25
2023-12-29 00:00:00+00:00,1.25
2024-01-05 00:00:00+00:00,1.25
2024-01-12 00:00:00+00:00,1.25
2024-01-19 00:00:00+00:00,1.25
2024-01-26 00:00:00+00:00,1.25
2024-02-02 00:00:00+00:00,1.25
2024-02-09 00:00:00+00:00,1.25
2024-02-16 00:00:00+00:00,1.25
2024-02-23 00:00:00+00:00,1.25
2024-03-01 00:00:00+00:00,1.25
2024-03-08 00:00:00+00:00,1.25
2024-03-15 00:00:00+00:00,1.25
2024-03-22 00:00:00+00:00,1.25
2024-03-29 00:00:00+00:00,1.25
2024-04-05 00:00:00+00:00,1.25
2024-04-12 00:00:00+00:00,1.25
2024-04-19 00:00:00+00:00,1.0
2024-04-26 00:00:00+00:00,1.0
2024-05-03 00:00:00+00:00,1.0
2024-05-10 00:00:00+00:00,1.0
2024-05-17 00:00:00+00:00,1.25
2024-05-24 00:00:00+00:00,1.25
2024-05-31 00:00:00+00:00,1.25
