variant,block_weeks,raw_probability_positive,familywise_probability_positive
adaptive_1.00x_to_1.25x,4,0.0828,0.0
adaptive_1.00x_to_1.25x,13,0.0284,0.0
adaptive_with_residual_risk_contribution_limit,4,0.2966,0.0
adaptive_with_residual_risk_contribution_limit,13,0.296,0.0
